,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Hotel Granduca Austin,http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html,Austin,490 ,,2019/10/01,2019/10/05,$264,Booking.com,14,
1,Aiden by Best Western @ Austin City Hotel,http://www.tripadvisor.com/Hotel_Review-g30196-d109008-Reviews-Aiden_by_Best_Western_Austin_City_Hotel-Austin_Texas.html,Austin,1399 ,,2019/10/01,2019/10/05,$195,Booking.com,13,
2,The Driskill,http://www.tripadvisor.com/Hotel_Review-g30196-d98474-Reviews-The_Driskill-Austin_Texas.html,Austin,2533 ,,2019/10/01,2019/10/05,,Expedia.com,13,
3,Red Roof PLUS+ Austin - South,http://www.tripadvisor.com/Hotel_Review-g30196-d217732-Reviews-Red_Roof_PLUS_Austin_South-Austin_Texas.html,Austin,568 ,,2019/10/01,2019/10/05,$83,Booking.com,12,
4,Archer Hotel Austin,http://www.tripadvisor.com/Hotel_Review-g30196-d9807437-Reviews-Archer_Hotel_Austin-Austin_Texas.html,Austin,730 ,,2019/10/01,2019/10/05,$339,Booking.com,13,
5,Holiday Inn Express Hotel & Suites Austin NW - Arboretum Area,http://www.tripadvisor.com/Hotel_Review-g30196-d4725731-Reviews-Holiday_Inn_Express_Hotel_Suites_Austin_NW_Arboretum_Area-Austin_Texas.html,Austin,292 ,,2019/10/01,2019/10/05,$166,Booking.com,13,
6,Fairfield Inn & Suites Austin North/Parmer Lane,http://www.tripadvisor.com/Hotel_Review-g30196-d1573301-Reviews-Fairfield_Inn_Suites_Austin_North_Parmer_Lane-Austin_Texas.html,Austin,487 ,,2019/10/01,2019/10/05,$126,Booking.com,12,
7,Aloft Austin Downtown,http://www.tripadvisor.com/Hotel_Review-g30196-d12277946-Reviews-Aloft_Austin_Downtown-Austin_Texas.html,Austin,259 ,,2019/10/01,2019/10/05,$359,Booking.com,13,
8,Super 8 by Wyndham Austin/Airport North,http://www.tripadvisor.com/Hotel_Review-g30196-d1023853-Reviews-Super_8_by_Wyndham_Austin_Airport_North-Austin_Texas.html,Austin,727 ,,2019/10/01,2019/10/05,$102,Booking.com,11,
9,Sleep Inn & Suites N Austin,http://www.tripadvisor.com/Hotel_Review-g30196-d3263489-Reviews-Sleep_Inn_Suites_N_Austin-Austin_Texas.html,Austin,219 ,,2019/10/01,2019/10/05,$122,SleepInn,11,
10,Four Seasons Hotel Austin,http://www.tripadvisor.com/Hotel_Review-g30196-d114938-Reviews-Four_Seasons_Hotel_Austin-Austin_Texas.html,Austin,2118 ,,2019/10/01,2019/10/05,,Expedia.com,12,
11,Home2 Suites by Hilton - Austin/Cedar Park,http://www.tripadvisor.com/Hotel_Review-g30196-d4056166-Reviews-Home2_Suites_by_Hilton_Austin_Cedar_Park-Austin_Texas.html,Austin,746 ,,2019/10/01,2019/10/05,$134,Booking.com,12,
12,Holiday Inn Austin Airport,http://www.tripadvisor.com/Hotel_Review-g30196-d6412559-Reviews-Holiday_Inn_Austin_Airport-Austin_Texas.html,Austin,832 ,,2019/10/01,2019/10/05,,HolidayInn.com,13,
13,Hampton Inn & Suites Austin Downtown,http://www.tripadvisor.com/Hotel_Review-g30196-d259008-Reviews-Hampton_Inn_Suites_Austin_Downtown-Austin_Texas.html,Austin,1288 ,,2019/10/01,2019/10/05,,Priceline,13,
14,Hyatt Place Austin/Arboretum,http://www.tripadvisor.com/Hotel_Review-g30196-d108971-Reviews-Hyatt_Place_Austin_Arboretum-Austin_Texas.html,Austin,208 ,,2019/10/01,2019/10/05,$176,Booking.com,12,
15,Hyatt Place Austin-North Central,http://www.tripadvisor.com/Hotel_Review-g30196-d223675-Reviews-Hyatt_Place_Austin_North_Central-Austin_Texas.html,Austin,688 ,,2019/10/01,2019/10/05,$128,Booking.com,13,
16,Hampton Inn & Suites Austin Cedar Park - Lakeline,http://www.tripadvisor.com/Hotel_Review-g30196-d615166-Reviews-Hampton_Inn_Suites_Austin_Cedar_Park_Lakeline-Austin_Texas.html,Austin,670 ,,2019/10/01,2019/10/05,$114,Booking.com,13,
