,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Akara Hotel,http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html,Bangkok,1035 ,,2019/10/01,2019/10/05,,Expedia.com,13,
1,Vera Nidhra,http://www.tripadvisor.com/Hotel_Review-g293916-d12001604-Reviews-Vera_Nidhra-Bangkok.html,Bangkok,113 ,,2019/10/01,2019/10/05,$42,Booking.com,11,
2,Dream Bangkok,http://www.tripadvisor.com/Hotel_Review-g293916-d305380-Reviews-Dream_Bangkok-Bangkok.html,Bangkok,3598 ,,2019/10/01,2019/10/05,$70,Booking.com,10,
3,Ambassador Hotel Bangkok,http://www.tripadvisor.com/Hotel_Review-g293916-d308724-Reviews-Ambassador_Hotel_Bangkok-Bangkok.html,Bangkok,1697 ,,2019/10/01,2019/10/05,$47,Booking.com,10,
4,Chatrium Hotel Riverside Bangkok,http://www.tripadvisor.com/Hotel_Review-g293916-d1315544-Reviews-Chatrium_Hotel_Riverside_Bangkok-Bangkok.html,Bangkok,10417 ,,2019/10/01,2019/10/05,$85,Booking.com,14,
5,Rembrandt Hotel & Suites Bangkok,http://www.tripadvisor.com/Hotel_Review-g293916-d305496-Reviews-Rembrandt_Hotel_Suites_Bangkok-Bangkok.html,Bangkok,5413 ,,2019/10/01,2019/10/05,$67,Booking.com,10,
6,Bangkok Saran Poshtel,http://www.tripadvisor.com/Hotel_Review-g293916-d14167818-Reviews-Bangkok_Saran_Poshtel-Bangkok.html,Bangkok,146 ,,2019/10/01,2019/10/05,$39,Booking.com,9,
7,Park Plaza Bangkok Soi 18,http://www.tripadvisor.com/Hotel_Review-g293916-d2049177-Reviews-Park_Plaza_Bangkok_Soi_18-Bangkok.html,Bangkok,2910 ,,2019/10/01,2019/10/05,$68,Booking.com,11,
8,Bangkok Marriott Hotel The Surawongse,http://www.tripadvisor.com/Hotel_Review-g293916-d13341534-Reviews-Bangkok_Marriott_Hotel_The_Surawongse-Bangkok.html,Bangkok,753 ,,2019/10/01,2019/10/05,$136,Booking.com,12,
9,Innspire Bangkok,http://www.tripadvisor.com/Hotel_Review-g293916-d12906585-Reviews-Innspire_Bangkok-Bangkok.html,Bangkok,49 ,,2019/10/01,2019/10/05,$38,Booking.com,0,
10,Klassique Sukhumvit,http://www.tripadvisor.com/Hotel_Review-g293916-d3183208-Reviews-Klassique_Sukhumvit-Bangkok.html,Bangkok,851 ,,2019/10/01,2019/10/05,$23,Booking.com,9,
11,The Yard Hostel,http://www.tripadvisor.com/Hotel_Review-g293916-d7893486-Reviews-The_Yard_Hostel-Bangkok.html,Bangkok,614 ,,2019/10/01,2019/10/05,$41,Booking.com,12,
12,"The Athenee Hotel, a Luxury Collection Hotel, Bangkok",http://www.tripadvisor.com/Hotel_Review-g293916-d302456-Reviews-The_Athenee_Hotel_a_Luxury_Collection_Hotel_Bangkok-Bangkok.html,Bangkok,4260 ,,2019/10/01,2019/10/05,,LuxuryCollection,11,
13,Metro Pratunam Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g293916-d9558077-Reviews-Metro_Pratunam_Boutique_Hotel-Bangkok.html,Bangkok,395 ,,2019/10/01,2019/10/05,$27,Booking.com,13,
14,Hyatt Place Bangkok Sukhumvit,http://www.tripadvisor.com/Hotel_Review-g293916-d12918754-Reviews-Hyatt_Place_Bangkok_Sukhumvit-Bangkok.html,Bangkok,509 ,,2019/10/01,2019/10/05,$71,Booking.com,13,
15,U-Tiny Boutique Home Suvarnabhumi Bangkok,http://www.tripadvisor.com/Hotel_Review-g293916-d7235363-Reviews-U_Tiny_Boutique_Home_Suvarnabhumi_Bangkok-Bangkok.html,Bangkok,710 ,,2019/10/01,2019/10/05,$27,Booking.com,13,
16,Old Capital Bike Inn,http://www.tripadvisor.com/Hotel_Review-g293916-d587211-Reviews-Old_Capital_Bike_Inn-Bangkok.html,Bangkok,780 ,,2019/10/01,2019/10/05,$88,Booking.com,9,
17,Loog Choob Homestay,http://www.tripadvisor.com/Hotel_Review-g293916-d2542848-Reviews-Loog_Choob_Homestay-Bangkok.html,Bangkok,326 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
18,Baan Pra Nond Bed & Breakfast,http://www.tripadvisor.com/Hotel_Review-g293916-d1383192-Reviews-Baan_Pra_Nond_Bed_Breakfast-Bangkok.html,Bangkok,249 ,,2019/10/01,2019/10/05,$52,Booking.com,13,
19,Loftel 22 Hostel,http://www.tripadvisor.com/Hotel_Review-g293916-d6510828-Reviews-Loftel_22_Hostel-Bangkok.html,Bangkok,222 ,,2019/10/01,2019/10/05,$24,Booking.com,13,
20,Hotel Nikko Bangkok,http://www.tripadvisor.com/Hotel_Review-g293916-d15019979-Reviews-Hotel_Nikko_Bangkok-Bangkok.html,Bangkok,98 ,,2019/10/01,2019/10/05,$112,Booking.com,11,
21,The Residence on Thonglor by UHG,http://www.tripadvisor.com/Hotel_Review-g293916-d9453539-Reviews-The_Residence_on_Thonglor_by_UHG-Bangkok.html,Bangkok,401 ,,2019/10/01,2019/10/05,,Trip.com,14,
22,White Ivory Bed & Breakfast,http://www.tripadvisor.com/Hotel_Review-g293916-d10064084-Reviews-White_Ivory_Bed_Breakfast-Bangkok.html,Bangkok,187 ,,2019/10/01,2019/10/05,$43,Booking.com,13,
23,Phranakorn-Nornlen Hotel,http://www.tripadvisor.com/Hotel_Review-g293916-d633694-Reviews-Phranakorn_Nornlen_Hotel-Bangkok.html,Bangkok,2669 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
24,Tints of Blue Hotel,http://www.tripadvisor.com/Hotel_Review-g293916-d9461516-Reviews-Tints_of_Blue_Hotel-Bangkok.html,Bangkok,557 ,,2019/10/01,2019/10/05,$49,Booking.com,12,
25,Salil Hotel Sukhumvit Soi 11,http://www.tripadvisor.com/Hotel_Review-g293916-d3157546-Reviews-Salil_Hotel_Sukhumvit_Soi_11-Bangkok.html,Bangkok,1834 ,,2019/10/01,2019/10/05,$43,Booking.com,13,
26,Maitria Hotel Sukhumvit 18 Bangkok - A Chatrium Collection,http://www.tripadvisor.com/Hotel_Review-g293916-d1784761-Reviews-Maitria_Hotel_Sukhumvit_18_Bangkok_A_Chatrium_Collection-Bangkok.html,Bangkok,986 ,,2019/10/01,2019/10/05,,Travelocity,14,
27,Samsen Sam Place,http://www.tripadvisor.com/Hotel_Review-g293916-d1368012-Reviews-Samsen_Sam_Place-Bangkok.html,Bangkok,390 ,,2019/10/01,2019/10/05,$12,Booking.com,12,
28,Novotel Bangkok Silom Road (Formerly Novotel Bangkok Fenix Silom),http://www.tripadvisor.com/Hotel_Review-g293916-d1210401-Reviews-Novotel_Bangkok_Silom_Road_Formerly_Novotel_Bangkok_Fenix_Silom-Bangkok.html,Bangkok,3983 ,,2019/10/01,2019/10/05,$50,Booking.com,10,
29,Bed Station Hostel,http://www.tripadvisor.com/Hotel_Review-g293916-d7265013-Reviews-Bed_Station_Hostel-Bangkok.html,Bangkok,1320 ,,2019/10/01,2019/10/05,$37,Booking.com,10,
