,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Expo Hotel Barcelona,http://www.tripadvisor.com/Hotel_Review-g187497-d228500-Reviews-Expo_Hotel_Barcelona-Barcelona_Catalonia.html,Barcelona,3308 ,,2020/01/01,2020/01/02,$78,Expo Barcelona,13,
1,H10 Art Gallery,http://www.tripadvisor.com/Hotel_Review-g187497-d6510499-Reviews-H10_Art_Gallery-Barcelona_Catalonia.html,Barcelona,984 ,,2020/01/01,2020/01/02,$122,Booking.com,17,
2,Hotel Barcelona 1882,http://www.tripadvisor.com/Hotel_Review-g187497-d13962383-Reviews-Hotel_Barcelona_1882-Barcelona_Catalonia.html,Barcelona,227 ,,2020/01/01,2020/01/02,$152,Booking.com,13,
3,Hotel Astoria,http://www.tripadvisor.com/Hotel_Review-g187497-d228590-Reviews-Hotel_Astoria-Barcelona_Catalonia.html,Barcelona,1547 ,,2020/01/01,2020/01/02,$88,Booking.com,13,
4,Capri by Fraser Barcelona,http://www.tripadvisor.com/Hotel_Review-g187497-d1192327-Reviews-Capri_by_Fraser_Barcelona-Barcelona_Catalonia.html,Barcelona,1207 ,,2020/01/01,2020/01/02,$122,Booking.com,14,
5,Hotel Via Augusta,http://www.tripadvisor.com/Hotel_Review-g187497-d228478-Reviews-Hotel_Via_Augusta-Barcelona_Catalonia.html,Barcelona,1061 ,,2020/01/01,2020/01/02,$88,Booking.com,10,
6,Condado Hotel Barcelona,http://www.tripadvisor.com/Hotel_Review-g187497-d228531-Reviews-Condado_Hotel_Barcelona-Barcelona_Catalonia.html,Barcelona,1415 ,,2020/01/01,2020/01/02,$97,Booking.com,10,
7,Hotel Barcelona Condal Mar By Melia,http://www.tripadvisor.com/Hotel_Review-g187497-d530096-Reviews-Hotel_Barcelona_Condal_Mar_By_Melia-Barcelona_Catalonia.html,Barcelona,2449 ,,2020/01/01,2020/01/02,$87,Melia.com,12,
8,Leonardo Boutique Hotel Barcelona Sagrada Familia,http://www.tripadvisor.com/Hotel_Review-g187497-d1999376-Reviews-Leonardo_Boutique_Hotel_Barcelona_Sagrada_Familia-Barcelona_Catalonia.html,Barcelona,1746 ,,2020/01/01,2020/01/02,$71,Booking.com,9,
9,Hotel Acta Antibes,http://www.tripadvisor.com/Hotel_Review-g187497-d236190-Reviews-Hotel_Acta_Antibes-Barcelona_Catalonia.html,Barcelona,2098 ,,2020/01/01,2020/01/02,$72,Booking.com,14,
10,HCC Montblanc,http://www.tripadvisor.com/Hotel_Review-g187497-d258755-Reviews-HCC_Montblanc-Barcelona_Catalonia.html,Barcelona,1733 ,,2020/01/01,2020/01/02,$104,Booking.com,12,
11,Motel One Barcelona-Ciutadella,http://www.tripadvisor.com/Hotel_Review-g187497-d13278183-Reviews-Motel_One_Barcelona_Ciutadella-Barcelona_Catalonia.html,Barcelona,363 ,,2020/01/01,2020/01/02,$94,Booking.com,11,
12,Hotel Constanza Barcelona,http://www.tripadvisor.com/Hotel_Review-g187497-d503136-Reviews-Hotel_Constanza_Barcelona-Barcelona_Catalonia.html,Barcelona,2332 ,,2020/01/01,2020/01/02,$120,Booking.com,11,
13,Onix Rambla Hotel,http://www.tripadvisor.com/Hotel_Review-g187497-d489054-Reviews-Onix_Rambla_Hotel-Barcelona_Catalonia.html,Barcelona,667 ,,2020/01/01,2020/01/02,$123,Booking.com,12,
14,Hotel Sant Antoni,http://www.tripadvisor.com/Hotel_Review-g187497-d1748447-Reviews-Hotel_Sant_Antoni-Barcelona_Catalonia.html,Barcelona,1166 ,,2020/01/01,2020/01/02,$106,Expedia.com,10,
15,H10 Madison,http://www.tripadvisor.com/Hotel_Review-g187497-d13223478-Reviews-H10_Madison-Barcelona_Catalonia.html,Barcelona,623 ,,2020/01/01,2020/01/02,$171,Booking.com,13,
16,Catalonia Albeniz,http://www.tripadvisor.com/Hotel_Review-g187497-d238748-Reviews-Catalonia_Albeniz-Barcelona_Catalonia.html,Barcelona,750 ,,2020/01/01,2020/01/02,$90,Booking.com,12,
