,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Hotel Francisco I,http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html,Madrid,2236 ,,2020/11/01,2020/11/05,,TripAdvisor,11,
1,ApartoSuites Jardines de Sabatini,http://www.tripadvisor.com/Hotel_Review-g187514-d1657593-Reviews-ApartoSuites_Jardines_de_Sabatini-Madrid.html,Madrid,2225 ,,2020/11/01,2020/11/05,,TripAdvisor,8,
2,Ibis Madrid Aeropuerto Barajas,http://www.tripadvisor.com/Hotel_Review-g187514-d620357-Reviews-Ibis_Madrid_Aeropuerto_Barajas-Madrid.html,Madrid,3267 ,,2020/11/01,2020/11/05,,TripAdvisor,16,
3,SLEEP'N Atocha,http://www.tripadvisor.com/Hotel_Review-g187514-d1475454-Reviews-SLEEP_N_Atocha-Madrid.html,Madrid,1412 ,,2020/11/01,2020/11/05,,TripAdvisor,9,
4,Artiem Madrid,http://www.tripadvisor.com/Hotel_Review-g187514-d231633-Reviews-Artiem_Madrid-Madrid.html,Madrid,929 ,,2020/11/01,2020/11/05,,TripAdvisor,12,
5,Hotel Europa,http://www.tripadvisor.com/Hotel_Review-g187514-d266529-Reviews-Hotel_Europa-Madrid.html,Madrid,3593 ,,2020/11/01,2020/11/05,,TripAdvisor,11,
6,Only YOU Boutique Hotel Madrid,http://www.tripadvisor.com/Hotel_Review-g187514-d4719800-Reviews-Only_YOU_Boutique_Hotel_Madrid-Madrid.html,Madrid,3516 ,,2020/11/01,2020/11/05,,TripAdvisor,9,
7,Hotel Nuevo Boston,http://www.tripadvisor.com/Hotel_Review-g187514-d1216895-Reviews-Hotel_Nuevo_Boston-Madrid.html,Madrid,3219 ,,2020/11/01,2020/11/05,,TripAdvisor,13,
8,B&B Hotel Madrid Centro Puerta del Sol,http://www.tripadvisor.com/Hotel_Review-g187514-d11911862-Reviews-B_B_Hotel_Madrid_Centro_Puerta_del_Sol-Madrid.html,Madrid,389 ,,2020/11/01,2020/11/05,,TripAdvisor,10,
9,Ibis Madrid Centro,http://www.tripadvisor.com/Hotel_Review-g187514-d578500-Reviews-Ibis_Madrid_Centro-Madrid.html,Madrid,1638 ,,2020/11/01,2020/11/05,,TripAdvisor,9,
10,ibis Madrid Calle Alcala,http://www.tripadvisor.com/Hotel_Review-g187514-d653686-Reviews-Ibis_Madrid_Calle_Alcala-Madrid.html,Madrid,1218 ,,2020/11/01,2020/11/05,,TripAdvisor,13,
11,Barcelo Torre de Madrid,http://www.tripadvisor.com/Hotel_Review-g187514-d10847573-Reviews-Barcelo_Torre_de_Madrid-Madrid.html,Madrid,1635 ,,2020/11/01,2020/11/05,,TripAdvisor,19,
12,Novotel Madrid Center,http://www.tripadvisor.com/Hotel_Review-g187514-d501066-Reviews-Novotel_Madrid_Center-Madrid.html,Madrid,2347 ,,2020/11/01,2020/11/05,,TripAdvisor,11,
13,Hospedaje Romero,http://www.tripadvisor.com/Hotel_Review-g187514-d1550452-Reviews-Hospedaje_Romero-Madrid.html,Madrid,843 ,,2020/11/01,2020/11/05,,TripAdvisor,6,
14,ILUNION Suites Madrid,http://www.tripadvisor.com/Hotel_Review-g187514-d240863-Reviews-ILUNION_Suites_Madrid-Madrid.html,Madrid,1540 ,,2020/11/01,2020/11/05,,TripAdvisor,11,
15,B&B Hotel Madrid Fuencarral 52,http://www.tripadvisor.com/Hotel_Review-g187514-d7316393-Reviews-B_B_Hotel_Madrid_Fuencarral_52-Madrid.html,Madrid,1214 ,,2020/11/01,2020/11/05,,TripAdvisor,10,
16,Hotel Regina,http://www.tripadvisor.com/Hotel_Review-g187514-d266365-Reviews-Hotel_Regina-Madrid.html,Madrid,3963 ,,2020/11/01,2020/11/05,,TripAdvisor,10,
17,Ibis Budget Madrid Centro Las Ventas,http://www.tripadvisor.com/Hotel_Review-g187514-d3360073-Reviews-Ibis_Budget_Madrid_Centro_Las_Ventas-Madrid.html,Madrid,1529 ,,2020/11/01,2020/11/05,,TripAdvisor,7,
18,Barcelo Imagine,http://www.tripadvisor.com/Hotel_Review-g187514-d13313533-Reviews-Barcelo_Imagine-Madrid.html,Madrid,696 ,,2020/11/01,2020/11/05,,TripAdvisor,18,
19,Vitium Urban Suites,http://www.tripadvisor.com/Hotel_Review-g187514-d5534946-Reviews-Vitium_Urban_Suites-Madrid.html,Madrid,535 ,,2020/11/01,2020/11/05,,TripAdvisor,14,
20,OK Hostel Madrid,http://www.tripadvisor.com/Hotel_Review-g187514-d8432845-Reviews-OK_Hostel_Madrid-Madrid.html,Madrid,587 ,,2020/11/01,2020/11/05,,TripAdvisor,12,
21,Ibis budget Madrid Calle Alcala,http://www.tripadvisor.com/Hotel_Review-g187514-d982857-Reviews-Ibis_budget_Madrid_Calle_Alcala-Madrid.html,Madrid,1067 ,,2020/11/01,2020/11/05,,TripAdvisor,7,
22,Hotel Maydrit Airport,http://www.tripadvisor.com/Hotel_Review-g187514-d1153301-Reviews-Hotel_Maydrit_Airport-Madrid.html,Madrid,1805 ,,2020/11/01,2020/11/05,,TripAdvisor,13,
23,VP Plaza Espana Design,http://www.tripadvisor.com/Hotel_Review-g187514-d13818465-Reviews-VP_Plaza_Espana_Design-Madrid.html,Madrid,563 ,,2020/11/01,2020/11/05,,TripAdvisor,16,
24,Only YOU Hotel Atocha,http://www.tripadvisor.com/Hotel_Review-g187514-d9998605-Reviews-Only_YOU_Hotel_Atocha-Madrid.html,Madrid,1851 ,,2020/11/01,2020/11/05,,TripAdvisor,11,
25,Dear Hotel Madrid,http://www.tripadvisor.com/Hotel_Review-g187514-d8331763-Reviews-Dear_Hotel_Madrid-Madrid.html,Madrid,3770 ,,2020/11/01,2020/11/05,,TripAdvisor,21,
26,Hotel Persal,http://www.tripadvisor.com/Hotel_Review-g187514-d195191-Reviews-Hotel_Persal-Madrid.html,Madrid,975 ,,2020/11/01,2020/11/05,,TripAdvisor,6,
27,ibis Madrid Centro Las Ventas,http://www.tripadvisor.com/Hotel_Review-g187514-d2554768-Reviews-Ibis_Madrid_Centro_Las_Ventas-Madrid.html,Madrid,1876 ,,2020/11/01,2020/11/05,,TripAdvisor,15,
28,Suites Viena Plaza De Espana,http://www.tripadvisor.com/Hotel_Review-g187514-d631004-Reviews-Suites_Viena_Plaza_De_Espana-Madrid.html,Madrid,1813 ,,2020/11/01,2020/11/05,,TripAdvisor,13,
29,Hotel CoolRooms Atocha,http://www.tripadvisor.com/Hotel_Review-g187514-d15011688-Reviews-Hotel_CoolRooms_Atocha-Madrid.html,Madrid,210 ,,2020/11/01,2020/11/05,,TripAdvisor,14,
30,Hotel Indigo Madrid - Gran Via,http://www.tripadvisor.com/Hotel_Review-g187514-d4962318-Reviews-Hotel_Indigo_Madrid_Gran_Via-Madrid.html,Madrid,1167 ,,2020/11/01,2020/11/05,$165,HotelIndigo.com,0,
31,SmartRental Collection Gran Via Capital,http://www.tripadvisor.com/Hotel_Review-g187514-d9584437-Reviews-SmartRental_Collection_Gran_Via_Capital-Madrid.html,Madrid,930 ,,2020/11/01,2020/11/05,$141,Booking.com,16,
32,Catalonia Atocha,http://www.tripadvisor.com/Hotel_Review-g187514-d2037708-Reviews-Catalonia_Atocha-Madrid.html,Madrid,1835 ,,2020/11/01,2020/11/05,$122,Booking.com,12,
33,Artrip Hotel,http://www.tripadvisor.com/Hotel_Review-g187514-d3167750-Reviews-Artrip_Hotel-Madrid.html,Madrid,1613 ,,2020/11/01,2020/11/05,$134,Booking.com,11,
34,Vitium Urban Suites,http://www.tripadvisor.com/Hotel_Review-g187514-d5534946-Reviews-Vitium_Urban_Suites-Madrid.html,Madrid,535 ,,2020/11/01,2020/11/05,$87,Booking.com,14,
35,Ibis Styles Madrid Prado,http://www.tripadvisor.com/Hotel_Review-g187514-d234301-Reviews-Ibis_Styles_Madrid_Prado-Madrid.html,Madrid,1475 ,,2020/11/01,2020/11/05,$135,Booking.com,13,
