,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,The Park Front Hotel at Universal Studios Japan,http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html,Osaka,623 ,,2019/10/01,2019/10/05,$231,Booking.com,19,
1,Swissotel Nankai Osaka,http://www.tripadvisor.com/Hotel_Review-g14134988-d301569-Reviews-Swissotel_Nankai_Osaka-Namba_Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,4017 ,,2019/10/01,2019/10/05,$336,JAPANiCAN.com,18,
2,"The Ritz-Carlton, Osaka",http://www.tripadvisor.com/Hotel_Review-g298566-d302242-Reviews-The_Ritz_Carlton_Osaka-Osaka_Osaka_Prefecture_Kinki.html,Osaka,2338 ,,2019/10/01,2019/10/05,$642,JAPANiCAN.com,17,
3,Hotel Monterey Lasoeur Osaka,http://www.tripadvisor.com/Hotel_Review-g14127623-d598268-Reviews-Hotel_Monterey_Lasoeur_Osaka-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,989 ,,2019/10/01,2019/10/05,$141,JAPANiCAN.com,19,
4,Hotel Nikko Osaka,http://www.tripadvisor.com/Hotel_Review-g298566-d302313-Reviews-Hotel_Nikko_Osaka-Osaka_Osaka_Prefecture_Kinki.html,Osaka,2268 ,,2019/10/01,2019/10/05,$368,JAPANiCAN.com,18,
5,The St. Regis Osaka,http://www.tripadvisor.com/Hotel_Review-g14127623-d1830576-Reviews-The_St_Regis_Osaka-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,1870 ,,2019/10/01,2019/10/05,$887,JAPANiCAN.com,18,
6,The Singulari Hotel & Skyspa At Universal Studios Japan,http://www.tripadvisor.com/Hotel_Review-g14127588-d12283826-Reviews-The_Singulari_Hotel_Skyspa_At_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefectu.html,Osaka,110 ,,2019/10/01,2019/10/05,$556,JAPANiCAN.com,14,
7,Hostel Mitsuwaya Osaka,http://www.tripadvisor.com/Hotel_Review-g14127623-d9803652-Reviews-Hostel_Mitsuwaya_Osaka-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,154 ,,2019/10/01,2019/10/05,,Hostelworld.com,13,
8,Hotel WBF ARTSTAY Namba,http://www.tripadvisor.com/Hotel_Review-g298566-d12481018-Reviews-Hotel_WBF_ARTSTAY_Namba-Osaka_Osaka_Prefecture_Kinki.html,Osaka,187 ,,2019/10/01,2019/10/05,$69,Booking.com,15,
9,RIHGA Royal Hotel Osaka,http://www.tripadvisor.com/Hotel_Review-g298566-d302408-Reviews-RIHGA_Royal_Hotel_Osaka-Osaka_Osaka_Prefecture_Kinki.html,Osaka,1985 ,,2019/10/01,2019/10/05,,Expedia.com,17,
10,Hotel the Lutheran,http://www.tripadvisor.com/Hotel_Review-g298566-d662909-Reviews-Hotel_the_Lutheran-Osaka_Osaka_Prefecture_Kinki.html,Osaka,270 ,,2019/10/01,2019/10/05,,Expedia.com,19,
11,Hotel WBF Kitasemba West,http://www.tripadvisor.com/Hotel_Review-g14127623-d13568039-Reviews-Hotel_WBF_Kitasemba_West-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,148 ,,2019/10/01,2019/10/05,$72,Booking.com,13,
12,Arietta Hotel Osaka,http://www.tripadvisor.com/Hotel_Review-g14127623-d1080663-Reviews-Arietta_Hotel_Osaka-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,449 ,,2019/10/01,2019/10/05,,Rakuten Travel,17,
13,Vessel Inn Shinsaibashi,http://www.tripadvisor.com/Hotel_Review-g14127623-d12449724-Reviews-Vessel_Inn_Shinsaibashi-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,91 ,,2019/10/01,2019/10/05,$145,Booking.com,16,
14,City Plaza Osaka,http://www.tripadvisor.com/Hotel_Review-g14127623-d1094965-Reviews-City_Plaza_Osaka-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,348 ,,2019/10/01,2019/10/05,$101,Booking.com,19,
15,Hotel Universal Port Vita,http://www.tripadvisor.com/Hotel_Review-g14127588-d14132398-Reviews-Hotel_Universal_Port_Vita-Konohana_Osaka_Osaka_Prefecture_Kinki.html,Osaka,157 ,,2019/10/01,2019/10/05,$122,Booking.com,12,
16,Hotel Universal Port,http://www.tripadvisor.com/Hotel_Review-g14127588-d634620-Reviews-Hotel_Universal_Port-Konohana_Osaka_Osaka_Prefecture_Kinki.html,Osaka,1900 ,,2019/10/01,2019/10/05,$143,Booking.com,18,
17,Hotel WBF Namba Kuromon,http://www.tripadvisor.com/Hotel_Review-g14127623-d15112973-Reviews-Hotel_WBF_Namba_Kuromon-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,182 ,,2019/10/01,2019/10/05,$102,Booking.com,12,
18,Sarasa Hotel Namba,http://www.tripadvisor.com/Hotel_Review-g14127654-d11644932-Reviews-Sarasa_Hotel_Namba-Naniwa_Osaka_Osaka_Prefecture_Kinki.html,Osaka,101 ,,2019/10/01,2019/10/05,$189,Booking.com,13,
19,Richmond Hotel Namba Daikokucho,http://www.tripadvisor.com/Hotel_Review-g298566-d4959605-Reviews-Richmond_Hotel_Namba_Daikokucho-Osaka_Osaka_Prefecture_Kinki.html,Osaka,372 ,,2019/10/01,2019/10/05,$122,Booking.com,16,
20,Hotel Elsereine Osaka,http://www.tripadvisor.com/Hotel_Review-g14127560-d1831070-Reviews-Hotel_Elsereine_Osaka-Kita_Osaka_Osaka_Prefecture_Kinki.html,Osaka,385 ,,2019/10/01,2019/10/05,$124,JAPANiCAN.com,17,
21,The Park Front Hotel at Universal Studios Japan,http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html,Osaka,623 ,,2019/10/01,2019/10/05,$231,Booking.com,19,
22,Mitsui Garden Hotel Osaka Premier,http://www.tripadvisor.com/Hotel_Review-g14127560-d5316679-Reviews-Mitsui_Garden_Hotel_Osaka_Premier-Kita_Osaka_Osaka_Prefecture_Kinki.html,Osaka,805 ,,2019/10/01,2019/10/05,$181,Booking.com,20,
23,Hotel Plaza Osaka,http://www.tripadvisor.com/Hotel_Review-g298566-d325781-Reviews-Hotel_Plaza_Osaka-Osaka_Osaka_Prefecture_Kinki.html,Osaka,614 ,,2019/10/01,2019/10/05,,Travelocity,18,
24,Osaka Marriott Miyako Hotel,http://www.tripadvisor.com/Hotel_Review-g14127528-d5607013-Reviews-Osaka_Marriott_Miyako_Hotel-Abeno_Osaka_Osaka_Prefecture_Kinki.html,Osaka,1980 ,,2019/10/01,2019/10/05,$413,Booking.com,19,
25,Imperial Hotel Osaka,http://www.tripadvisor.com/Hotel_Review-g14127560-d302431-Reviews-Imperial_Hotel_Osaka-Kita_Osaka_Osaka_Prefecture_Kinki.html,Osaka,1227 ,,2019/10/01,2019/10/05,$224,Booking.com,21,
26,Hotel New Otani Osaka,http://www.tripadvisor.com/Hotel_Review-g298566-d301282-Reviews-Hotel_New_Otani_Osaka-Osaka_Osaka_Prefecture_Kinki.html,Osaka,1507 ,,2019/10/01,2019/10/05,$155,Booking.com,18,
27,Red Roof Plus Osaka Namba,http://www.tripadvisor.com/Hotel_Review-g14135003-d1081453-Reviews-Red_Roof_Plus_Osaka_Namba-Sennichimae_Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,214 ,,2019/10/01,2019/10/05,$129,Booking.com,19,
28,Intercontinental Hotel Osaka,http://www.tripadvisor.com/Hotel_Review-g298566-d4041964-Reviews-Intercontinental_Hotel_Osaka-Osaka_Osaka_Prefecture_Kinki.html,Osaka,1773 ,,2019/10/01,2019/10/05,,Expedia.com,17,
29,The Westin Osaka,http://www.tripadvisor.com/Hotel_Review-g14127560-d301788-Reviews-The_Westin_Osaka-Kita_Osaka_Osaka_Prefecture_Kinki.html,Osaka,1612 ,,2019/10/01,2019/10/05,$250,Booking.com,18,
30,karaksa hotel Osaka Namba,http://www.tripadvisor.com/Hotel_Review-g14127623-d12691090-Reviews-Karaksa_hotel_Osaka_Namba-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,138 ,,2019/10/01,2019/10/05,$148,Booking.com,15,
31,HOTEL THE FLAG Shinsaibashi,http://www.tripadvisor.com/Hotel_Review-g14127623-d13141240-Reviews-HOTEL_THE_FLAG_Shinsaibashi-Chuo_Osaka_Osaka_Prefecture_Kinki.html,Osaka,276 ,,2019/10/01,2019/10/05,$189,Booking.com,13,
