,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Novotel Paris Centre Gare Montparnasse,http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html,Paris,2313 ,,2019/10/01,2019/10/05,$225,Booking.com,11,
1,Les3chambres,http://www.tripadvisor.com/Hotel_Review-g187147-d3546914-Reviews-Les3chambres-Paris_Ile_de_France.html,Paris,519 ,,2019/10/01,2019/10/05,,Booking.com,0,
2,La Chambre Parisienne,http://www.tripadvisor.com/Hotel_Review-g187147-d10203026-Reviews-La_Chambre_Parisienne-Paris_Ile_de_France.html,Paris,91 ,,2019/10/01,2019/10/05,,TripAdvisor,5,
3,Hyatt Regency Paris Etoile,http://www.tripadvisor.com/Hotel_Review-g187147-d595754-Reviews-Hyatt_Regency_Paris_Etoile-Paris_Ile_de_France.html,Paris,663 ,,2019/10/01,2019/10/05,,Booking.com,12,
4,Hotel Darcet,http://www.tripadvisor.com/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,Paris,942 ,,2019/10/01,2019/10/05,,Booking.com,12,
5,Hotel Cecilia Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d230460-Reviews-Hotel_Cecilia_Paris-Paris_Ile_de_France.html,Paris,1257 ,,2019/10/01,2019/10/05,$181,Booking.com,10,
6,"Maison Astor Paris, Curio Collection by Hilton",http://www.tripadvisor.com/Hotel_Review-g187147-d229443-Reviews-Maison_Astor_Paris_Curio_Collection_by_Hilton-Paris_Ile_de_France.html,Paris,281 ,,2019/10/01,2019/10/05,,Hilton,11,
7,Hotel Louvre Bons Enfants,http://www.tripadvisor.com/Hotel_Review-g187147-d236574-Reviews-Hotel_Louvre_Bons_Enfants-Paris_Ile_de_France.html,Paris,763 ,,2019/10/01,2019/10/05,,Expedia.com,12,
8,Courtyard by Marriott Paris Gare de Lyon,http://www.tripadvisor.com/Hotel_Review-g187147-d15243992-Reviews-Courtyard_by_Marriott_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,Paris,129 ,,2019/10/01,2019/10/05,,Courtyard,11,
9,Le VIP Paris Yacht Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d2292234-Reviews-Le_VIP_Paris_Yacht_Hotel-Paris_Ile_de_France.html,Paris,842 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
10,Hotel Edgar,http://www.tripadvisor.com/Hotel_Review-g187147-d3998722-Reviews-Hotel_Edgar-Paris_Ile_de_France.html,Paris,182 ,,2019/10/01,2019/10/05,$229,Booking.com,10,
11,Hotel d'Argenson,http://www.tripadvisor.com/Hotel_Review-g187147-d567549-Reviews-Hotel_d_Argenson-Paris_Ile_de_France.html,Paris,400 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
12,Hotel du Quai-Voltaire,http://www.tripadvisor.com/Hotel_Review-g187147-d219981-Reviews-Hotel_du_Quai_Voltaire-Paris_Ile_de_France.html,Paris,471 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
13,Hotel La Manufacture,http://www.tripadvisor.com/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html,Paris,2093 ,,2019/10/01,2019/10/05,$269,Booking.com,11,
14,Hotel de Suede St. Germain,http://www.tripadvisor.com/Hotel_Review-g187147-d197481-Reviews-Hotel_de_Suede_St_Germain-Paris_Ile_de_France.html,Paris,438 ,,2019/10/01,2019/10/05,$204,TripAdvisor,12,
15,Hotel du Danube Saint Germain,http://www.tripadvisor.com/Hotel_Review-g187147-d194279-Reviews-Hotel_du_Danube_Saint_Germain-Paris_Ile_de_France.html,Paris,382 ,,2019/10/01,2019/10/05,$287,Booking.com,13,
16,Assia & Nathalie,http://www.tripadvisor.com/Hotel_Review-g187147-d10275665-Reviews-Assia_Nathalie-Paris_Ile_de_France.html,Paris,141 ,,2019/10/01,2019/10/05,,Agoda.com,0,
17,"Niepce Paris Hotel, Curio Collection by Hilton",http://www.tripadvisor.com/Hotel_Review-g187147-d13008198-Reviews-Niepce_Paris_Hotel_Curio_Collection_by_Hilton-Paris_Ile_de_France.html,Paris,127 ,,2019/10/01,2019/10/05,,Expedia.com,14,
18,Perreyve Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d232535-Reviews-Perreyve_Hotel-Paris_Ile_de_France.html,Paris,284 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
19,Hotel Comete Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d9453876-Reviews-Hotel_Comete_Paris-Paris_Ile_de_France.html,Paris,288 ,,2019/10/01,2019/10/05,,Booking.com,16,
20,Hotel de L'Union,http://www.tripadvisor.com/Hotel_Review-g187147-d8539517-Reviews-Hotel_de_L_Union-Paris_Ile_de_France.html,Paris,198 ,,2019/10/01,2019/10/05,$102,Booking.com,11,
21,Renaissance Paris Arc de Triomphe Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d1229799-Reviews-Renaissance_Paris_Arc_de_Triomphe_Hotel-Paris_Ile_de_France.html,Paris,1796 ,,2019/10/01,2019/10/05,,Renaissance Hotels,13,
22,Hotel Cervantes by HappyCulture,http://www.tripadvisor.com/Hotel_Review-g187147-d232549-Reviews-Hotel_Cervantes_by_HappyCulture-Paris_Ile_de_France.html,Paris,1143 ,,2019/10/01,2019/10/05,,Expedia.com,13,
23,Hotel du Haut Marais,http://www.tripadvisor.com/Hotel_Review-g187147-d2186989-Reviews-Hotel_du_Haut_Marais-Paris_Ile_de_France.html,Paris,74 ,,2019/10/01,2019/10/05,,Expedia.com,12,
24,Holiday Inn Express Paris-Canal de la Villette,http://www.tripadvisor.com/Hotel_Review-g187147-d940178-Reviews-Holiday_Inn_Express_Paris_Canal_de_la_Villette-Paris_Ile_de_France.html,Paris,1342 ,,2019/10/01,2019/10/05,,Booking.com,8,
25,Hotel Saint-Louis en l'Isle,http://www.tripadvisor.com/Hotel_Review-g187147-d219996-Reviews-Hotel_Saint_Louis_en_l_Isle-Paris_Ile_de_France.html,Paris,633 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
26,Hotel Haussmann Saint Augustin,http://www.tripadvisor.com/Hotel_Review-g187147-d197958-Reviews-Hotel_Haussmann_Saint_Augustin-Paris_Ile_de_France.html,Paris,79 ,,2019/10/01,2019/10/05,$184,TripAdvisor,11,
27,Hotel du College de France,http://www.tripadvisor.com/Hotel_Review-g187147-d271939-Reviews-Hotel_du_College_de_France-Paris_Ile_de_France.html,Paris,1114 ,,2019/10/01,2019/10/05,$164,Booking.com,0,
28,Jack's Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d529928-Reviews-Jack_s_Hotel-Paris_Ile_de_France.html,Paris,690 ,,2019/10/01,2019/10/05,,Agoda.com,12,
29,Hotel Westside Arc de Triomphe,http://www.tripadvisor.com/Hotel_Review-g187147-d197503-Reviews-Hotel_Westside_Arc_de_Triomphe-Paris_Ile_de_France.html,Paris,360 ,,2019/10/01,2019/10/05,$207,TripAdvisor,12,
