,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Hotel Romanico Palace,http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html,Rome,2230 ,,2019/10/01,2019/10/05,,Expedia.com,13,
1,Hotel Artemide,http://www.tripadvisor.com/Hotel_Review-g187791-d205044-Reviews-Hotel_Artemide-Rome_Lazio.html,Rome,7948 ,,2019/10/01,2019/10/05,$309,Booking.com,13,
2,Condotti Hotel,http://www.tripadvisor.com/Hotel_Review-g187791-d203181-Reviews-Condotti_Hotel-Rome_Lazio.html,Rome,1433 ,,2019/10/01,2019/10/05,$210,Booking.com,12,
3,Hotel Raffaello,http://www.tripadvisor.com/Hotel_Review-g187791-d316644-Reviews-Hotel_Raffaello-Rome_Lazio.html,Rome,2825 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
4,My Guest Roma,http://www.tripadvisor.com/Hotel_Review-g187791-d1629793-Reviews-My_Guest_Roma-Rome_Lazio.html,Rome,1103 ,,2019/10/01,2019/10/05,,B&B.it,0,
5,FeelinRome,http://www.tripadvisor.com/Hotel_Review-g187791-d8787034-Reviews-FeelinRome-Rome_Lazio.html,Rome,48 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
6,Hotel Indigo Rome - St. George,http://www.tripadvisor.com/Hotel_Review-g187791-d634943-Reviews-Hotel_Indigo_Rome_St_George-Rome_Lazio.html,Rome,1393 ,,2019/10/01,2019/10/05,$310,Travelocity,12,
7,Hotel Italia,http://www.tripadvisor.com/Hotel_Review-g187791-d208768-Reviews-Hotel_Italia-Rome_Lazio.html,Rome,1206 ,,2019/10/01,2019/10/05,$152,Booking.com,13,
8,Inn Urbe Colosseo,http://www.tripadvisor.com/Hotel_Review-g187791-d3372038-Reviews-Inn_Urbe_Colosseo-Rome_Lazio.html,Rome,292 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
9,Villa Matissa,http://www.tripadvisor.com/Hotel_Review-g187791-d9813964-Reviews-Villa_Matissa-Rome_Lazio.html,Rome,119 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
10,Amalfi Hotel,http://www.tripadvisor.com/Hotel_Review-g187791-d228988-Reviews-Amalfi_Hotel-Rome_Lazio.html,Rome,1150 ,,2019/10/01,2019/10/05,$197,Booking.com,14,
11,QT Suites & Apartments,http://www.tripadvisor.com/Hotel_Review-g187791-d8342132-Reviews-QT_Suites_Apartments-Rome_Lazio.html,Rome,62 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
12,Hotel Castle,http://www.tripadvisor.com/Hotel_Review-g187791-d1059872-Reviews-Hotel_Castle-Rome_Lazio.html,Rome,465 ,,2019/10/01,2019/10/05,$83,Booking.com,0,
13,Gasometer Urban Suites,http://www.tripadvisor.com/Hotel_Review-g187791-d13794626-Reviews-Gasometer_Urban_Suites-Rome_Lazio.html,Rome,50 ,,2019/10/01,2019/10/05,,Travelocity,11,
14,Domidea Hotel,http://www.tripadvisor.com/Hotel_Review-g187791-d1378735-Reviews-Domidea_Hotel-Rome_Lazio.html,Rome,777 ,,2019/10/01,2019/10/05,$69,Booking.com,16,
15,QuodLibet,http://www.tripadvisor.com/Hotel_Review-g187791-d1084840-Reviews-QuodLibet-Rome_Lazio.html,Rome,1496 ,,2019/10/01,2019/10/05,$171,Booking.com,12,
16,Star of Rome,http://www.tripadvisor.com/Hotel_Review-g187791-d4005238-Reviews-Star_of_Rome-Rome_Lazio.html,Rome,433 ,,2019/10/01,2019/10/05,$105,Booking.com,0,
17,Palazzo De Cupis - Suites and View,http://www.tripadvisor.com/Hotel_Review-g187791-d7299152-Reviews-Palazzo_De_Cupis_Suites_and_View-Rome_Lazio.html,Rome,111 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
18,Casa I Cappuccini,http://www.tripadvisor.com/Hotel_Review-g187791-d4917310-Reviews-Casa_I_Cappuccini-Rome_Lazio.html,Rome,163 ,,2019/10/01,2019/10/05,$136,Booking.com,11,
19,Hotel Colosseum,http://www.tripadvisor.com/Hotel_Review-g187791-d230612-Reviews-Hotel_Colosseum-Rome_Lazio.html,Rome,1332 ,,2019/10/01,2019/10/05,$232,Booking.com,11,
20,Casa di Silvia,http://www.tripadvisor.com/Hotel_Review-g187791-d1205804-Reviews-Casa_di_Silvia-Rome_Lazio.html,Rome,415 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
21,Palm Gallery Hotel,http://www.tripadvisor.com/Hotel_Review-g187791-d1739663-Reviews-Palm_Gallery_Hotel-Rome_Lazio.html,Rome,1378 ,,2019/10/01,2019/10/05,$160,Booking.com,5,
22,La Finestra sul Colosseo B&B,http://www.tripadvisor.com/Hotel_Review-g187791-d3176997-Reviews-La_Finestra_sul_Colosseo_B_B-Rome_Lazio.html,Rome,442 ,,2019/10/01,2019/10/05,,B&B.it,0,
23,Relais Le Clarisse in Trastevere,http://www.tripadvisor.com/Hotel_Review-g187791-d623013-Reviews-Relais_Le_Clarisse_in_Trastevere-Rome_Lazio.html,Rome,554 ,,2019/10/01,2019/10/05,$238,Booking.com,11,
24,RomAntic Dreams b&b,http://www.tripadvisor.com/Hotel_Review-g187791-d10423574-Reviews-RomAntic_Dreams_b_b-Rome_Lazio.html,Rome,176 ,,2019/10/01,2019/10/05,,TripAdvisor,9,
