,review_body,review_date,hotelName,hotelUrl
0,"Just returned from a fabulous stay at the Crowne Plaza Barcelona during Barcelona Pride.The hotel itself is very central, close to the Plaza de España - two metro stations just a short walk away.The hotel itself is very modern with the focal point being the stunning rooftop pool/bar terrace. Views of the city from the rooftop were incredible. Such a lovely chilled experience.Firstly I just want to congratulate the management team. Every staff member in the hotel was wonderful, so friendly and accommodating and couldn’t do enough constantly making sure our stay was a memorable one. All our special requests were noted and we were really made to feel welcome.The room was very spacious with a great view - I would definitely recommend requesting a high floor if you do book.Beds were very comfy, bathroom a really decent size with great amenities (bath robes, pillow menu etc).Had a lovely stay, it’s a really wonderful property and would rebook without hesitation if I ever return to Barcelona.Thanks so much for such a fabulous stay :)","July 10, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
1,"Excellent location, only a few minute walk from the magic fountains. My family and I chose to take the hop on hop off tour for 2 days and the bus stop was very conveniently located down the street from the hotel. The rooms are MASSIVE!!! Not quite sure why hotels in Spain do not allow you to have 4 people in a room. I'm not at all comfortable with leaving my pre-teens in their own room. In North America, you would never find this. Nevertheless, the rooms again, are HUGE and can definitely accommodate 4 people. The swimming pool was not a ""pool"" according to North American standards. I would classify it as an aquarium for adults to sit and relax in. Beautiful view from the rooftop...if you have some time to relax, definitely go to the top, grab a drink and enjoy the view of Barcelona. All in all, fantastic hotel...pricey for sure, but well worth it!","July 2, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
2,"The hotel is very well located 5 mins walk from Plaza de Espana, and a great choice for conferences and business. Food is excellent and service well trained and friendly. Rooms are very spacious and beds high quality. The roof top terrace and bar offers stunning views over Barcelona. Highly recommended. ","June 14, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
3,"The hotel is not a central hotel but it is located in a perfect location for the business district ,the Olympic park ,cruise terminal and Barcelona football club.As a regular visitor to bcn and sitges we regularly stay in hotels in bcn . This one was chosen based on location to the cruise portWe payed for a club room and was not disappointed . The room was huge and the TVs even bigger ! The bed was alSo supersize .Nothing more to say about the room - ticked every box - twice! Bathroom excellent and the corridors to the room smelt lovely .The night we stayed athletico Madrid also stayed at the hotel - thought I recognised one good looking fella ","June 13, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
4,"This is a modern, clean, efficient hotel with helpful, professional, friendly staff in an good location on a quiet street.The rooftop bar is a good place to unwind at the end of the day.Highly recommend this hotel for business trips.Booked as part of a bundle with an air ticket it was great value.","June 10, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
5,"We stayed at the excellent Crowne Plaza fira centre from 26th May to 1st June 2019 and from the very start, we knew we had chosen the right hotel.All the staff were very welcoming, we had booked a club room and were escorted to the Club Lounge to check in, while the staff member offered us an array of drinks and we settled on a very nice glass of champagne.Check in was seamless with the very helpful Cansin, who was very polite, helpful and informative. Cansin and Marc and all the staff were great.We have stayed in many different hotels with Club or Executive lounges and this is definitely one of the good ones! Juices and alcohol, including champagne all available from 7 am till 11 pm, along with light bites at various intervals.Breakfast is quite a feast, lots of choice and plenty of it.The hotel is well situated for sightseeing, very close to the Magic Fountain and the old Bull Ring, where there are lots of great restaurants, and easy access to the hop on-hop off buses.Up at the roof bar & pool area, all the staff gave a great service, Dinesh, always with a smile and Jordi went out of his way to give a great service, both remembering our drinks. We had a great evening meal just before it got dark, great views, made even better as night fell and area's lit up.The Crowne Plaza is excellent value in a great location, we would highly recommend it and would definitely stay again,","June 8, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
6,"I stayed at the end of May at this hotel and I think it is one of the best Crowne Plaza (I stayed on various CP and other hotels from IHG ).Even though my reservation was with Reward Nights, I was upgraded to a larger room with access to the Club Lounge , because I am a Spire Elite member. In the Club Lounge I enjoyed an excellent breakfast , drinks, and different tapas during the day . The staff was very nice and helpful, from the beginning til the end of my stay. The room was excellent, with a big and very comfortable bed. The rooftop has a nice pool and a bar where you can have a drink/ meal with a great view over Barcelona.I will definitely come back to this hotel during my next vacation.  ","June 4, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
7,"First time to Barcelona and loved it. A hip, clean, laid back city. Stayed at the Crowne Plaza and loved it. Great location. Easy to get in and out of. Hotel and staff are TOPS..they greeted us when we got there. Were friendly and polite. Never had any issues they could not solve. Hotel is modern, clean and very relaxing. The rooftop bar was our favourite. With the bar/restaurant as well as pool topside, it was the perfect place to watch the sun go down and see the city come alive.","June 1, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
8,"So were touring Europe with a South Korean KPop band and we land here for the last gig. A wonderful hotel with amazing facilities, including a rooftop bar and pool. This is where they missed a too score for the coffers. We finished our show at the Palau Sant Jordi and the load out was done by 0200 hours, at this point at least120 hungry and very thirsty roadys get back to the hotel wanting copious amounts of alchohol and nibbles. The hotel staff wouldnt open the roof bar, or any bar for that matter, and consequenlty the hitel missed out on about £3000 worth of business (we can drink a lot after a last show). Great hotel and location though, great rooms and staff.","May 30, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
9,This has to be one of the best Crowne Plaza hotels for service globally. Such a warm welcome and impeccable service from start to finish. We were lucky enough to be upgraded to use the club lounge which served breakfast then food and drinks (including Champagne) through to 11pm. The room was great and the rooftop bar with outdoor pool and wonderful view over the city just made it. Would recommend anyone visiting Barcelona to stay here.,"May 27, 2019","0    Crowne Plaza Barcelona - Fira Center
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html
