,review_body,review_date,hotelName,hotelUrl
0,"We had a 3 night stay at Hotel VIC with the Club VIC add on. This was amazing and the experience made us feel very special. We had a room on the 22nd floor with a fantastic view of Victoria Harbour with all the lights and boats. Club VIC and the staff there was amazing. With a gorgeous breakfast and a 2 hours of cocktail hour every evening, we found that this was the best place to be in Hong Kong. The staff gave us a fantastic customer experience with the beautiful people in Hong Kong that go the extra mile to make your holiday fabulous. I would thoroughly recommend this Hotel and their Club VIC experience and would not even contemplate staying anywhere else on my next visit. ","July 12, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
1,"I booked a “Premium Harbour View Room” which had a great view of Victoria Harbour. The room itself was very comfortable and modern but a little smaller than I am used to enjoying on my travels. The hotel is fairly new and has a small shopping complex below it. The hotel lobby has to be accessed by the lift as its not located on the ground floor. The hotel pool is beautiful with great views of the harbour. The gym is also well equipped. The MTR station is across the road from the hotel with bus and tram stops also within walking distance. There are plenty of restaurants, eateries and 7-elevens within walking distance. I really enjoyed my stay at this hotel and would return again.","July 12, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
2,By far the best value mid range hotel in Hong Kong as compared to other networkAmazing spread for breakfast and a wonderful panaromic view at roof top pool and cocktail loungeClose proximity to MRT and also the ferry terminal is simply way too convenient Freebie in in-room fridgie and also attentive check in front desk ,"July 8, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
3,Booked straight off a website and very happy with our choice. Rooms are not huge but modern and very comfortable. Free bottled water on a daily basis is a nice touch. Farmhouse Staff could do with a bit more training on how to greet guests and help when needed. Should be noted concierge on desk at reception is fantastic super helpful. Staff at cruise bar are also lovely and very helpful. The hotel itself is modern and free shuttle to central and causeway bay is a great help. For those not wanting to stay in Kowloon this is a great choice. ,"July 7, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
4,"It is in general a really great hotel ,I especially appreciate it's luggage keeping service as it has 14 days that makes our wedding so much easier in terms of logistic,the only thing that is I don't really have time to enjoy the pool. For a wedding photo shoot venue ,it's a bit too small,however the view and big window are helpful ","July 6, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
5,Excellent view of Victoria harbour Free mini bar for refreshment Good swimming pool on Sky floor Need to pay more attention on toilet hygiene. Some finger print on toilet handle and some dirty marks on toilet seat. Little bit disappointed.,"July 2, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
6,"Excellent stay at Hotel BIC in a club room for our family holiday. Excellent service in the club and we so enjoyed the pool. 2 minute walk to North Point MTR, ferry at the doorstep, restaurants and ding-ding very close. Will definitely stay again! ","July 2, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
7,Superb location near MTRBest brekkie spread in Hong KongPanaromic view at rooftop pool and barFree in room mini barSmallish room no bath tub But wonderful harbour viewOutstanding front desk serviceMy go to hotel in Hong Kong,"July 1, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
8,Very pleasant experience. Location was great and views from the room were superb! The room was very clean and bedding was comfortable. Highly recommended for couples and family. Will definitely stay again! ,"July 1, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
9,Great location close to train and all transport. All restaurants & the rooftop bar excellent. We had a club Vic room which we loved having a drink before dinner each night in the club room. All staff throughout were excellent but Katy in Club Vic who checked us in and gave us important local information made our stay exceptional. Her friendly and helpful service is a huge asset to the hotel. Also Sharon organised our smooth checkout. Both staff made our stay just that more special.,"June 30, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
10,"4 night stay in a Club Premium Harbour view. Swanky, new hotel in North Point, beautiful harbour views! Rooms on the small size, (or book a suite) but everything else makes up for it. Modern, clean, great service from all the Club Vic staff, very helpful. Good breakfast, afternoon tea, evening drinks & canapés made for a very comfortable stay. Easy access transport. A nice location change from Kowloon when you’ve been here many times, more local. Reasonably priced. Good rooftop gym & pool. Will be back.","June 29, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
11,Check in was slow as there’s only one person handling the counter. Specifically told the check in to make sure my stay points are credited to my membership but it didn’t. Maybe the hotel can provide a pen or some writing paper in the room so some business travellers have something to use. ,"June 24, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
12,The hotel is very modern and the rooms are clean. The staff has been attentive and nice. The hotel is next to the Barbour so the view is great. Was here with my family on a family trip. Would stay at this hotel again on my next visit. ,"June 24, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
13,"I did have some ""issues"" checking in, but after this hurdle the hotel and its staff are well appointed to assist. The teams English is good for western folks like me, and after all you are in HK so expect language could be different from your home land. But sit back and enjoy the Hotel VIC. Its at north point and VERY easy on the MTR just use exit A1 and you can walk almost to the front door. ","June 23, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
14,"I am local customer.Customer Service is nice. But Company policy shows no sympathy to customer's tragedy, even a tiny little. Too sad for me to disclose the details but in short my proposal ruined. Blacklisted all Sun Hung Kai Properties owned and managed hotels.If you have a really important stay, go for a Hilton or Marriott.","June 21, 2019","0    Hotel VIC on the Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html
