,review_body,review_date,hotelName,hotelUrl
0,It was a pleasure staying at this hotel. Excellent staff with neat and clean facilities conveniently located near the all the historical attractions and bazaars. You will be treated as a personal guest at this place. ,"July 12, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
1,"As everyone seems to agree, this is a wonderful small hotel, and the staff go out of their way to be helpful and welcoming.The location is perfect, within minutes of all the major sites in Sultanahment, and within a short walk of many of the best restaurants in Istanbul.The rooms are over-the-top romantic; it's a long way from Northern European minimalism here.The breakfast buffet is very good, as is the turkish coffee and turkish delight that is offered at the end. The best thing about the top floor breakfast room, however, is the view that is dominated by the nearby Hagia Sophia. When we were there in March, we saw it almost silhouetted by the sunrise.","July 10, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
2,"Even the glowing reviews I had read did not prepare us for how wonderful the White House hotel is! The location, facility, staff and pampering are all perfection. Rose petals on the bed, spotless gilded decor, roof top breakfast, uniformed friendly helpful staff. Attention to every detail. After noticing that my husband was dragging after a full day of touring, they even sent a complimentary small bottle of wine to our room! If only I could drag this hotel around the world with me! Thank you White House!","July 10, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
3,"Beautiful hotel located in the heart of the city. The best features of the hotel are its quiet central location, impeccable service of its friendly staff and perfect rooftop (which is open throughout the day) where breakfast is served with panoramic views of Hagia Sofia and the city. The breakfast hostess Busra is particularly friendly.","July 9, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
4,"We had amazing service here! I’m planning another trip here next year and couldn’t imagine staying at another hotel. Everyone here is so kind, especially Büşra and Aleyna! The rooms are exquisite, and the location is perfect. Right next to Hagia Sofia, The blue mosque, shopping and more. 5 stars!!","July 7, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
5,"Location location location. If this is your first visit to Istanbul, the White House has the magical location with a few minutes walk to all the important sights of Sultanahmet.From your first communication with the hotel to the welcome you receive on your arrival and throughout your stay, Mr Harun (the owner) and his wonderful team will overwhelm you with kindness and hospitality. A special thanks to Mariam at the front desk.The White House is a lovely boutique hotel with 21 comfortable rooms with good bedding. It offers various rooms which accommodate families. Air conditioning works well. Wifi is pretty slow and does not retain the connection which requires signing in each time.Breakfast is a special time on the rooftop with spectacular views over Hagia Sophia. The breakfast buffet is delicious and ample.","July 7, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
6,"I stayed here for 5 nights in Istanbul and was very impressed with how clean the hotel is. All the staff i met was extremely friendly, and very accommodating. They welcome you to their hotel and treat you with utmost respect. It starts as soon as you walk in and they greet you kindly and offer you a welcome drink. Breakfast is included and was excellent quality. There's a nice rooftop restaurants that is very private and has an excellent view of the Hagia Sofia mosque. The location of this hotel is excellent and within walking distance to fine restaurants, museums, and mosques, and even bus stops to airports. I would definitely come back again or recommend it to my friends and family.","July 7, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
7,"We had the best experience with White house hotel. Perfect location, centrally located close to many attractions, tram and metro access. All the staffs went above and beyond in providing us the best service. Very welcoming and helpful. Special mention to Yakub snd Bushra. Yakub recieved us late in the night and surprised us with his hospitality. Bushra was always friendly and checked on us and made personal connection. Breakfast had a very good spread and the view from the hotel roof top was amazing. Would recommend white house hotel for everyone. Thanks to the amazing staff.","July 7, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
8,"Perfect location - in the heart of the old town. A very beautiful hotel with very comfortable rooms. Great breakfast. Excellent service. The staff are very polite, professional and helpful. This hotel has a lovely rooftop terrace with a wonderful view. I would highly recommend this hotel to everyone.","July 3, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
9,The customer service starts right from the time you make a booking. They arranged cab for us as we were landing late night. The whole staff are super friendly and guided us with everything. Hotel super clean and a stones throw away from major attractions. Excellent stay.,"July 2, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
10,The best of this boutique hotel is by far the staff courtesy and attention to the guests. Good breakfast. Well located - close to the main attractions - It was certainly a very good choice for my family trip.,"July 2, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
11,"Stayed in this beautiful friendly place just for 2 nights, was not enough . Hotel is on the middle of everything , very clean, nice breakfast on a terrace, friendly helpful staff. Highly recommended . The best place to stay in Istanbul with reasonable price.","July 2, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
12,"We stayed here for 2 nights during my first visit to Istanbul. We used Safe Airport Transfer from Istanbul airport which took about 1 hour to the hotel. Check in was a breeze at which point we were served a refreshing beverage and introduced to the reception staff and given a brief orientation. There was a superior room available and was shown both rooms. We picked the larger back facing room on the fourth floor overlooking rooftops. The standard room overlooked the street. The room had near blackout windows, a minibar, tea kettle, and basic amenities. It was very quiet and the ac worked well. Because it was a smaller hotel there was no bar or restaurant on the premises, however, the area was extremely close to cafes, and an assortment of markets. The location was a quick walking distance to the major historical sights. Breakfast was included and served on the rooftop terrace. This was an extensive spread which included hot entrees, assorted pastries, cereals, fruit, salads and Turkish tea and coffee. The presentation and detail were top notch. The staff were quick to serve and extremely hospitable. The staff was eager to provide excellent suggestions on activities and nearby restaurants. I was overwhelmed by the kindness and graciousness of every staff member. They were truly a professional team. I highly recommend this property for not only its ideal location but for its cleanliness, value, and outstanding choice of staff. ","July 1, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
13,"The only reason I decided to give this property a try was because of a VERY large number of positive reviews the property had, and I AM SOOOO GLAD I BOOKED IT.Truly unbelievable and OUTSTANDING customer service one can ever experience in a hotel. Right from the time I booked the hotel, to the time I landed up there actually, the follow up by the owner was also par excellence. I really don’t know how EVERY SINGLE STAFF MEMBER literally treats you like a family member. They are quick to respond to any request, suggestions, etc. and want to make you as comfortable in not only the hotel but in the knowledge of the surrounding area as well. The location has many other hotels at an arms length away, but I can say WITHOUT ANY DOUBT WHATSOEVER THAT THIS IS TRULY THE BEST PROPERTY ONE CAN STAY IN WITH REGARDS TOPMOST CUSTOMER SERVICE. I SALUTE THE OWNER TO HAVE TRAINED HIS STAFF SO WELL.The room was SUPER CLEAN and SO WAS THE TOILET. The decor is very ornate and gave traditionally beautiful look.The proximity to top sites like Blue Mosque, Aya Sofia, etc is an added bonus. There were many nice restaurants in the vicinity too that served amazing food at 1 a.m. I took a walk around 1 a.m. and IT WAS ABSOLUTELY SAFE. My only one regret is that I wish I could have stayed here for longer.","June 28, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
14,"Location is great! Very close by Hagia Sophia! Every client is welcomed with a big smile, refreshments, sweets and flowers, by the hotel team! Especially Meryem (frontdesk ) was very careful! She.s speaking very fluent english, so this is a big plus! Highly recommend it! I can.t forget Cihan ( hotel team, too) He will help you, anytime you want, with a big smile on his face! Thank you, Cihan! The owner of White House Hotel is very careful with his clients! Any problem you have, he and his team will try to solve, as good as they can! The rooms were amazing! With so many details in golden and white! If, you girls, want to have some inspirational photos of you in the room, I promise it will be a blast! As well, I recommend the terrace of the top flour, for great photos! You can see, from here, the view of Hagia Sophia, admiring the seagulls, while having your breakfast! White House Hotel is a very good choice, for your staying in Istanbul! Good prices, golden services and beautiful memories!","June 27, 2019","0    White House Hotel Istanbul
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html
