,review_body,review_date,hotelName,hotelUrl
0,"Great location, clean and spacious room, excellent staff and most importantly quiet so we had a good nights sleep. Breakfast was good and the bar prices were fair, hotel is within two minutes of the tube so ticks all the boxes ","July 13, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
1,"Had a fantastic 2 night stay here in Travelodge London City. It is all new, modern decor, with plenty of space in the cafe and breakfast area. Great little bar too. Our rooms were clean with comfy beds, kettle and tea/coffee, fluffy towels.Location is great - hop on the bus outside on St Bolstoph Street, or just head to London Tower on foot (where you can then hop onto a river boat if you want the scenic route down to Westminster!). Liverpool Street train station is only 5/10 minute walk away too, where the Stansted Express can take you to Stanstead Airport in less than an hour. Aldgate tube station and bus station are also just around the corner, so it really is a good base for visiting lots of London.On Sunday, the Petticoat Lane market is less than a minute away and Spitalfields market only a 5 minute walk from there. Would definitely recommend the latter, we spent well over an hour there and made some great purchases!Loved our stay here and will definitely return. ","July 12, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
2,"I was hoping for a good experience from the reviews but this is the best Travelodge I have stayed at. Minutes from Aldgate Tube and in a quiet traffic free street (amazing for London). Rooms were clean and functional with a great aircon system and very quiet with lots of sockets etc. Only tiny negative was the layout of the bathroom was tight between toilet and sink but a minor issue. Nice airy bar and restaurant area and the food, although pre-prepared was hot, tasty and served with a smile and there were plenty of staff on hand. That brings me to the final point. the staff were smiley, welcoming and helpful from the time I checked in until I left after breakfast. A good breakfast at that. Cant single any out but I stayed on the night of 10 July and they were all great. It isnt always that way. Would I stay again- yes my hotel of choice when in London on my works budget","July 11, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
3,Great location 4minutes from Aldgate underground.Fabulous self service breakfast.Comfy rooms .Shower was excellent. Tea & coffee facilities provided only negative no hairdryer in room.Helpful reception staff.,"July 11, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
4,"Polite staff with quick check in. Family room was big (119) but the bathroom is tiny. Not a great view of a block of residential flats opposite! No iron or ironing board, so had to go down to collect them myself. Good location for Aldgate tube station. Breakfast was fine.","July 11, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
5,"Generally a good hotel facility. Neat and clean room. No in-room phone. A bit of a distance to get into the London City Centre (Trafalgar Square, Covent Gardens. Used Uber for the first time for local transportation. Liked the nearby restaurant. Not far to pubs in the area. One simple dinner in the hotel restaurant was fine. Stayed a total of four nights. My only reservation would be the proximity to the City ""hub"", but otherwise reasonably priced. Stayed as a solo traveler.","July 10, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
6,Friendly staff clean and modern hotel very nice breakfast and stores luggage for free Rooms are very modern a very nice shower the only thing I didn’t like was being able to see out of the window as they was a frozing film on our room ( family room ) but over all great stay and hotel is very easy to get too,"July 10, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
7,The hotel in excellent condition with very good location. Staff and services are really good. Recommended for stay at reasonable prices. Hotel seems like new with air conditioning and large rooms.....,"July 10, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
8,Travelled to London and stayed in this hotel great location very close to tube station. Very clean and rooms have everything you could want. Very Handy if you are flying from stansted. Highly recommend !! ,"July 10, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
9,"Checked in today, single male has been given a twin disabled room. Requested for the room to be changed as clearly i do not have special needs and the room is not suitable for me. Being told that they are fully booked without checking booking information on the computer.... the manager was equally unhelpful as the front desk staff. manager just came and repeated the same story of being fully booked without checking any booking information ... never staying in Travelodge again...completely spoilt the visit/stay.","July 9, 2019","0    Travelodge London City hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html
