,review_body,review_date,hotelName,hotelUrl
0,"guest relationship manager Sharon is great, she helped us sort out our accommodation arrangement when my booking was messed up by internet booking agency. we are very thankful. hotel location is just five min walk from central train station, very clean, breakfast is deliclous. I highly recommended room 025 if you are solo traveler. the layout of that room is great, has little extra Zen corner with garden view, bathroom is big.","July 14, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
1,"Very friendly and accomodating staff! The rooms are very clean and comfortable, and the breakfas buffet is super, with many options. Filling out MyPage to customize our stay was a great feature, choosing temperature in the room upon artival, bedding blankets etc.","July 13, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
2,Enjoyed our stay. Room was clean and comfortable. Great location with easy walk to Milan Centrale. Luca was there to greet us at check-in and to say Ciao! At checkout. Very courteous and professional.,"July 10, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
3,"This was the only hotel we visited on our Italian trip. Close enough to the train station, not the greatest surrounding atmosphere, but inside it was fine, if a little cramped. Lots of ceiling room for some reason and the quietest ceiling fan I've ever (not) heard. Friendly staff.","July 8, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
4,"I enjoyed my stay at Hotel Berna. The staff was super friendly and helpful. My room and bathroom were clean and reasonably comfortable (except for the hard mattress). The free beverages in the minibar were a nice touch and appreciated. I took full advantage of the yummy breakfast and enjoyed an aperitif each evening in the bar which also included some light antipasti. While not my favorite location in Milan, it is very conveniently located a short walking distance from the central station. Otherwise, the neighborhood is full of tourists and lackluster restaurants. ","July 5, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
5,"I stay 2 night in hotel.this hotel had very good location,wifi and cleain room.The breakfast buffet was normal.bathroom was very clean.All round good service and I would recommend a stay based on good value for money coupled with cleanliness and a good breakfast","July 2, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
6,"Very convenient to central station and the underground, a good selection for breakfast and complimentary soft drinks in the rooms. All round good service and I would recommend a stay based on good value for money coupled with cleanliness and a good breakfast. The bathroom facilities were excellent. The only downside was the mattress and pillow were the hardest I have ever known","July 2, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
7,A few nights stay at the end of a 3 week holiday. Great location within a few minutes walk of the Central Train Station and Metro Lines. Close to great bars and restaurants. The Hotel decor in the common areas is very dated. But the room was modern and tidy. For €20 extra can extend late check out to 2pm - quite handy. Would stay here again. ,"June 28, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
8,"We had an excellent experience at Hotel Berna, where we stayed for one night after arriving from the U.S. The service was excellent, the rooms were very nicely appointed, clean and comfortable, and the breakfast featured a wonderful assortment of delicious food. It was conveniently located near the train station, in a very nice area, and only about a 30 - 40 minute walk from the Duomo and other major sites. I highly recommend this hotel.","June 26, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
9,Very clean hotel with accommodating staff and great breakfast. So close to the train station and not very far from central tourist sites. I would highly recommend this hotel you will not be disappointed.,"June 24, 2019","0    Hotel Berna
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html
