,review_body,review_date,hotelName,hotelUrl
0,"It is hard to beat this location. The hotel is close to restaurants, shopping and a short walk from the High Line and Hudson Yards. The hotel itself was ok. Not super fancy, but everything you need. Our room was clean, the bed was comfortable and our AC was just fine. So no major hickup with the room. That being said, this is not the Ritz or the 4 season. If you are looking for pampering and fancy, there are better options, but be ready to pay for those options! The rooftop bar was fun and inviting and the food served was good. Never had an issue with the staff, they were all nice and helpful. I can't think of anywhere else I would like to stay, location is everything. I will certainly consider this hotel on my next trip .","July 7, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
1,Stayed two nights. AC did not work in lobby or room. Several times called and stopped at front desk. They said they would send maintenance every time. It never happened. It was a cool 81 degrees in the room and staff would not move us or get the AC issue fixed. Room 1000 in case you wonder. Security staff was also rude and unprofessional. I have never been treated so poorly by the staff in a hotel I was staying in. Rooftop bar was average. Weak drinks and overpriced $19 cocktails.,"July 7, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
2,"I used to live in the neighborhood and wanted to stay here on a return trip. I knew the rooms and the hotel itself were nice (and great location) so booked my 6 nights here. I should've known something was up when, on arrival, I walked into the lobby that was warm, humid and stuffy - and they even had fans sitting on the checkin counter pointing towards the staff. But it was typical NYC summer weather - hot and humid - and normally when you walk into a hotel lobby it's like a respite from the heat (and this was at 7pm, not the peak of the day).My room was at 72 degrees but humid & still so I set the A/C down to 65. Nothing happened. Set to 60. Set to 50. Nothing happened. Went out for 2 hours thinking it would be cooler when I got back, and when I got back it was the same. I realized that the A/C just wasn't working or in the very least, wasn't working enough to cool the room. I went to the front desk and asked them to switch me to a room with A/C and they were 100% booked but offered me a fan. A fan. This is the most basic room at $450/night, and... a fan? But I had no choice, it was already approaching midnight and it was too late to find something else, so I took it. They promised to switch me to a room the next day.The next day: they have a room and they promise that the AC is working great. I tell them ""I bet it's not - can you please have someone check to confirm"" - and the guy says ""Even our engineer was up there servicing it, he said it's cranking."" So I go up to that room and it's almost 80 degrees according to the thermometer - but they said it was cranking? I went back to the front desk with a photo of the thermometer and they said ""it takes a little bit to cool down but should be fine soon."" So I went out for a few hours and came back, and barely any change: 77 degrees. Humid, still. Back to the front desk with photo proof and they say they have another room (3rd room within a 24 hour period) that is a slightly upgraded room (space-wise just a tiny couch by the window) and they promise that the AC is working great in this one. I get to the room and it's the same thing: temp stuck at 72 (humid) degrees and I set the thermometer down to 50 and nothing happens. I go back to the front desk and tell them ""I'm really not trying to make your lives miserable, I just want the AC to work."" The engineer comes up to the room, walks in and says ""it's really cold in here"" (it's not: when you walk in it's like the humidity and stillness close in around you). He checks the air temp coming out of the vents and it's at 54-58 degrees, but the room is stuck at 72 - this just means that the AC isn't strong enough to cool the (small) room. The manager comes up to check it himself (who was incredibly nice) and found the temperature to be acceptable - not cold, but comfortable and temperate. This was a week in NYC where it was 92 and 90% humidity every day, lows of 80 each night, and I needed normal air conditioning. I couldn't imagine staying here 5 more nights, so I accepted a fan for night two and told them I'd be checking into a different hotel for the remainder of my stay (and lucky enough I was able to find one nearby with room availability). They understood and were kind enough to let me out of my remaining nights' commitment, but I think that's the right thing to do if a room's AC isn't working properly. A luxury hotel should have A/C that chills a room - for example, a nearby hotel allows you to set the thermostat down to 60 and you feel the temp change quickly. In the heat of an NYC summer, 66-68 is a perfect room temperature to be able to sleep in. I was beginning to wonder if it was just me so I took to TripAdvisor and searched old reviews and found a lot of comments about poorly-functioning air conditioning, so it must just be something about their HVAC system. If A/C had been working normally I would've given this hotel a 4-4.5-star review, but minus AC in summertime in NYC, that rating has to drop. But it's balanced out a bit by the hotel realizing it was a problem and letting me cut my stay short. On other more complimentary fronts: very very nice staff here, helpful, friendly.","July 4, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
3,"WOW! Met my long distance girlfriend for a romantic getaway in NYC. The pictures, location and amenities drew us to Gansevoort Meatpacking NYC but the world-class service (especially Lauren at the front desk) the detail and cleanliness of the room (King Suite), the in-room balcony and the rooftop pool made our stay truly memorable! In fact, we just booked again for July and can’t wait!Everyone was super friendly and offered top-notch hospitality. Really excited to return later this month. Thanks Gansevoort - romantic, private, comfy and clean!","July 2, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
4,"I love the Gansevoort for the central location in the Meatpacking, with a quick walk into Chelsea or the West Village. Lauren at the front desk was extremely friendly and helpful, and upgraded us from a standard king room into a nice suite for our stay. The added room definitely enabled us to enjoy our time at the hotel.","June 25, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
5,"We stayed at this hotel to celebrate our 15th anniversary and went with our friends who were celebrating their 10th. We spent extra for a suite in order to celebrate. Not only was the suite not worth the money, it was in shambles when compared to our friend’s regular room. The air conditioner was broken and couldn’t keep the room at a comfortable temperature for sleeping. A lamp shade was being held together with tape. The USB outlet was not functioning and we only had a USB cord for charging our phones. The furniture was old and worn. Our friend’s regular room was updated and a considerably better environment than our suite. We wished we didn’t spend so much more for what we thought would have been an upgrade.","June 23, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
6,This is the perfect hotel if you’re a returning visitor to New York or aren’t looking to do the typical tourist activities. The meatpacking district is a region teeming with quaint coffee houses and upscale eateries; not to mention the world renowned Chelsea market is visible from most rooms. But there is a loud bar downstairs which is open until late if you’re bothered by alcohol. The beds were extremely comfortable for a refuge after rigorous walking all day! ,"June 19, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
7,"I have found this review quite difficult to score as there are many good points so have went in the middle as I think ultimately there are a few real negatives.Firstly, fabulous location but wouldn’t recommend for a week as after a few days you find you need to travel everywhere. I think midtown best hotel location and can visit the cool districts like this and spend the day there which would be better.The rooftop pool is beautiful but food is barred. So when sunbathing and get hungry you must get dressed and go inside. Bit annoying.The rooftop bar has a great view but the staff are extremely rude especially the blonde and brunette ladies. There is no chat and they make you feel quite uncomfortable. I think this is outsourced and not actually hotel staff as the hotel staff are lovely at reception and the ground floor bars.The continental breakfast is the worst I have experienced. No ham or cheese. Just pastries and jam. Poor.The bar upstairs is also very expensive at $15 for a small water and draft coke. I don’t mind paying for value but a very basic drink.We had a terrace room with private seating area. But above you are lots of rooms who drop cigarettes down and the cleaners don’t pick up. It also isn’t relaxing sitting at night with hundreds of rooms above you with windows open and you would be a good target for drunk pranks below. Water pouring etc. As the hotel is full of youths. It also becomes almost a nightclub on Friday Saturdays so if not into a lobby full of clubbers maybe avoid.The cleaners ignore the bins in room if you don’t put everything in exact bin. Fairly annoying. Had to leave a $5 tip beside it and then it was emptied.Storage in room non existent. Nowhere to put two cases. Bathroom tiny and the way door works two people really struggled to even brush teeth together.4 star hotel with a smelly damp shower curtain seems odd too.Overall good experience and we had a great time but for having such a brand like Gansevoort I don’t think it was much better than any Hilton Garden Inn.If really want to stay here I would suggest 2 nights max and then switch hotel. ","June 14, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
8,"Had a great stay here for two nights last weekend. Very competent hotel with lovely room and facilities, in a great location. Lots of interest nearby e.g. the high line, walked all the way from hotel down to World Trade site along Hudson, Bubby’s diner. Highly recommended! ","June 7, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
9,"Stayed here 3 nights for work and will keep coming back. Have been to all the nearby hotels (Dream, Maritime, Standard) but this was my first time at Gansevoort and it did not disappoint. The location is adorable and it sits on a cute street with a fun ice cream pop up in front, the service super friendly and helpful. (Special call outs to Charles and Raul that helped me with luggage and Lauren at the front desk, who helped me check in and check out and was super thoughtful to find me a quieter room since she knew I was in town for work, which was in stark contrast from the Dream, where they put me in a room with tons of noise from the pool even though I requested a quiet room when booking) everyone greets you, and the folks at the elevators that press the button for you are really a nice touch. The room was spacious and well-appointed with loccitane toiletries and the cutest slippers and a cute goose on the bed. :) I will definitely continue to book Gansevoort for future visits. ","June 7, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
10,Just back from this amazing hotel. Great customer service. Staff can’t do enough for you to make your stay pleasurable. Really helpful and will advise on anything regarding the area. Only downside is that it’s expensive especially on the roof top bar. It gets really crowded on a sunny day so get up there early to bag a sofa. They started to play really loud music from 11am which was our time to exit! You wouldn’t want to stay up there all day anyway as there’s too much do outside the hotel. Great location for bars and make sure you take full advantage of the happy hours at Bubbys and Serfino as its makes a massive difference to the wallet as just doesn’t offer half price drinks but delicious bar snacks too!!! Would recommend based on location and amazing staff!,"June 1, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
11,"The Gansevoort Meatingpacking is a very nice hotel with lovely rooms and amenities. The spacious room with comfortable bed, a nice seating area with a view of the new Restoration Gallery, illy coffee & fiji water couldn't be nicer. The location was also perfect for all of the activities that we had planned. The staff were great and extremely helpful. Our hotel experience was exceptional!","May 23, 2019","0    Gansevoort Meatpacking NYC
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html
