,review_body,review_date,hotelName,hotelUrl
0,"Splash Beach Resort is well located and has everything the family needs for perfect vacations (amazing and helpful staff - especially guys named MISHA (hope I spelled it correctly) and FADON, complimentary waterpark access and lovely setting). The breakfast has a large variety of dished to choose from. The noise from a nearby airport is not a problem, even at night. One setback though - if you do decide to book a room in Splash Beach Resort, I would highly recommend to spend a little more and pick Executive Room or higher. The difference between Executive and Deluxe rooms is gigantic. Execs are much cleaner, spacier and better located but most importantly - what struck us the most when spending two nights in Deluxe after 8 nights in Executive was how the bathroom needed a renovation - when we moved in we found a water on the floor. We couldn't locate its source - at first we thought it was a leaky toilet but it turned out there was a crack in a ceiling (covered in mould) and the water was dripping behind the mirror and all the way down to the floor. Hope it’s just a phase and these rooms will soon get a much needed renovation because the complex as a whole is a great place!One more thing - at the end of our stay there was some sort of business conference taking place in the Resort and all the meals for „regular” hotel guests had been moved to Baan Thai restaurant which, aside from its beautiful setting, is an open building with no air conditioning - it wasn’t comfortable to eat breakfast in hot and humid environment. Also, because of the conference, electric buggies which are normally used to transport hotel guests around the Resort, were also mainly occupied by the conference folks and the hotel management thought it would be good idea to let tuk-tuks in to the Resort which resulted in noise, horrible exhaust smell and danger on Resort’s footpaths.","July 11, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
1,"We have been staying at the splash beach resort from the 28th June .We have had the best hospitality, courtesy the Indian chef ATUL who was kind enough to introduce himself and make sure we were given an Indian breakfast everyday.Also he catered to one of our children who was allergic and made specific food for him too.Chef Praveen too was very nice to us !!!!","July 8, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
2,"Hotel was really nice and clean. The lady who works in the bar in the lobby was so nice and friendly, will really miss her. Very nice place to stay. I just wish they served halal food. Would stay again if we returned to Thailand. ","July 6, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
3,"It was plesure to stay for 4th time in Splash. Service and hospitality are at very high level. Breakfast in new opend restoran is awsome . So , I have no complains at all and looking forward to return. Also want to say tnks to amazing Sports& Recreation team Ton, Bow, Pan , Neung and Tip as we had great time with them at the beach :) Hope to see u guys soon again,Nikola","July 4, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
4,I stayed here for 2 nights. This was the perfect length of stay for my 2 teen boys and me. We played at the water park all three days. My wife relaxed in the very comfortable and modern room. You do here planes take off when you are outside your room. If you have PTSD then don’t stay here. My friend recommended this resort to me and I will recommend it to my family and friends. Room extremely great. Water park great. If you want everything to be perfect then go to Disneyland. This is an amazing place for Thailand. My kids thought it was better than Great Wolf Lodge. I did 5 nights in a villa and 2 nights here. This was a great for my family. ,"July 4, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
5,"Room is clean and tidy. Staffs so helpful specially. Mr. Au, Mr. chakrit, and Mr. kasat thank you so much for take a good care for us. The pool so nice with sea view and close to the beach. The thing only the buggy that have scheduled for 15 Min a round then if you are hurry, You should be aware. However, all the area you still can walk around.","July 1, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
6,"I stayed there with my husband and kids for 2 nights only. I wish we stayed more! Its a huge place approximately 47 acres of land, lush green with lakes, water park, infinity swimming pool, villas, rooms in different categories, restaurants, bars and buggies to take you around and yes a private beach! What else could you ask for on a vacation! We all loved it! The staff explains everything at your check in and for any problem you face or any assistance you need, just dial 0. Extremely professional staff! My experience started with my reservation which was handled my mainly Ms. Chonticha and her other team mates including her Reservation Manager. I booked directly with the Hotel. I had different queries and I kept emailing them and they kept responding and handling each concern. Ms. Alina was extremely courteous and helpful. So was Mr. Sinaporn. We were checked in by Mr. Ta, he escorted us to the room while explaining all the facilities if the Resort and also gave us a map. He also guided us for the magic number 0 which deals with all your queries. I was highly impressed by the quick response to everything. Loved the view from infinity pool. Their breakfast was ample and healthy. Had dinner at the Splash Kitchen. Lovely food! I will definitely return with family and friends and also recommend this place for a lovely vacation. And yes it is near the airport so you do get to hear the airplanes taking off and flying past but when you are tired from a fun filled day at the water park and swim at the infinity pool, who cares about the airplanes! I didn't hear anything once I dozed off! ","June 30, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
7,"For all that Langham represents, I had high expectations for this property. Sadly, the downsides we had experienced with this property far outweighed the environment.+ Lush landscaping+ Staff who try as best, despite poor fluency in English Language.- Poor food quality/ dining options- Noisy (Towers 2 and 3 completely exposed to the noise of airplanes taking off)- Mosquito-prone environment- Odd-shaped roomsFor every positive we encountered in service, there was always something at the back that bothered us.1. We were given early check in when we arrived on property at 11am. However, instructions given by our travel agent didn’t match the instructions in their system so they did not accord us Club Lounge access.2. The room they had first put us up in was grand - it had two bedrooms and en-suite bathrooms, a double sink setup for the Master bathroom. However, the dining table was riddled with ants AND we were awoken by loud pellet firing at 5.40pm (we were put up in a room facing some in-house construction).3. On requesting a room change, service came promptly to move us, but across the hallway. This time, the same 2BR had a different configuration and the room size is markedly smaller.4. For the duration we were on this property, they were booked for a large scale wedding. This meant the standard breakfast place was closed for 3 mornings in a row and dinner options were limited. Such a bummer to be given a sheet upon arrival on location. It would have been better hospitality to email your guests ahead of time and/or provide a heads up on your webpage for service outage.5. The new breakfast place was outdoors, and we became mosquito breakfast before getting to our breakfast. Gentle caution to load up on your insect repellent, esp if you are traveling with children!6. Breakfast quality was really, really poor. I cannot reconcile with the other reviewers’ comments about the breakfast quality - it sounded like we were on a different resort!7. Splash Jungle was complimentary for our booking, but everything from towels to lockers to water had to be paid for. Food at the “park” was a mixed bag of hits and misses - the wood-fired pizza was the only item which was reliable in our 3 days in location. I would be super bummed if we had to pay for entry fees on top of the miscellaneous charges.8. Dinner was just bizarre. It was told to us as “International Buffet”, but the line up had a live pasta kitchen + a few dry/ tough meat dishes + a seafood casserole, soup and 2 Indian dishes with a pathetic cheese board. Dessert was honestly half-hearted - melted chocolate mousse in milk and white versions, a mille-feuille dish and 2 sponge cake types.And yet, kids ate for free. So we took it like any normal meal, had one plate of mains and went off.A holiday on this property was barely relaxing - we either had to walk in mosquito-infested grounds or wait for a buggy every 15 minutes. The limited dining options also meant we had to constantly plan ahead for our 2 kids. This is a definite no-return location for us - our trip last year at a Choeng Thale property was way better thought-out for us every step of the way.","June 24, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
8,"When we arrived, the staff that served us spoke fluent English which made the whole process smooth. She was very polite and friendly. She upgraded us to a king's room, which was big and comfy. As our flight was at night and our hotel deal included breakfast, we could takeaway the meal to the airport. Also, the hotel helped us to hire a taxi to the airport and even helped us bargain the price (of course upon our request). Our room was near to the water park, but there was little directions and signs to guide us so it took a while to get there. Also the shuttle bus service was confusing. We asked the staff to help us call for one each time we need one. The water park has too little stuffs to play. 3 hours max. Did not get to try their restaurants because there were local ones right outside the hotel. Not many choices but at least they were cheaper than the hotel restaurants. We were told there was a beach next to the hotel that could see the sunset, but we didn't go.","June 22, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
9,"The rooms are clean, comfortable and serviced daily. The property has lovely gardens to walk around and a beautiful infinity pool which is beach-side. It was really reasonably priced for the the amenities provided. Plenty of restaurants on-site or nearby. The Splash Water Park is accessible from the resort and part of the package. Great for kids and adults. It is close to the airport so planes can be seen and heard. We didn't find this to be a problem. Remember to take sunscreen and insect repellent and enjoy the stay.","June 21, 2019","0    Splash Beach Resort by Langham Hospitality Group
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html
