,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Divani Caravel Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html,Athens,296 ,,2019/10/01,2019/10/05,$152,Expedia.com,13,
1,Centrotel Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d657423-Reviews-Centrotel_Hotel-Athens_Attica.html,Athens,1318 ,,2019/10/01,2019/10/05,$53,Booking.com,9,
2,Herodion Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d228864-Reviews-Herodion_Hotel-Athens_Attica.html,Athens,2980 ,,2019/10/01,2019/10/05,,Booking.com,14,
3,Central Athens Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d554815-Reviews-Central_Athens_Hotel-Athens_Attica.html,Athens,2108 ,,2019/10/01,2019/10/05,$183,Booking.com,15,
4,Wyndham Grand Athens,http://www.tripadvisor.com/Hotel_Review-g189400-d10961869-Reviews-Wyndham_Grand_Athens-Athens_Attica.html,Athens,872 ,,2019/10/01,2019/10/05,$128,Booking.com,17,
5,Areos Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d1160295-Reviews-Areos_Hotel-Athens_Attica.html,Athens,720 ,,2019/10/01,2019/10/05,$99,Booking.com,13,
6,Central Athens Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d554815-Reviews-Central_Athens_Hotel-Athens_Attica.html,Athens,2108 ,,2019/10/01,2019/10/05,$161,Expedia.com,8,
7,AD Athens Luxury Rooms and Suites,http://www.tripadvisor.com/Hotel_Review-g189400-d12590456-Reviews-AD_Athens_Luxury_Rooms_and_Suites-Athens_Attica.html,Athens,162 ,,2019/10/01,2019/10/05,$165,Booking.com,10,
8,O&B Athens Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d607425-Reviews-O_B_Athens_Boutique_Hotel-Athens_Attica.html,Athens,2254 ,,2019/10/01,2019/10/05,$142,Booking.com,14,
9,Crowne Plaza Hotel - Athens City Centre,http://www.tripadvisor.com/Hotel_Review-g189400-d229415-Reviews-Crowne_Plaza_Hotel_Athens_City_Centre-Athens_Attica.html,Athens,1000 ,,2019/10/01,2019/10/05,$213,Booking.com,10,
10,InterContinental Athenaeum,http://www.tripadvisor.com/Hotel_Review-g189400-d233052-Reviews-InterContinental_Athenaeum-Athens_Attica.html,Athens,2635 ,,2019/10/01,2019/10/05,$276,Expedia.com,10,
11,Hilton Athens,http://www.tripadvisor.com/Hotel_Review-g189400-d198932-Reviews-Hilton_Athens-Athens_Attica.html,Athens,4406 ,,2019/10/01,2019/10/05,$296,Hilton,15,
12,Wyndham Athens Residence,http://www.tripadvisor.com/Hotel_Review-g189400-d13949988-Reviews-Wyndham_Athens_Residence-Athens_Attica.html,Athens,315 ,,2019/10/01,2019/10/05,,Booking.com,14,
13,Hotel Metropolis,http://www.tripadvisor.com/Hotel_Review-g189400-d579328-Reviews-Hotel_Metropolis-Athens_Attica.html,Athens,749 ,,2019/10/01,2019/10/05,$116,Booking.com,9,
14,Melia Athens,http://www.tripadvisor.com/Hotel_Review-g189400-d507363-Reviews-Melia_Athens-Athens_Attica.html,Athens,2650 ,,2019/10/01,2019/10/05,$125,Booking.com,16,
15,Athens Backpackers,http://www.tripadvisor.com/Hotel_Review-g189400-d569007-Reviews-Athens_Backpackers-Athens_Attica.html,Athens,570 ,,2019/10/01,2019/10/05,,Expedia.com,9,
16,Attalos Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d235705-Reviews-Attalos_Hotel-Athens_Attica.html,Athens,2213 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
17,Plaka Hotel,http://www.tripadvisor.com/Hotel_Review-g189400-d197721-Reviews-Plaka_Hotel-Athens_Attica.html,Athens,3841 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
18,InnAthens,http://www.tripadvisor.com/Hotel_Review-g189400-d8555475-Reviews-InnAthens-Athens_Attica.html,Athens,513 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
19,Athens Studios,http://www.tripadvisor.com/Hotel_Review-g189400-d630141-Reviews-Athens_Studios-Athens_Attica.html,Athens,423 ,,2019/10/01,2019/10/05,,Expedia.com,11,
