,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Eastin Ashta Resort Canggu,http://www.tripadvisor.com/Hotel_Review-g311298-d14172686-Reviews-Eastin_Ashta_Resort_Canggu-Canggu_North_Kuta_Bali.html,Bali,193 ,,2019/10/01,2019/10/05,,Expedia.com,10,
1,Hotel Terrace At Kuta,http://www.tripadvisor.com/Hotel_Review-g297697-d5542199-Reviews-Hotel_Terrace_At_Kuta-Kuta_Kuta_District_Bali.html,Bali,802 ,,2019/10/01,2019/10/05,$27,Booking.com,14,
2,Canggu Beach Hostel,http://www.tripadvisor.com/Hotel_Review-g311298-d10672698-Reviews-Canggu_Beach_Hostel-Canggu_North_Kuta_Bali.html,Bali,359 ,,2019/10/01,2019/10/05,,TripAdvisor,9,
3,Sawah Indah Villa,http://www.tripadvisor.com/Hotel_Review-g608495-d2186183-Reviews-Sawah_Indah_Villa-Sidemen_Karangasem_Bali.html,Bali,549 ,,2019/10/01,2019/10/05,$71,Booking.com,10,
4,The Cubang Hut's Lembongan,http://www.tripadvisor.com/Hotel_Review-g1137831-d12437562-Reviews-The_Cubang_Hut_s_Lembongan-Nusa_Lembongan_Bali.html,Bali,117 ,,2019/10/01,2019/10/05,,Trip.com,0,
5,The Mansion Bali,http://www.tripadvisor.com/Hotel_Review-g297701-d500134-Reviews-The_Mansion_Bali-Ubud_Gianyar_Regency_Bali.html,Bali,1537 ,,2019/10/01,2019/10/05,$104,Booking.com,12,
6,Hotel Arsa Santhi Nusa Penida,http://www.tripadvisor.com/Hotel_Review-g2538506-d12646572-Reviews-Hotel_Arsa_Santhi_Nusa_Penida-Nusa_Penida_Bali.html,Bali,195 ,,2019/10/01,2019/10/05,$66,Booking.com,12,
7,Alam Sari,http://www.tripadvisor.com/Hotel_Review-g608497-d483678-Reviews-Alam_Sari-Tegalalang_Gianyar_Regency_Bali.html,Bali,312 ,,2019/10/01,2019/10/05,$94,Booking.com,8,
8,Grand Zuri Kuta Bali,http://www.tripadvisor.com/Hotel_Review-g297697-d6925763-Reviews-Grand_Zuri_Kuta_Bali-Kuta_Kuta_District_Bali.html,Bali,1030 ,,2019/10/01,2019/10/05,$34,Booking.com,14,
9,H-ostel,http://www.tripadvisor.com/Hotel_Review-g297697-d10584500-Reviews-H_ostel-Kuta_Kuta_District_Bali.html,Bali,191 ,,2019/10/01,2019/10/05,,Trip.com,10,
