,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Crowne Plaza Barcelona - Fira Center,http://www.tripadvisor.com/Hotel_Review-g187497-d228466-Reviews-Crowne_Plaza_Barcelona_Fira_Center-Barcelona_Catalonia.html,Barcelona,1618 ,,2019/10/01,2019/10/05,,Expedia.com,9,
1,Hotel Barcelona 1882,http://www.tripadvisor.com/Hotel_Review-g187497-d13962383-Reviews-Hotel_Barcelona_1882-Barcelona_Catalonia.html,Barcelona,179 ,,2019/10/01,2019/10/05,,Expedia.com,13,
2,Ibis Styles Barcelona City Bogatell,http://www.tripadvisor.com/Hotel_Review-g187497-d10670124-Reviews-Ibis_Styles_Barcelona_City_Bogatell-Barcelona_Catalonia.html,Barcelona,755 ,,2019/10/01,2019/10/05,,Booking.com,13,
3,H10 Casa Mimosa,http://www.tripadvisor.com/Hotel_Review-g187497-d10683772-Reviews-H10_Casa_Mimosa-Barcelona_Catalonia.html,Barcelona,666 ,,2019/10/01,2019/10/05,,Booking.com,14,
4,The Corner Hotel,http://www.tripadvisor.com/Hotel_Review-g187497-d10127321-Reviews-The_Corner_Hotel-Barcelona_Catalonia.html,Barcelona,1073 ,,2019/10/01,2019/10/05,,Booking.com,14,
5,H10 Art Gallery,http://www.tripadvisor.com/Hotel_Review-g187497-d6510499-Reviews-H10_Art_Gallery-Barcelona_Catalonia.html,Barcelona,967 ,,2019/10/01,2019/10/05,,Booking.com,15,
6,H10 Madison,http://www.tripadvisor.com/Hotel_Review-g187497-d13223478-Reviews-H10_Madison-Barcelona_Catalonia.html,Barcelona,532 ,,2019/10/01,2019/10/05,,Booking.com,12,
7,Hotel Rec Barcelona,http://www.tripadvisor.com/Hotel_Review-g187497-d13313633-Reviews-Hotel_Rec_Barcelona-Barcelona_Catalonia.html,Barcelona,794 ,,2019/10/01,2019/10/05,$180,Booking.com,12,
8,BarcelonaBB,http://www.tripadvisor.com/Hotel_Review-g187497-d736822-Reviews-BarcelonaBB-Barcelona_Catalonia.html,Barcelona,599 ,,2019/10/01,2019/10/05,,TripAdvisor,5,
9,Coroleu House Barcelona,http://www.tripadvisor.com/Hotel_Review-g187497-d3357953-Reviews-Coroleu_House_Barcelona-Barcelona_Catalonia.html,Barcelona,179 ,,2019/10/01,2019/10/05,,Booking.com,0,
