,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Hyatt Regency Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87617-Reviews-Hyatt_Regency_Chicago-Chicago_Illinois.html,Chicago,8779 ,,2019/10/01,2019/10/05,,Booking.com,14,
1,Inn of Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87566-Reviews-Inn_of_Chicago-Chicago_Illinois.html,Chicago,2209 ,,2019/10/01,2019/10/05,$157,TripAdvisor,12,
2,Warwick Allerton-Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d90973-Reviews-Warwick_Allerton_Chicago-Chicago_Illinois.html,Chicago,2446 ,,2019/10/01,2019/10/05,$194,TripAdvisor,15,
3,Palmer House A Hilton Hotel,http://www.tripadvisor.com/Hotel_Review-g35805-d111501-Reviews-Palmer_House_A_Hilton_Hotel-Chicago_Illinois.html,Chicago,10614 ,,2019/10/01,2019/10/05,$249,TripAdvisor,15,
4,Homewood Suites by Hilton Chicago Downtown South Loop,http://www.tripadvisor.com/Hotel_Review-g35805-d16742957-Reviews-Homewood_Suites_by_Hilton_Chicago_Downtown_South_Loop-Chicago_Illinois.html,Chicago,22 ,,2019/10/01,2019/10/05,$237,TripAdvisor,6,
5,Travelodge by Wyndham Downtown Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87576-Reviews-Travelodge_by_Wyndham_Downtown_Chicago-Chicago_Illinois.html,Chicago,2393 ,,2019/10/01,2019/10/05,,Booking.com,14,
6,Chicago Marriott Downtown Magnificent Mile,http://www.tripadvisor.com/Hotel_Review-g35805-d87592-Reviews-Chicago_Marriott_Downtown_Magnificent_Mile-Chicago_Illinois.html,Chicago,3144 ,,2019/10/01,2019/10/05,,TripAdvisor,15,
7,Hilton Garden Inn Chicago Downtown South Loop,http://www.tripadvisor.com/Hotel_Review-g35805-d16669318-Reviews-Hilton_Garden_Inn_Chicago_Downtown_South_Loop-Chicago_Illinois.html,Chicago,15 ,,2019/10/01,2019/10/05,$199,TripAdvisor,8,
8,Celeste Celebrity Suites,http://www.tripadvisor.com/Hotel_Review-g35805-d10723985-Reviews-Celeste_Celebrity_Suites-Chicago_Illinois.html,Chicago,30 ,,2019/10/01,2019/10/05,,TripAdvisor,9,
9,Millennium Knickerbocker Chicago,http://www.tripadvisor.com/Hotel_Review-g35805-d87648-Reviews-Millennium_Knickerbocker_Chicago-Chicago_Illinois.html,Chicago,1461 ,,2019/10/01,2019/10/05,$212,TripAdvisor,15,
