,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Hotel VIC on the Harbour,http://www.tripadvisor.com/Hotel_Review-g294217-d14100595-Reviews-Hotel_VIC_on_the_Harbour-Hong_Kong.html,Hong Kong,465 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
1,Royal View Hotel,http://www.tripadvisor.com/Hotel_Review-g294217-d652907-Reviews-Royal_View_Hotel-Hong_Kong.html,Hong Kong,1341 ,,2019/10/01,2019/10/05,,Booking.com,11,
2,"Silka Tsuen Wan, Hong Kong",http://www.tripadvisor.com/Hotel_Review-g294217-d12030071-Reviews-Silka_Tsuen_Wan_Hong_Kong-Hong_Kong.html,Hong Kong,325 ,,2019/10/01,2019/10/05,$112,TripAdvisor,13,
3,The T Hotel,http://www.tripadvisor.com/Hotel_Review-g294217-d1969654-Reviews-The_T_Hotel-Hong_Kong.html,Hong Kong,638 ,,2019/10/01,2019/10/05,,Expedia.com,9,
4,Holiday Inn Express HONG KONG KOWLOON EAST,http://www.tripadvisor.com/Hotel_Review-g294217-d2698144-Reviews-Holiday_Inn_Express_HONG_KONG_KOWLOON_EAST-Hong_Kong.html,Hong Kong,793 ,,2019/10/01,2019/10/05,$168,TripAdvisor,8,
5,Novotel Hong Kong Nathan Road Kowloon,http://www.tripadvisor.com/Hotel_Review-g294217-d305856-Reviews-Novotel_Hong_Kong_Nathan_Road_Kowloon-Hong_Kong.html,Hong Kong,5668 ,,2019/10/01,2019/10/05,$249,TripAdvisor,11,
6,Courtyard Hong Kong Sha Tin,http://www.tripadvisor.com/Hotel_Review-g294217-d3746720-Reviews-Courtyard_Hong_Kong_Sha_Tin-Hong_Kong.html,Hong Kong,900 ,,2019/10/01,2019/10/05,$216,TripAdvisor,10,
7,Inn Spirit,http://www.tripadvisor.com/Hotel_Review-g294217-d6205305-Reviews-Inn_Spirit-Hong_Kong.html,Hong Kong,284 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
8,City Garden Hotel,http://www.tripadvisor.com/Hotel_Review-g294217-d305364-Reviews-City_Garden_Hotel-Hong_Kong.html,Hong Kong,1891 ,,2019/10/01,2019/10/05,$182,TripAdvisor,11,
9,Royal Park Hotel,http://www.tripadvisor.com/Hotel_Review-g294217-d305907-Reviews-Royal_Park_Hotel-Hong_Kong.html,Hong Kong,1454 ,,2019/10/01,2019/10/05,$186,TripAdvisor,13,
10,Hilton Garden Inn Hong Kong Mongkok,http://www.tripadvisor.com/Hotel_Review-g294217-d11772135-Reviews-Hilton_Garden_Inn_Hong_Kong_Mongkok-Hong_Kong.html,Hong Kong,767 ,,2019/10/01,2019/10/05,$256,TripAdvisor,14,
