,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,White House Hotel Istanbul,http://www.tripadvisor.com/Hotel_Review-g293974-d1604061-Reviews-White_House_Hotel_Istanbul-Istanbul.html,Istanbul,4414 ,,2019/10/01,2019/10/05,$176,Booking.com,10,
1,Crowne Plaza Istanbul - Florya,http://www.tripadvisor.com/Hotel_Review-g293974-d8413771-Reviews-Crowne_Plaza_Istanbul_Florya-Istanbul.html,Istanbul,406 ,,2019/10/01,2019/10/05,,Travelocity,16,
2,GLK PREMIER Sea Mansion Suites & Spa,http://www.tripadvisor.com/Hotel_Review-g293974-d7885772-Reviews-GLK_PREMIER_Sea_Mansion_Suites_Spa-Istanbul.html,Istanbul,350 ,,2019/10/01,2019/10/05,,Travelocity,16,
3,Basileus Hotel,http://www.tripadvisor.com/Hotel_Review-g293974-d1948202-Reviews-Basileus_Hotel-Istanbul.html,Istanbul,2061 ,,2019/10/01,2019/10/05,,TripAdvisor,9,
4,Baylosuites,http://www.tripadvisor.com/Hotel_Review-g293974-d2462754-Reviews-Baylosuites-Istanbul.html,Istanbul,91 ,,2019/10/01,2019/10/05,,TripAdvisor,0,
5,Walnut Shell Hotel,http://www.tripadvisor.com/Hotel_Review-g293974-d6619628-Reviews-Walnut_Shell_Hotel-Istanbul.html,Istanbul,234 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
6,Has Han Galata,http://www.tripadvisor.com/Hotel_Review-g293974-d7225251-Reviews-Has_Han_Galata-Istanbul.html,Istanbul,96 ,,2019/10/01,2019/10/05,,Agoda.com,0,
7,Taksim Ultra VIP Apartments,http://www.tripadvisor.com/Hotel_Review-g293974-d7238111-Reviews-Taksim_Ultra_VIP_Apartments-Istanbul.html,Istanbul,82 ,,2019/10/01,2019/10/05,,ZenHotels.com,0,
8,Elite World Business,http://www.tripadvisor.com/Hotel_Review-g293974-d5035111-Reviews-Elite_World_Business-Istanbul.html,Istanbul,782 ,,2019/10/01,2019/10/05,,Booking.com,16,
9,Dila Suites,http://www.tripadvisor.com/Hotel_Review-g293974-d2207752-Reviews-Dila_Suites-Istanbul.html,Istanbul,155 ,,2019/10/01,2019/10/05,,ZenHotels.com,0,
