,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Travelodge London City hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d13569031-Reviews-Travelodge_London_City_hotel-London_England.html,London,1035 ,,2019/10/01,2019/10/05,,Expedia.com,8,
1,Hampton by Hilton London Docklands,http://www.tripadvisor.com/Hotel_Review-g186338-d12031854-Reviews-Hampton_by_Hilton_London_Docklands-London_England.html,London,550 ,,2019/10/01,2019/10/05,$159,Booking.com,14,
2,Sunborn London,http://www.tripadvisor.com/Hotel_Review-g186338-d6603498-Reviews-Sunborn_London-London_England.html,London,3558 ,,2019/10/01,2019/10/05,,Expedia.com,13,
3,The Walrus Hostel,http://www.tripadvisor.com/Hotel_Review-g186338-d1514443-Reviews-The_Walrus_Hostel-London_England.html,London,585 ,,2019/10/01,2019/10/05,$58,Hostelworld.com,5,
4,"Point A Hotel, London Kings Cross St Pancras",http://www.tripadvisor.com/Hotel_Review-g186338-d3240599-Reviews-Point_A_Hotel_London_Kings_Cross_St_Pancras-London_England.html,London,6295 ,,2019/10/01,2019/10/05,,Expedia.com,14,
5,St. Athans Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d628205-Reviews-St_Athans_Hotel-London_England.html,London,767 ,,2019/10/01,2019/10/05,$103,Booking.com,11,
6,The W14 Kensington,http://www.tripadvisor.com/Hotel_Review-g186338-d577546-Reviews-The_W14_Kensington-London_England.html,London,1778 ,,2019/10/01,2019/10/05,$115,Booking.com,13,
7,Z Hotel Tottenham Court Road,http://www.tripadvisor.com/Hotel_Review-g186338-d13474415-Reviews-Z_Hotel_Tottenham_Court_Road-London_England.html,London,115 ,,2019/10/01,2019/10/05,$160,Booking.com,0,
8,The Westbridge Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d3398027-Reviews-The_Westbridge_Hotel-London_England.html,London,1882 ,,2019/10/01,2019/10/05,$122,Booking.com,13,
9,Novotel London Excel,http://www.tripadvisor.com/Hotel_Review-g186338-d291617-Reviews-Novotel_London_Excel-London_England.html,London,2713 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
10,Montana Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d254585-Reviews-Montana_Hotel-London_England.html,London,1036 ,,2019/10/01,2019/10/05,$171,Booking.com,13,
11,Charlotte Guest House,http://www.tripadvisor.com/Hotel_Review-g186338-d656240-Reviews-Charlotte_Guest_House-London_England.html,London,927 ,,2019/10/01,2019/10/05,$85,Booking.com,10,
12,Holiday Inn London - West,http://www.tripadvisor.com/Hotel_Review-g186338-d313125-Reviews-Holiday_Inn_London_West-London_England.html,London,1039 ,,2019/10/01,2019/10/05,$109,Booking.com,10,
13,Park Plaza London Park Royal,http://www.tripadvisor.com/Hotel_Review-g186338-d11717496-Reviews-Park_Plaza_London_Park_Royal-London_England.html,London,908 ,,2019/10/01,2019/10/05,$137,Booking.com,14,
14,Ibis London Canning Town,http://www.tripadvisor.com/Hotel_Review-g186338-d12938460-Reviews-Ibis_London_Canning_Town-London_England.html,London,375 ,,2019/10/01,2019/10/05,$138,ibis,13,
15,The Z Hotel City,http://www.tripadvisor.com/Hotel_Review-g186338-d9608180-Reviews-The_Z_Hotel_City-London_England.html,London,679 ,,2019/10/01,2019/10/05,$181,Booking.com,5,
16,Hotel 55,http://www.tripadvisor.com/Hotel_Review-g186338-d617244-Reviews-Hotel_55-London_England.html,London,507 ,,2019/10/01,2019/10/05,,Hotels.com,11,
