,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Hotel Berna,http://www.tripadvisor.com/Hotel_Review-g187849-d229090-Reviews-Hotel_Berna-Milan_Lombardy.html,Milan,7536 ,4.5,2019/10/01,2019/10/05,$250,Booking.com,13,
1,Grand Visconti Palace,http://www.tripadvisor.com/Hotel_Review-g187849-d275801-Reviews-Grand_Visconti_Palace-Milan_Lombardy.html,Milan,2241 ,4.5,2019/10/01,2019/10/05,,Travelocity,10,
2,WORLDHOTEL Cristoforo Colombo,http://www.tripadvisor.com/Hotel_Review-g187849-d229995-Reviews-WORLDHOTEL_Cristoforo_Colombo-Milan_Lombardy.html,Milan,1342 ,4,2019/10/01,2019/10/05,,Official Site,13,
3,Chateau Monfort,http://www.tripadvisor.com/Hotel_Review-g187849-d2417960-Reviews-Chateau_Monfort-Milan_Lombardy.html,Milan,1956 ,4.5,2019/10/01,2019/10/05,,Travelocity,13,
4,"Radisson Blu Hotel, Milan",http://www.tripadvisor.com/Hotel_Review-g187849-d646332-Reviews-Radisson_Blu_Hotel_Milan-Milan_Lombardy.html,Milan,2337 ,4.5,2019/10/01,2019/10/05,,TripAdvisor,13,
5,Best Western Plus Hotel Galles,http://www.tripadvisor.com/Hotel_Review-g187849-d202890-Reviews-Best_Western_Plus_Hotel_Galles-Milan_Lombardy.html,Milan,2678 ,4,2019/10/01,2019/10/05,$227,Booking.com,13,
6,Hilton Garden Inn Milan North,http://www.tripadvisor.com/Hotel_Review-g187849-d7931076-Reviews-Hilton_Garden_Inn_Milan_North-Milan_Lombardy.html,Milan,1303 ,4,2019/10/01,2019/10/05,$133,Booking.com,15,
7,B&B Hotel Milano San Siro,http://www.tripadvisor.com/Hotel_Review-g187849-d7814790-Reviews-B_B_Hotel_Milano_San_Siro-Milan_Lombardy.html,Milan,692 ,4,2019/10/01,2019/10/05,$101,Booking.com,14,
8,Hilton Milan,http://www.tripadvisor.com/Hotel_Review-g187849-d202853-Reviews-Hilton_Milan-Milan_Lombardy.html,Milan,3211 ,4,2019/10/01,2019/10/05,$399,Booking.com,12,
9,Room Mate Giulia,http://www.tripadvisor.com/Hotel_Review-g187849-d9762116-Reviews-Room_Mate_Giulia-Milan_Lombardy.html,Milan,1151 ,5,2019/10/01,2019/10/05,$422,Room Mate Hotels,16,
10,Hotel Spadari al Duomo,http://www.tripadvisor.com/Hotel_Review-g187849-d194976-Reviews-Hotel_Spadari_al_Duomo-Milan_Lombardy.html,Milan,2537 ,4.5,2019/10/01,2019/10/05,,Booking.com,13,
11,Ramada Plaza by Wyndham Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d1764108-Reviews-Ramada_Plaza_by_Wyndham_Milano-Milan_Lombardy.html,Milan,1595 ,4,2019/10/01,2019/10/05,$147,Booking.com,14,
12,nhow Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d619966-Reviews-Nhow_Milano-Milan_Lombardy.html,Milan,2465 ,4.5,2019/10/01,2019/10/05,,NH Hotels,14,
13,"Excelsior Hotel Gallia, a Luxury Collection Hotel, Milan",http://www.tripadvisor.com/Hotel_Review-g187849-d231271-Reviews-Excelsior_Hotel_Gallia_a_Luxury_Collection_Hotel_Milan-Milan_Lombardy.html,Milan,1393 ,4.5,2019/10/01,2019/10/05,,LuxuryCollection,12,
14,Milan Suite Hotel,http://www.tripadvisor.com/Hotel_Review-g187849-d1595360-Reviews-Milan_Suite_Hotel-Milan_Lombardy.html,Milan,816 ,4.5,2019/10/01,2019/10/05,$169,Booking.com,11,
15,c-hotels Atlantic,http://www.tripadvisor.com/Hotel_Review-g187849-d202569-Reviews-C_hotels_Atlantic-Milan_Lombardy.html,Milan,1314 ,4,2019/10/01,2019/10/05,,Booking.com,13,
16,Starhotels E.c.ho.,http://www.tripadvisor.com/Hotel_Review-g187849-d202844-Reviews-Starhotels_E_c_ho-Milan_Lombardy.html,Milan,1549 ,4,2019/10/01,2019/10/05,,Booking.com,13,
17,iH Hotels Milano Lorenteggio,http://www.tripadvisor.com/Hotel_Review-g187849-d202838-Reviews-IH_Hotels_Milano_Lorenteggio-Milan_Lombardy.html,Milan,222 ,4.5,2019/10/01,2019/10/05,$158,Booking.com,11,
18,NH Collection Milano President,http://www.tripadvisor.com/Hotel_Review-g187849-d202857-Reviews-NH_Collection_Milano_President-Milan_Lombardy.html,Milan,2968 ,4.5,2019/10/01,2019/10/05,,NH Hotels,15,
19,The Yard Hotel,http://www.tripadvisor.com/Hotel_Review-g187849-d2254113-Reviews-The_Yard_Hotel-Milan_Lombardy.html,Milan,1146 ,4.5,2019/10/01,2019/10/05,,Booking.com,12,
20,Uptown Palace,http://www.tripadvisor.com/Hotel_Review-g187849-d2085252-Reviews-Uptown_Palace-Milan_Lombardy.html,Milan,1866 ,4,2019/10/01,2019/10/05,,Booking.com,14,
21,Best Western Hotel Madison,http://www.tripadvisor.com/Hotel_Review-g187849-d202855-Reviews-Best_Western_Hotel_Madison-Milan_Lombardy.html,Milan,1059 ,4,2019/10/01,2019/10/05,$169,Booking.com,14,
22,Klima Hotel Milano Fiere,http://www.tripadvisor.com/Hotel_Review-g187849-d3455157-Reviews-Klima_Hotel_Milano_Fiere-Milan_Lombardy.html,Milan,1544 ,4,2019/10/01,2019/10/05,,Booking.com,11,
23,NYX Hotel Milan,http://www.tripadvisor.com/Hotel_Review-g187849-d12130410-Reviews-NYX_Hotel_Milan-Milan_Lombardy.html,Milan,741 ,4.5,2019/10/01,2019/10/05,,Booking.com,12,
24,Hyatt Centric Milan Centrale,http://www.tripadvisor.com/Hotel_Review-g187849-d6820820-Reviews-Hyatt_Centric_Milan_Centrale-Milan_Lombardy.html,Milan,1502 ,4,2019/10/01,2019/10/05,$212,Booking.com,14,
25,Hotel Principe Di Savoia,http://www.tripadvisor.com/Hotel_Review-g187849-d194975-Reviews-Hotel_Principe_Di_Savoia-Milan_Lombardy.html,Milan,2262 ,4.5,2019/10/01,2019/10/05,,Booking.com,15,
26,Hotel Milano Scala,http://www.tripadvisor.com/Hotel_Review-g187849-d1735910-Reviews-Hotel_Milano_Scala-Milan_Lombardy.html,Milan,807 ,4.5,2019/10/01,2019/10/05,,Booking.com,12,
27,Hotel Sanpi Milano,http://www.tripadvisor.com/Hotel_Review-g187849-d234686-Reviews-Hotel_Sanpi_Milano-Milan_Lombardy.html,Milan,1440 ,4.5,2019/10/01,2019/10/05,$151,Agoda.com,13,
28,Hotel VIU Milan,http://www.tripadvisor.com/Hotel_Review-g187849-d12199274-Reviews-Hotel_VIU_Milan-Milan_Lombardy.html,Milan,296 ,4.5,2019/10/01,2019/10/05,$331,Booking.com,15,
29,NH Milano Touring,http://www.tripadvisor.com/Hotel_Review-g187849-d202856-Reviews-NH_Milano_Touring-Milan_Lombardy.html,Milan,1541 ,4,2019/10/01,2019/10/05,,NH Hotels,13,
