,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Gansevoort Meatpacking NYC,http://www.tripadvisor.com/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html,New York,2104 ,,2019/10/01,2019/10/05,,Booking.com,16,
1,Crowne Plaza Times Square Manhattan,http://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York.html,New York,11454 ,,2019/10/01,2019/10/05,$352,Booking.com,15,
2,InterContinental New York Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d1646128-Reviews-InterContinental_New_York_Times_Square-New_York_City_New_York.html,New York,6959 ,,2019/10/01,2019/10/05,$400,InterContinental,15,
3,SpringHill Suites New York Midtown Manhattan/Fifth Avenue,http://www.tripadvisor.com/Hotel_Review-g60763-d4053109-Reviews-SpringHill_Suites_New_York_Midtown_Manhattan_Fifth_Avenue-New_York_City_New_York.html,New York,1183 ,,2019/10/01,2019/10/05,$352,SpringHill Suites,16,
4,YOTEL New York,http://www.tripadvisor.com/Hotel_Review-g60763-d2079052-Reviews-YOTEL_New_York-New_York_City_New_York.html,New York,12858 ,,2019/10/01,2019/10/05,$242,Booking.com,16,
5,Pod 51 Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html,New York,5509 ,,2019/10/01,2019/10/05,$226,Booking.com,11,
6,The Lombardy,http://www.tripadvisor.com/Hotel_Review-g60763-d93583-Reviews-The_Lombardy-New_York_City_New_York.html,New York,664 ,,2019/10/01,2019/10/05,,Booking.com,13,
7,Park Central Hotel New York,http://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York.html,New York,6630 ,,2019/10/01,2019/10/05,$277,Booking.com,16,
8,Staybridge Suites Times Square - New York City,http://www.tripadvisor.com/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,New York,6360 ,,2019/10/01,2019/10/05,$290,Priceline,12,
9,Stewart Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d93562-Reviews-Stewart_Hotel-New_York_City_New_York.html,New York,7218 ,,2019/10/01,2019/10/05,$256,Booking.com,19,
10,Dream Midtown,http://www.tripadvisor.com/Hotel_Review-g60763-d75688-Reviews-Dream_Midtown-New_York_City_New_York.html,New York,954 ,,2019/10/01,2019/10/05,$347,Booking.com,19,
11,Hilton Garden Inn Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,New York,8445 ,,2019/10/01,2019/10/05,$272,Booking.com,14,
12,"Martinique New York on Broadway, Curio Collection by Hilton",http://www.tripadvisor.com/Hotel_Review-g60763-d99425-Reviews-Martinique_New_York_on_Broadway_Curio_Collection_by_Hilton-New_York_City_New_York.html,New York,5480 ,,2019/10/01,2019/10/05,$331,Booking.com,15,
13,Artezen Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d15237449-Reviews-Artezen_Hotel-New_York_City_New_York.html,New York,67 ,,2019/10/01,2019/10/05,$341,Booking.com,9,
14,The Leon Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d6555841-Reviews-The_Leon_Hotel-New_York_City_New_York.html,New York,452 ,,2019/10/01,2019/10/05,$287,Booking.com,12,
15,Sister City,http://www.tripadvisor.com/Hotel_Review-g60763-d15197955-Reviews-Sister_City-New_York_City_New_York.html,New York,78 ,,2019/10/01,2019/10/05,$388,Booking.com,8,
16,Hotel Giraffe by Library Hotel Collection,http://www.tripadvisor.com/Hotel_Review-g60763-d99762-Reviews-Hotel_Giraffe_by_Library_Hotel_Collection-New_York_City_New_York.html,New York,4721 ,,2019/10/01,2019/10/05,$465,Booking.com,12,
17,Cassa Hotel Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d7148761-Reviews-Cassa_Hotel_Times_Square-New_York_City_New_York.html,New York,1692 ,,2019/10/01,2019/10/05,$338,Booking.com,10,
18,NobleDEN Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d7363884-Reviews-NobleDEN_Hotel-New_York_City_New_York.html,New York,1028 ,,2019/10/01,2019/10/05,$339,Booking.com,13,
19,Andaz Wall Street,http://www.tripadvisor.com/Hotel_Review-g60763-d1485961-Reviews-Andaz_Wall_Street-New_York_City_New_York.html,New York,3395 ,,2019/10/01,2019/10/05,$388,Expedia.com,18,
20,The James New York SoHo,http://www.tripadvisor.com/Hotel_Review-g60763-d1785018-Reviews-The_James_New_York_SoHo-New_York_City_New_York.html,New York,1845 ,,2019/10/01,2019/10/05,,Hotels.com,16,
21,WestHouse Hotel New York,http://www.tripadvisor.com/Hotel_Review-g60763-d4945551-Reviews-WestHouse_Hotel_New_York-New_York_City_New_York.html,New York,2490 ,,2019/10/01,2019/10/05,$357,Expedia.com,17,
22,Moxy NYC Chelsea,http://www.tripadvisor.com/Hotel_Review-g60763-d14149815-Reviews-Moxy_NYC_Chelsea-New_York_City_New_York.html,New York,199 ,,2019/10/01,2019/10/05,,Hotels.com,12,
23,Carvi NYC,http://www.tripadvisor.com/Hotel_Review-g60763-d1235341-Reviews-Carvi_NYC-New_York_City_New_York.html,New York,663 ,,2019/10/01,2019/10/05,$263,Booking.com,16,
24,Library Hotel by Library Hotel Collection,http://www.tripadvisor.com/Hotel_Review-g60763-d224221-Reviews-Library_Hotel_by_Library_Hotel_Collection-New_York_City_New_York.html,New York,4723 ,,2019/10/01,2019/10/05,$463,Booking.com,13,
25,Four Points by Sheraton Manhattan Midtown West,http://www.tripadvisor.com/Hotel_Review-g60763-d10846086-Reviews-Four_Points_by_Sheraton_Manhattan_Midtown_West-New_York_City_New_York.html,New York,207 ,,2019/10/01,2019/10/05,,FourPoints.com,17,
26,IBEROSTAR 70 Park Avenue Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d93430-Reviews-IBEROSTAR_70_Park_Avenue_Hotel-New_York_City_New_York.html,New York,1113 ,,2019/10/01,2019/10/05,$415,iberostar.com,17,
27,Hotel Mimosa New York,http://www.tripadvisor.com/Hotel_Review-g60763-d1448670-Reviews-Hotel_Mimosa_New_York-New_York_City_New_York.html,New York,219 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
28,Colonial House Inn,http://www.tripadvisor.com/Hotel_Review-g60763-d251899-Reviews-Colonial_House_Inn-New_York_City_New_York.html,New York,456 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
29,The Townhouse Inn of Chelsea,http://www.tripadvisor.com/Hotel_Review-g60763-d118718-Reviews-The_Townhouse_Inn_of_Chelsea-New_York_City_New_York.html,New York,432 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
30,Soul Food Mont Morris,http://www.tripadvisor.com/Hotel_Review-g60763-d207996-Reviews-Soul_Food_Mont_Morris-New_York_City_New_York.html,New York,633 ,,2019/10/01,2019/10/05,,Priceline,0,
31,255West Guesthouse,http://www.tripadvisor.com/Hotel_Review-g60763-d7144541-Reviews-255West_Guesthouse-New_York_City_New_York.html,New York,75 ,,2019/10/01,2019/10/05,,Hotels.com,9,
