,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Les Jardins de Mademoiselle,http://www.tripadvisor.com/Hotel_Review-g187147-d14195735-Reviews-Les_Jardins_de_Mademoiselle-Paris_Ile_de_France.html,Paris,169 ,,2020/11/01,2020/11/05,$170,eDreams,12,
1,Bed & Breakfast Bouchardon,http://www.tripadvisor.com/Hotel_Review-g187147-d1775045-Reviews-Bed_Breakfast_Bouchardon-Paris_Ile_de_France.html,Paris,217 ,,2020/11/01,2020/11/05,,,0,
2,Le Bristol Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d188729-Reviews-Le_Bristol_Paris-Paris_Ile_de_France.html,Paris,2067 ,,2020/11/01,2020/11/05,,Le Bristol Paris,12,
3,Maison Souquet,http://www.tripadvisor.com/Hotel_Review-g187147-d7182695-Reviews-Maison_Souquet-Paris_Ile_de_France.html,Paris,988 ,,2020/11/01,2020/11/05,,Expedia.com,13,
4,La Chambre Parisienne,http://www.tripadvisor.com/Hotel_Review-g187147-d10203026-Reviews-La_Chambre_Parisienne-Paris_Ile_de_France.html,Paris,117 ,,2020/11/01,2020/11/05,,Booking.com,0,
5,Les3chambres-Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d3546914-Reviews-Les3chambres_Paris-Paris_Ile_de_France.html,Paris,575 ,,2020/11/01,2020/11/05,,Official Site,0,
6,Assia & Nathalie,http://www.tripadvisor.com/Hotel_Review-g187147-d10275665-Reviews-Assia_Nathalie-Paris_Ile_de_France.html,Paris,161 ,,2020/11/01,2020/11/05,,Booking.com,0,
7,Hotel Signature St Germain des Pres,http://www.tripadvisor.com/Hotel_Review-g187147-d220000-Reviews-Hotel_Signature_St_Germain_des_Pres-Paris_Ile_de_France.html,Paris,1630 ,,2020/11/01,2020/11/05,,Official Site,0,
8,Hotel Monge,http://www.tripadvisor.com/Hotel_Review-g187147-d10328342-Reviews-Hotel_Monge-Paris_Ile_de_France.html,Paris,862 ,,2020/11/01,2020/11/05,,Snaptravel,14,
9,La Chambre du Marais,http://www.tripadvisor.com/Hotel_Review-g187147-d10319445-Reviews-La_Chambre_du_Marais-Paris_Ile_de_France.html,Paris,486 ,,2020/11/01,2020/11/05,,Snaptravel,13,
10,Relais 12bis B&B,http://www.tripadvisor.com/Hotel_Review-g187147-d10103843-Reviews-Relais_12bis_B_B-Paris_Ile_de_France.html,Paris,143 ,,2020/11/01,2020/11/05,,Expedia.com,11,
11,Hotel de Londres Eiffel,http://www.tripadvisor.com/Hotel_Review-g187147-d265476-Reviews-Hotel_de_Londres_Eiffel-Paris_Ile_de_France.html,Paris,1775 ,,2020/11/01,2020/11/05,,Official Site,0,
12,Hotel Saint-Marc,http://www.tripadvisor.com/Hotel_Review-g187147-d9865705-Reviews-Hotel_Saint_Marc-Paris_Ile_de_France.html,Paris,648 ,,2020/11/01,2020/11/05,,Booking.com,14,
13,Hotel Grand Powers,http://www.tripadvisor.com/Hotel_Review-g187147-d228837-Reviews-Hotel_Grand_Powers-Paris_Ile_de_France.html,Paris,205 ,,2020/11/01,2020/11/05,,Expedia.com,10,
14,Le 1er Etage SoPi,http://www.tripadvisor.com/Hotel_Review-g187147-d12072863-Reviews-Le_1er_Etage_SoPi-Paris_Ile_de_France.html,Paris,151 ,,2020/11/01,2020/11/05,,Hotels.com,13,
15,Le Narcisse Blanc Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g187147-d9452312-Reviews-Le_Narcisse_Blanc_Hotel_Spa-Paris_Ile_de_France.html,Paris,602 ,,2020/11/01,2020/11/05,,Expedia.com,13,
16,"Mandarin Oriental, Paris",http://www.tripadvisor.com/Hotel_Review-g187147-d2041918-Reviews-Mandarin_Oriental_Paris-Paris_Ile_de_France.html,Paris,2278 ,,2020/11/01,2020/11/05,,Expedia.com,11,
17,Hotel Fabric,http://www.tripadvisor.com/Hotel_Review-g187147-d4340356-Reviews-Hotel_Fabric-Paris_Ile_de_France.html,Paris,1579 ,,2020/11/01,2020/11/05,,Expedia.com,10,
18,Fauchon L'Hotel Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d14024290-Reviews-Fauchon_L_Hotel_Paris-Paris_Ile_de_France.html,Paris,268 ,,2020/11/01,2020/11/05,,Expedia.com,13,
19,La Villa Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d646480-Reviews-La_Villa_Paris-Paris_Ile_de_France.html,Paris,444 ,,2020/11/01,2020/11/05,,Expedia.com,8,
20,Hotel de JoBo,http://www.tripadvisor.com/Hotel_Review-g187147-d10386434-Reviews-Hotel_de_JoBo-Paris_Ile_de_France.html,Paris,482 ,,2020/11/01,2020/11/05,,Expedia.com,13,
21,Hotel R de Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d233583-Reviews-Hotel_R_de_Paris-Paris_Ile_de_France.html,Paris,1127 ,,2020/11/01,2020/11/05,,Official Site,13,
22,Relais Christine,http://www.tripadvisor.com/Hotel_Review-g187147-d219977-Reviews-Relais_Christine-Paris_Ile_de_France.html,Paris,1211 ,,2020/11/01,2020/11/05,,Expedia.com,12,
23,Hotel la Nouvelle Republique,http://www.tripadvisor.com/Hotel_Review-g187147-d12829774-Reviews-Hotel_la_Nouvelle_Republique-Paris_Ile_de_France.html,Paris,469 ,,2020/11/01,2020/11/05,,Expedia.com,11,
