,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Splash Beach Resort by Langham Hospitality Group,http://www.tripadvisor.com/Hotel_Review-g1223683-d1778565-Reviews-Splash_Beach_Resort_by_Langham_Hospitality_Group-Mai_Khao_Thalang_District_Phuket.html,Phuket,350 ,,2019/10/01,2019/10/05,,Official Hotel,15,
1,Bandara Phuket Beach Resort,http://www.tripadvisor.com/Hotel_Review-g1182846-d8497908-Reviews-Bandara_Phuket_Beach_Resort-Cape_Panwa_Phuket.html,Phuket,377 ,,2019/10/01,2019/10/05,$40,Booking.com,11,
2,Palm Garden Resort Phuket,http://www.tripadvisor.com/Hotel_Review-g1389361-d1170310-Reviews-Palm_Garden_Resort_Phuket-Chalong_Phuket_Town_Phuket.html,Phuket,169 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
3,Cape Panwa Hotel,http://www.tripadvisor.com/Hotel_Review-g1182846-d587262-Reviews-Cape_Panwa_Hotel-Cape_Panwa_Phuket.html,Phuket,3166 ,,2019/10/01,2019/10/05,,Expedia.com,13,
4,Casa Blanca,http://www.tripadvisor.com/Hotel_Review-g1215781-d2294777-Reviews-Casa_Blanca-Phuket_Town_Phuket.html,Phuket,469 ,,2019/10/01,2019/10/05,,Expedia.com,14,
5,The Yama Hotel Phuket,http://www.tripadvisor.com/Hotel_Review-g14902669-d6802617-Reviews-The_Yama_Hotel_Phuket-Ban_Kata_Karon_Phuket.html,Phuket,1289 ,,2019/10/01,2019/10/05,$28,Booking.com,14,
6,Novotel Phuket Resort,http://www.tripadvisor.com/Hotel_Review-g297930-d299572-Reviews-Novotel_Phuket_Resort-Patong_Kathu_Phuket.html,Phuket,4051 ,,2019/10/01,2019/10/05,,Booking.com,13,
7,Crowne Plaza Phuket Panwa Beach,http://www.tripadvisor.com/Hotel_Review-g1182846-d2615245-Reviews-Crowne_Plaza_Phuket_Panwa_Beach-Cape_Panwa_Phuket.html,Phuket,967 ,,2019/10/01,2019/10/05,,Expedia.com,14,
8,Naiharn Beach Resort,http://www.tripadvisor.com/Hotel_Review-g1231757-d10235214-Reviews-Naiharn_Beach_Resort-Nai_Harn_Rawai_Phuket.html,Phuket,161 ,,2019/10/01,2019/10/05,$49,TripAdvisor,12,
9,The Village Coconut Island Beach Resort,http://www.tripadvisor.com/Hotel_Review-g293920-d1186184-Reviews-The_Village_Coconut_Island_Beach_Resort-Phuket.html,Phuket,2315 ,,2019/10/01,2019/10/05,$103,TripAdvisor,12,
10,Garden Home Kata,http://www.tripadvisor.com/Hotel_Review-g1210687-d2071321-Reviews-Garden_Home_Kata-Kata_Beach_Karon_Phuket.html,Phuket,169 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
11,Beyond Resort Karon,http://www.tripadvisor.com/Hotel_Review-g1215780-d535970-Reviews-Beyond_Resort_Karon-Karon_Phuket.html,Phuket,1377 ,,2019/10/01,2019/10/05,,Booking.com,14,
12,Phu NaNa Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g297934-d2548762-Reviews-Phu_NaNa_Boutique_Hotel-Rawai_Phuket.html,Phuket,175 ,,2019/10/01,2019/10/05,,TripAdvisor,14,
