,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,The Metro Hotel,http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html,San Francisco,620 ,,2019/10/01,2019/10/05,,,0,
1,San Remo Hotel,http://www.tripadvisor.com/Hotel_Review-g60713-d81360-Reviews-San_Remo_Hotel-San_Francisco_California.html,San Francisco,1297 ,,2019/10/01,2019/10/05,$161,Booking.com,9,
2,Chateau Tivoli Bed & Breakfast,http://www.tripadvisor.com/Hotel_Review-g60713-d113918-Reviews-Chateau_Tivoli_Bed_Breakfast-San_Francisco_California.html,San Francisco,224 ,,2019/10/01,2019/10/05,$280,TripAdvisor,11,
3,Cow Hollow Inn and Suites,http://www.tripadvisor.com/Hotel_Review-g60713-d112293-Reviews-Cow_Hollow_Inn_and_Suites-San_Francisco_California.html,San Francisco,1364 ,,2019/10/01,2019/10/05,$395,Booking.com,11,
4,Golden Gate Hotel,http://www.tripadvisor.com/Hotel_Review-g60713-d74052-Reviews-Golden_Gate_Hotel-San_Francisco_California.html,San Francisco,801 ,,2019/10/01,2019/10/05,,Agoda.com,0,
5,San Francisco Marriott Union Square,http://www.tripadvisor.com/Hotel_Review-g60713-d124765-Reviews-San_Francisco_Marriott_Union_Square-San_Francisco_California.html,San Francisco,2079 ,,2019/10/01,2019/10/05,,Marriott Hotels,14,
6,HI San Francisco Downtown Hostel,http://www.tripadvisor.com/Hotel_Review-g60713-d265328-Reviews-HI_San_Francisco_Downtown_Hostel-San_Francisco_California.html,San Francisco,976 ,,2019/10/01,2019/10/05,,TripAdvisor,6,
7,USA Hostels San Francisco,http://www.tripadvisor.com/Hotel_Review-g60713-d81389-Reviews-USA_Hostels_San_Francisco-San_Francisco_California.html,San Francisco,1316 ,,2019/10/01,2019/10/05,,Booking.com,11,
8,Hotel Vertigo,http://www.tripadvisor.com/Hotel_Review-g60713-d81803-Reviews-Hotel_Vertigo-San_Francisco_California.html,San Francisco,1724 ,,2019/10/01,2019/10/05,$281,Booking.com,14,
9,The Willows Bed and Breakfast Inn,http://www.tripadvisor.com/Hotel_Review-g60713-d112374-Reviews-The_Willows_Bed_and_Breakfast_Inn-San_Francisco_California.html,San Francisco,205 ,,2019/10/01,2019/10/05,,Booking.com,0,
10,Travelodge by Wyndham Presidio San Francisco,http://www.tripadvisor.com/Hotel_Review-g60713-d81511-Reviews-Travelodge_by_Wyndham_Presidio_San_Francisco-San_Francisco_California.html,San Francisco,1271 ,,2019/10/01,2019/10/05,,Booking.com,10,
11,Parker Guest House,http://www.tripadvisor.com/Hotel_Review-g60713-d112358-Reviews-Parker_Guest_House-San_Francisco_California.html,San Francisco,1117 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
12,The Donatello,http://www.tripadvisor.com/Hotel_Review-g60713-d81394-Reviews-The_Donatello-San_Francisco_California.html,San Francisco,2840 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
13,Hyatt Centric Fisherman's Wharf San Francisco,http://www.tripadvisor.com/Hotel_Review-g60713-d81087-Reviews-Hyatt_Centric_Fisherman_s_Wharf_San_Francisco-San_Francisco_California.html,San Francisco,1771 ,,2019/10/01,2019/10/05,$349,Booking.com,12,
14,Queen Anne Hotel,http://www.tripadvisor.com/Hotel_Review-g60713-d112360-Reviews-Queen_Anne_Hotel-San_Francisco_California.html,San Francisco,734 ,,2019/10/01,2019/10/05,,Booking.com,12,
15,InterContinental Mark Hopkins San Francisco,http://www.tripadvisor.com/Hotel_Review-g60713-d115623-Reviews-InterContinental_Mark_Hopkins_San_Francisco-San_Francisco_California.html,San Francisco,2884 ,,2019/10/01,2019/10/05,$411,Booking.com,13,
16,Hotel Zoe Fisherman's Wharf,http://www.tripadvisor.com/Hotel_Review-g60713-d80780-Reviews-Hotel_Zoe_Fisherman_s_Wharf-San_Francisco_California.html,San Francisco,1231 ,,2019/10/01,2019/10/05,$367,Booking.com,14,
17,San Francisco Marriott Marquis,http://www.tripadvisor.com/Hotel_Review-g60713-d81315-Reviews-San_Francisco_Marriott_Marquis-San_Francisco_California.html,San Francisco,7365 ,,2019/10/01,2019/10/05,,Marriott Hotels,16,
18,The Grove Inn,http://www.tripadvisor.com/Hotel_Review-g60713-d280422-Reviews-The_Grove_Inn-San_Francisco_California.html,San Francisco,254 ,,2019/10/01,2019/10/05,,Booking.com,13,
19,Chancellor Hotel on Union Square,http://www.tripadvisor.com/Hotel_Review-g60713-d115644-Reviews-Chancellor_Hotel_on_Union_Square-San_Francisco_California.html,San Francisco,5725 ,,2019/10/01,2019/10/05,$328,Booking.com,11,
20,Seaside Inn,http://www.tripadvisor.com/Hotel_Review-g60713-d3332070-Reviews-Seaside_Inn-San_Francisco_California.html,San Francisco,397 ,,2019/10/01,2019/10/05,$270,Booking.com,5,
21,"Hotel Carlton, a Joie de Vivre hotel",http://www.tripadvisor.com/Hotel_Review-g60713-d80925-Reviews-Hotel_Carlton_a_Joie_de_Vivre_hotel-San_Francisco_California.html,San Francisco,3400 ,,2019/10/01,2019/10/05,$399,Booking.com,14,
22,Kimpton Buchanan,http://www.tripadvisor.com/Hotel_Review-g60713-d80917-Reviews-Kimpton_Buchanan-San_Francisco_California.html,San Francisco,951 ,,2019/10/01,2019/10/05,,Kimpton,14,
23,Cornell Hotel de France,http://www.tripadvisor.com/Hotel_Review-g60713-d80937-Reviews-Cornell_Hotel_de_France-San_Francisco_California.html,San Francisco,2061 ,,2019/10/01,2019/10/05,$354,Booking.com,13,
24,Coventry Motor Inn,http://www.tripadvisor.com/Hotel_Review-g60713-d119601-Reviews-Coventry_Motor_Inn-San_Francisco_California.html,San Francisco,1753 ,,2019/10/01,2019/10/05,$246,Booking.com,9,
25,Galleria Park Hotel,http://www.tripadvisor.com/Hotel_Review-g60713-d80990-Reviews-Galleria_Park_Hotel-San_Francisco_California.html,San Francisco,2808 ,,2019/10/01,2019/10/05,$363,Priceline,13,
26,Fairmont San Francisco,http://www.tripadvisor.com/Hotel_Review-g60713-d81397-Reviews-Fairmont_San_Francisco-San_Francisco_California.html,San Francisco,4382 ,,2019/10/01,2019/10/05,,Booking.com,14,
27,Green Tortoise Hostel - San Francisco,http://www.tripadvisor.com/Hotel_Review-g60713-d288686-Reviews-Green_Tortoise_Hostel_San_Francisco-San_Francisco_California.html,San Francisco,846 ,,2019/10/01,2019/10/05,,TripAdvisor,7,
