,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Atlantis Beach Villa,http://www.tripadvisor.com/Hotel_Review-g657830-d556996-Reviews-Atlantis_Beach_Villa-Perivolos_Santorini_Cyclades_South_Aegean.html,Santorini,302 ,,2019/10/01,2019/10/05,$103,Booking.com,11,
1,Apanemo,http://www.tripadvisor.com/Hotel_Review-g1189834-d581450-Reviews-Apanemo-Akrotiri_Santorini_Cyclades_South_Aegean.html,Santorini,971 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
2,Smaragdi Hotel,http://www.tripadvisor.com/Hotel_Review-g635608-d607385-Reviews-Smaragdi_Hotel-Perissa_Santorini_Cyclades_South_Aegean.html,Santorini,886 ,,2019/10/01,2019/10/05,,Booking.com,11,
3,Blue Dolphins Apartments & Suites,http://www.tripadvisor.com/Hotel_Review-g635607-d587741-Reviews-Blue_Dolphins_Apartments_Suites-Firostefani_Santorini_Cyclades_South_Aegean.html,Santorini,869 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
4,Hotel Kavalari,http://www.tripadvisor.com/Hotel_Review-g482942-d253975-Reviews-Hotel_Kavalari-Fira_Santorini_Cyclades_South_Aegean.html,Santorini,479 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
5,Santorini Princess,http://www.tripadvisor.com/Hotel_Review-g635864-d471829-Reviews-Santorini_Princess-Imerovigli_Santorini_Cyclades_South_Aegean.html,Santorini,1110 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
6,Antonia Apartments,http://www.tripadvisor.com/Hotel_Review-g482942-d6715585-Reviews-Antonia_Apartments-Fira_Santorini_Cyclades_South_Aegean.html,Santorini,175 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
7,Galatia Villas,http://www.tripadvisor.com/Hotel_Review-g482942-d671072-Reviews-Galatia_Villas-Fira_Santorini_Cyclades_South_Aegean.html,Santorini,393 ,,2019/10/01,2019/10/05,,TripAdvisor,8,
8,Reverie Santorini Hotel,http://www.tripadvisor.com/Hotel_Review-g635607-d617848-Reviews-Reverie_Santorini_Hotel-Firostefani_Santorini_Cyclades_South_Aegean.html,Santorini,773 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
9,Grand View Hotel,http://www.tripadvisor.com/Hotel_Review-g1191887-d1222563-Reviews-Grand_View_Hotel-Megalochori_Santorini_Cyclades_South_Aegean.html,Santorini,636 ,,2019/10/01,2019/10/05,,TripAdvisor,8,
10,Roula Villa,http://www.tripadvisor.com/Hotel_Review-g635608-d677444-Reviews-Roula_Villa-Perissa_Santorini_Cyclades_South_Aegean.html,Santorini,301 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
11,Epavlis Hotel,http://www.tripadvisor.com/Hotel_Review-g658914-d610094-Reviews-Epavlis_Hotel-Kamari_Santorini_Cyclades_South_Aegean.html,Santorini,444 ,,2019/10/01,2019/10/05,,Booking.com,12,
12,Villa Rose,http://www.tripadvisor.com/Hotel_Review-g482942-d1079074-Reviews-Villa_Rose-Fira_Santorini_Cyclades_South_Aegean.html,Santorini,430 ,,2019/10/01,2019/10/05,,TripAdvisor,5,
13,Mandilaria Studios,http://www.tripadvisor.com/Hotel_Review-g657830-d2080285-Reviews-Mandilaria_Studios-Perivolos_Santorini_Cyclades_South_Aegean.html,Santorini,102 ,,2019/10/01,2019/10/05,$54,TripAdvisor,12,
14,Akrotiri Hotel,http://www.tripadvisor.com/Hotel_Review-g1189834-d1196749-Reviews-Akrotiri_Hotel-Akrotiri_Santorini_Cyclades_South_Aegean.html,Santorini,114 ,,2019/10/01,2019/10/05,,TripAdvisor,9,
15,Arion Bay,http://www.tripadvisor.com/Hotel_Review-g658914-d729912-Reviews-Arion_Bay-Kamari_Santorini_Cyclades_South_Aegean.html,Santorini,180 ,,2019/10/01,2019/10/05,,Hotels.com,9,
16,Stelios Place,http://www.tripadvisor.com/Hotel_Review-g635608-d504680-Reviews-Stelios_Place-Perissa_Santorini_Cyclades_South_Aegean.html,Santorini,610 ,,2019/10/01,2019/10/05,,TripAdvisor,8,
