,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Novotel Sydney on Darling Harbour,http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html,Sydney,5217 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
1,Meriton Suites Zetland,http://www.tripadvisor.com/Hotel_Review-g255060-d3514899-Reviews-Meriton_Suites_Zetland-Sydney_New_South_Wales.html,Sydney,4332 ,,2019/10/01,2019/10/05,,TripAdvisor,10,
2,Cambridge Hotel Sydney,http://www.tripadvisor.com/Hotel_Review-g255060-d255423-Reviews-Cambridge_Hotel_Sydney-Sydney_New_South_Wales.html,Sydney,5520 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
3,Vibe Hotel Rushcutters Bay Sydney,http://www.tripadvisor.com/Hotel_Review-g255060-d257310-Reviews-Vibe_Hotel_Rushcutters_Bay_Sydney-Sydney_New_South_Wales.html,Sydney,2693 ,,2019/10/01,2019/10/05,,TripAdvisor,14,
4,Wake Up! Sydney,http://www.tripadvisor.com/Hotel_Review-g255060-d286374-Reviews-Wake_Up_Sydney-Sydney_New_South_Wales.html,Sydney,1786 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
5,Vulcan Hotel Sydney,http://www.tripadvisor.com/Hotel_Review-g255060-d294612-Reviews-Vulcan_Hotel_Sydney-Sydney_New_South_Wales.html,Sydney,510 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
6,Mercure Sydney,http://www.tripadvisor.com/Hotel_Review-g255060-d256598-Reviews-Mercure_Sydney-Sydney_New_South_Wales.html,Sydney,5484 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
7,Metro Aspire Hotel Sydney,http://www.tripadvisor.com/Hotel_Review-g255060-d273185-Reviews-Metro_Aspire_Hotel_Sydney-Sydney_New_South_Wales.html,Sydney,1340 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
8,Novotel Sydney Central,http://www.tripadvisor.com/Hotel_Review-g255060-d256531-Reviews-Novotel_Sydney_Central-Sydney_New_South_Wales.html,Sydney,1601 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
9,Shangri-La Hotel Sydney,http://www.tripadvisor.com/Hotel_Review-g255060-d256528-Reviews-Shangri_La_Hotel_Sydney-Sydney_New_South_Wales.html,Sydney,7635 ,,2019/10/01,2019/10/05,,TripAdvisor,14,
10,Hotel Challis,http://www.tripadvisor.com/Hotel_Review-g255060-d594529-Reviews-Hotel_Challis-Sydney_New_South_Wales.html,Sydney,1012 ,,2019/10/01,2019/10/05,,TripAdvisor,14,
11,Novotel Sydney Darling Square,http://www.tripadvisor.com/Hotel_Review-g255060-d256607-Reviews-Novotel_Sydney_Darling_Square-Sydney_New_South_Wales.html,Sydney,274 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
12,Adina Apartment Hotel Coogee Sydney,http://www.tripadvisor.com/Hotel_Review-g261609-d257299-Reviews-Adina_Apartment_Hotel_Coogee_Sydney-Coogee_Randwick_Greater_Sydney_New_South_Wales.html,Sydney,1233 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
13,Sydney Harbour YHA,http://www.tripadvisor.com/Hotel_Review-g255060-d1590454-Reviews-Sydney_Harbour_YHA-Sydney_New_South_Wales.html,Sydney,1224 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
14,The Russell Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g255060-d258459-Reviews-The_Russell_Boutique_Hotel-Sydney_New_South_Wales.html,Sydney,1154 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
15,Bondi Beach House Accommodation,http://www.tripadvisor.com/Hotel_Review-g947961-d1044810-Reviews-Bondi_Beach_House_Accommodation-Bondi_Greater_Sydney_New_South_Wales.html,Sydney,215 ,,2019/10/01,2019/10/05,,TripAdvisor,13,
16,28 Hotel,http://www.tripadvisor.com/Hotel_Review-g255060-d12129942-Reviews-28_Hotel-Sydney_New_South_Wales.html,Sydney,486 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
17,"Four Points by Sheraton, Sydney Central Park",http://www.tripadvisor.com/Hotel_Review-g255060-d14171583-Reviews-Four_Points_by_Sheraton_Sydney_Central_Park-Sydney_New_South_Wales.html,Sydney,166 ,,2019/10/01,2019/10/05,,TripAdvisor,12,
18,Central Railway Hotel,http://www.tripadvisor.com/Hotel_Review-g255060-d256534-Reviews-Central_Railway_Hotel-Sydney_New_South_Wales.html,Sydney,812 ,,2019/10/01,2019/10/05,,TripAdvisor,11,
