,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Mitsui Garden Hotel Ueno,http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,666 ,,2019/10/01,2019/10/05,$170,Travelocity,17,
1,Hotel East 21 Tokyo,http://www.tripadvisor.com/Hotel_Review-g1066449-d301686-Reviews-Hotel_East_21_Tokyo-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,918 ,,2019/10/01,2019/10/05,$110,Booking.com,16,
2,Hotel Sunroute Higashi Shinjuku,http://www.tripadvisor.com/Hotel_Review-g1066457-d658576-Reviews-Hotel_Sunroute_Higashi_Shinjuku-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,1235 ,,2019/10/01,2019/10/05,$137,Booking.com,16,
3,Mitsui Garden Hotel Gotanda,http://www.tripadvisor.com/Hotel_Review-g1066854-d13312508-Reviews-Mitsui_Garden_Hotel_Gotanda-Shinagawa_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,132 ,,2019/10/01,2019/10/05,$130,Booking.com,15,
4,MIMARU TOKYO UENO INARICHO,http://www.tripadvisor.com/Hotel_Review-g1066461-d14206059-Reviews-MIMARU_TOKYO_UENO_INARICHO-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,158 ,,2019/10/01,2019/10/05,$273,Booking.com,8,
5,Dormy inn Premium Shibuya Jingumae,http://www.tripadvisor.com/Hotel_Review-g1066456-d2526939-Reviews-Dormy_inn_Premium_Shibuya_Jingumae-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,628 ,,2019/10/01,2019/10/05,$165,Booking.com,15,
6,Hotel Sunroute Higashi Shinjuku,http://www.tripadvisor.com/Hotel_Review-g1066457-d658576-Reviews-Hotel_Sunroute_Higashi_Shinjuku-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,1235 ,,2019/10/01,2019/10/05,$137,Booking.com,16,
7,ANA InterContinental Tokyo,http://www.tripadvisor.com/Hotel_Review-g1066451-d300459-Reviews-ANA_InterContinental_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,3158 ,,2019/10/01,2019/10/05,$436,Expedia.com,17,
8,"Mandarin Oriental, Tokyo",http://www.tripadvisor.com/Hotel_Review-g1066444-d585204-Reviews-Mandarin_Oriental_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,2359 ,,2019/10/01,2019/10/05,"$1,040",Mandarin Oriental,14,
9,The Tokyo Station Hotel,http://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,1577 ,,2019/10/01,2019/10/05,$736,JAPANiCAN.com,18,
10,Hotel Musse Ginza Meitetsu,http://www.tripadvisor.com/Hotel_Review-g14129573-d13119377-Reviews-Hotel_Musse_Ginza_Meitetsu-Ginza_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,Tokyo,141 ,,2019/10/01,2019/10/05,$154,Booking.com,14,
