,review_body,review_date,hotelName,hotelUrl
0,"This is a fine, modern, luxury hotel in a location that offers panoramic views and easy access to major attractions in Athens. The rooms are clean and comfortable, the housekeeping services are absolutely outstanding (we never had to ask for towels!), the Wi-Fi is fast, and the food and service in the restaurants is excellent (we had at least breakfast, lunch, and dinner on the property).Now for the caveats. First, the website makes it appear as though the Acropolis is closer than it actually is, so the view isn't quite as stunning as you might think. Second, the rooftop pool area is rather small, and therefore inadequate for a hotel of this size. Good luck finding a spot--I wound up reading my book seated at a hightop table (not comfortable). Third, everything is incredibly expensive. We needed to grab a quick lunch at the ""casual"" restaurant off the lobby due to our schedule, and it cost about $100 for a burger, a grilled chicken sandwich, and a salad. That's among the more expensive lunches we've ever had. I'm sure we'd pay the same at the Ritz Carlton in New York, but yikes! Similarly, think twice before grabbing a bottled water from the mini-bar in your room. Also, our visit was during a summer heatwave in Athens, and I was surprised that the hotel experienced regular blackouts during our stay. This is not entirely in the hotel's control of course, though I would have expected a facility of this size and quality to have backup generators that would supply uninterrupted power. At one point we lost power for so long that the water stopped working in our room, and since the elevators were not operational we wound up having to walk down eight flights of stairs to get on with our activities. I also found that our rooms was not particularly quiet; despite being on the eighth floor I could hear sirens and cars horns from the streets below well into the night.All that being said, this is a quality hotel, and I would certainly consider staying here again when I return to Athens. Some of the caveats above are simply par for the course in a metropolitan hotel; I mention them purely in the interest of full disclosure.","July 12, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
1,Divani is a hotel close to the airport highway which means that in 25 minutes you can reach the airport. As you enter a stylish lobby awaits you and a more that cheerful staff is ready to welcome you.the rooms are ok but the lobby bar and the pool bar are amazing. Looking forward to come back,"July 10, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
2,We arrived early in the morning and the young lady in the front desk did her best to give us a room after such a long flight.it was such a kind approach and I feel obliged to thank her for taking care us and moreover upgrading us on a high floor room.,"July 6, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
3,"The hotel is a typical large city hotel, lots of room with a big turnover of guests, it is clean and functional, rooms are standard not luxourious and have no special touch to make it a 5 star hotel, the location is slightly out of the centre but everywhere is realitivly easy to get to breakfast is not included so just go behind the hotel to a lovely local area of bars and restaurants and pay third of the price, nothing really wrong with the hotel just dont be fooled that it really is a good standard for a three star review ","July 6, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
4,"I would highly recommend the Divani Caravel Hotel - Especially the wonderful staff who could not do enough to make our stay wonderful. Good location with local restaurants near by . The décor of the room and the restaurants were very good. I would not hesitate to recommend this hotel to Business, Leisure guests","July 3, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
5,"Stayed here one night when in town on business. It's a nice, full service hotel with all you'd expect of a five-star joint. The staff were friendly and helpful, the rooms were large, clean and comfortable. The air conditioning was nice and cold! Facilities were good, and I had most of what I needed in the room. The bathroom was also large and clean. I noticed that my toilet wasn't fixed to the floor properly, which was a bit of a worry, but otherwise all was fine. Breakfast was okay too.The only issue I had with the hotel itself was that the lifts were quite slow and small, and the hotel location is a bit outside the main area of town. It's a good 20--30 min walk to town, including a walk along a busy highway. It is a quick taxi ride back though, about 10 EUR, so not too bad. This is compensated by a great rooftop bar, where you'll get views of the Acropolis, so that's pretty nice!Not a bad spot!","June 30, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
6,"When we were looking for a place for wedding party in last December we had had only one thing on our minds: to offer unforgettable quality moments to our guests -family and friends- who would come and celebrate with us our unique moment. We couldn't afford to give a fortune but we didn't want to choose a cheap place just to minimize the cost and maximize our profit from collected gifts.With this in mind we saw many hotels. We had looked premises near the city because we cared about the guest's convenience and safety: it's stupid to expect from people to have fun and drink on the one hand and to drive back safely long distances on the other hand.Divani Caravel's qualified person -Giota- was very friendly and helpful from the first time. We called her and arranged a meeting at the venue, on the last floor. You should visit this place, it has a unique view of all the town,including Acropolis and Hymettus.We had discussed with Giota about our needs, about the place, music, number of guest, menu etc. We finally were excited. We agreed and at the They were very understandable all the time. In the second meeting we clarified all the details abut the event.On the day of the wedding party everything was perfect. They showed professionalism and great experience. Decoration was as agreed, everything clean, personnel was friendly and polite during the night.Maitre d'hotel -great man and professional- came to our room (free offer from Hotel to wedding couple) and introduce us to the hall, and helped us cutting the wedding cake. After that, the party began!Positive:- Location. No guest will get tired or in danger with long distances.- unbelievable in quality and variety of the food and sweets: our guests loved it and hotel had left it available all the time of the party! It's a five star restaurant offering unforgettable taste combinations. Try it. Moreover their wine is really good!- Shocking view of Athens and Acropolis lighted.- Polite and professional personnel, even when they were tired after hours of service.- Free suite for the night after the wedding as a gift form the hotel- Everything as agreed. (This is the most important from my point of view. They did everything as they had promised, which is quite rare in wedding party's industry)Negative:- I would prefer a bit larger area and dance floor. But nothing important. In conclusion: If you're looking for a place for quality and unforgettable wedding party, Divani Caravel is your place. It will may cost you more than other places but i guarantee that the difference is really HUGE!This review is a bit late (wedding was late in December) but 100% honest and fair for the hotel. Every time me, my wife or a friend of us are thinking the night of wedding party we bring back nice thoughts and great feelings. Many of them exist because of the hotel's unique services. And this is priceless....","June 30, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
7,"Interestingly enough that manager responses to average and negative reviews universally start with “we never had such a complain before...”It’s rather concerning.Hotel is old and outdated (70-th-80th), hallways are smelly (likely because they mixing smoking and non-smoking rooms on the same floor), staff seems very busy and distant. Room was very clean, equipped with everything you might need.Nice bedding. Good view of the city.We where given a smoking room (honest mistake frankly) but front clerk didn’t even apologized, she made a “surprise” impression, and immediately tried to remind my wife that she made a reservation for one person instead of two (there is no difference in price).Weird.Overall, make a 3-star impression.I wouldn’t stay in this place again.","June 28, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
8,"It’s really rude when you ask a hotel prepare the room hours early before 12:00, and I’m totally aware of this. But when I ask this morning, they spend mins and let us check in, and about the other time in same hotel, a gentleman refused me very seriously, I can understand just sometime I want find a way..a perfect balance...","June 23, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
9,"Came for a congress last weekend, arrived very late, was upgraded to a fabulous suite! Good start! Breakfast was great, room spacious and clean, hotel's pool on the roof- nice and cool.....however....at the dsy of departure I had to argue with front dedk clerck as my congress reserved the room for 2 (and my husband cancelled his arrival)- they kept asking again (should he have come I would have to oat extra for his stay) and doubting my answers, despite the fact they could easily look into my arrival details (I checked in at 2am, not the busiest hour), meals (eaten alone)and any other information regarding the room and its use. This attitude is far from welcoming and certainly affected my overall impression. Sorry about that. Kindly instruct the staff to handle future sutuations with more resoect and trust the guests. ....thanks in advance","June 23, 2019","0    Divani Caravel Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g189400-d230392-Reviews-Divani_Caravel_Hotel-Athens_Attica.html
