,review_body,review_date,hotelName,hotelUrl
0,"Basically a La Quinta with a nice lobby. Nothing about the decor or the furnishings is 4 star. Room had cheap lamps/tables and pillows were small/flat. Linens were average at best, and general feel of room was cheap. Staff on the other hand was superb! Location mediocre. If you can stay here for $100 or under, ok, otherwise your overpaying. ","July 3, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
1,"My husband and I were visiting our adult son, who lives in Austin, so I booked this hotel based on the reviews and the price (which was better than the downtown hotels). I did not realize that this hotel was in the middle of nowhere! We had to Uber everywhere and it was a 20-30 minute drive any place we went. In hindsight, we would have done better to pay more for a hotel downtown after factoring in the cost of all the Uber rides. In addition, there were things we found to be quite odd. For instance, the bathroom doors (there were 2) were louvered doors meant to be closet doors. In other words, it was not a solid door. Once you enter the bathroom, the toilet was separated by a curtain. Sorry....but I prefer privacy! In addition, the second day we were there, our room was never cleaned! The first day, it was not cleaned till 3:30-4:00 pm. You can not walk anywhere (like to a convenience store) because it is located right off a busy bypass so if you wanted a Coke, you had to pay $5 either at the mini-bar or the swim bar as there are no vending machines anywhere on the property and there is no ice machine (you have to call room service). Really, the only nice thing I can say about this hotel (at least for us) was the SIZE of our room and bathroom were spacious. I did not care for the decor (tacky Italian) and the staff certainly did not go out of their way to make our stay pleasant. We will never stay here again. ","June 24, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
2,Trey is the embodiment of professionalism. I’ve been staying at the granduca with my boyfriend for an entire month over the last six months and Trey has been the sole reason we’ve been back over and over again. He goes the extra mile to build relationships with his clientele and it’s something that we truly appreciate!,"June 15, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
3,"Fabulous location. A little out of town but it’s a short drive to downtown, malls and restaurants. If you would rather be closer to bars and restaurants then you may want to consider somewhere else as there’s nothing else around the Hotel. However, the staff were very friendly and helpful. We had a conference at the Hotel and while the food was good they did run out during breakfast on occasion but this was sorted out quickly. Overall a lovely place to stay. ","June 8, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
4,"We stayed at this beautiful hotel a couple of nights recently. It really is pretty...but the service was just not up to par with other hotels of this class. We had to ask 3 times to have our room cleaned one day. Although the pool area is beautiful, we never saw an attendant at the bar and people were having to call room service for drinks. That said, the valet/shuttle staff were excellent and as nice as could be!","May 29, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
5,"Hotel was beautiful! It was the perfect mix of luxury, but without being ridiculously expensive! The little chocolates on the pillow and bottled water were an added plus.:) Our shower actually stopped working in the middle of our stay and the hotel fixed it very quickly! All personnel were very nice too. It was close enough to Austin, but far enough to be out of the craziness. We hope to be back soon!","May 27, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
6,"This is a perfectly relaxing room, comfortable with all the amenities you could want. The only thing missing was the refrigerator. I'm sure we could have been moved to another room if asked. When checking in, Trey Foster was completely helpful and kind. The room had a little balcony overlooking the hills so you can get nice, fresh air. I loved every bit of this room.","May 22, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
7,"Good location on a hill. Small pool, Adequate room, with an old TV. Sevice is horrible: try calling room service and you get a call center and often have to leave VM. Took multiple calls to get room service each time, and the wait was 1.5 hours on an average.","May 6, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
8,"We arrived on a Friday at 4:30P, just after check in began. The line was bit long as the staff was dealing with two women who were haggling. I watched and listened to Jeffrey handle the pair so politely and professionally. They asked him at least a dozen times, ""Is that really the best you can do for us?"" (They wanted rooms across the hall from one another instead of down the hall as assigned.). Jeffrey was calm the entire time - everyone else in the area was very annoyed. We went to our room, unpacked, and returned to the lobby/bar area about 30 minutes later. The women were STILL haggling with Jeffrey. I watched him keep his cool the entire time while also checking in a now long line other guests. We visited with Jeffrey later, and he was so professional. Not one negative thing to say. Jeffrey is a Gem. In the bar and restaurant, we had the pleasure of being served by Ted. We throughly enjoyed him both afternoons/evenings. Such a nice man. Have a great visit at your family reunion, Ted!Room service was fantastic when delivered by Doug. His attitude and smile are outstanding! Our daughter had just graduated from college, and her friends had given her flowers that were laying on the counter. Without being asked, Doug brought a vase with water in it for her flowers! Talk about proactive customer service!Our bed was comfy. Our room was quiet. Short elevator waits. Friendly and efficient valet staff. Beautiful pool area with nice cabanas and drinks. What's not to love?Only one fail -- I requested balloons for our graduation celebration dinner in Visconti twice, and the manager assured me balloons would be at the table. Nothing. I was disappointed.We recommend Hotel Granduca when in the north Austin area.","April 29, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
9,I was so pleasantly surprised by this find. Even though I had researched and read previous reviews I was still skeptical. From the moment we were coming up on the curvy driveway overlooking the beautiful hillside I could tell this was going to live up to what others had to say. Front desk: Eduardo was so authentically welcoming. Room: Clean and spacious. Loved the high ceilings. Pool area: I felt like I was vacationing in a Tuscan Villa. There is no detail that hasn't been thought about. We can't wait to come back!,"April 19, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
10,"This hotel is tucked up and away on a hill off of 360. I had seen it while driving thru Austin multiple times, but had never had the opportunity to stay there. Fortunately, we had a series of meetings between offices that resulted in the Hotel Granduca Austin being the perfect location and it being selected as our hotel for the week. It is a lovely hotel with beautiful grounds. My room was spacious. It was stocked well with coffee, tea and a mini bar that rivaled most others I’d ever seen. Turn-down, towel and ice service was offered every evening as well. Towels were extra stiff, but other than needing some softener, no complaints about anything in the room at all. The weather was perfect during our stay. We were fortunate enough to have time one evening to sit out on the terrace as the sun set. That could easily become my favorite pastime. Such a beautiful setting!With the exception of the doormen that were incredibly rude to Uber driver that dropped me off when I first arrived to the hotel (they were very young and it appeared they were being judgmental and that needs to be addressed), all of the staff were fantastic. My only regret is that I did not have time to enjoy any of the amenities. I will definitely return and stay when I can enjoy without work obligations!","April 13, 2019","0    Hotel Granduca Austin
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g30196-d8792233-Reviews-Hotel_Granduca_Austin-Austin_Texas.html
