,review_body,review_date,hotelName,hotelUrl
0,"Very comfortable hotel, the bed is very comfortable, the staff is very kind and courteous Excellent value for money, close to the airport line, go to big c, Siam t21 is very close Breakfast is also delicious非常舒適的酒店，床也很舒服，職員十分親切有禮貌物超所值，鄰近機場線，行去big c ,Siam t21都很近早餐亦很美味","July 13, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
1,I read online that the service this place offers is great and I can 100% confirm that. I enjoyed my stay. They have a cool pool. Amazing breakfast. I’ll come back for sure when I’m in Bangkok at the end of the year.Moni from the staff was super helpful and very valuable for the duration of my stay.TIP: never get an Airbnb or stay at a hostel in Bangkok. My friends and I made that mistake. The pictures are all fake and you’re better off going to a respectable hotel like Akara.,"July 12, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
2,"Staffs extremely friendly and helpful (especially Moni) . Beautiful room. Definitely will visit again !!Hotel situated at very convenient location, close to station, swimming pool extraordinary, elegant decoration and nice bath tub !","July 11, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
3,We have very good holiday when we arrive at hotel welcome by Manager was nice and we enjoyed lobby food at afternoon and the rooms is good the we enjoyed the swimming pool and restaurant is nice at nightRecommend to all,"July 11, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
4,Overall excellent. Hotel staff are really friendly. Good location. The room could be more clean. Nice pool and roof top bar. Complimentary and delicious snacks and refreshments. Will definitely recommend this hotel!,"July 11, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
5,"Wow. This is for sure one of the best hotel we have ever been. We have had the luck to meet the GM Mr Zaki who has welcomed us as anyone else before making our stay unforgettable. The hotel is marvellous, rooms are spacious and very comfortable, excellent Wi-Fi in the whole structure, amazing breakfast which manage to satisfy whichever taste, great and picturesque swimming pool on the roof which offers a wonderful view over Bangkok. All the staff is extremely helpful and always smiling. What do you want more? Just book it. ","July 11, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
6,"First time staying in this hotel and we really enjoyed our stay to the max. Firstly, we were told to have a seat in the lobby and the friendly staff came to us for the check in process. Then we were guided to our upgraded Suite Room with a short room introduction. The bed is very comfortable, one of the best I've had in hotels. The suite is very nice with high tech switch control and smart TV. The location is great with free TukTuk service to nearest BTS. Excellent services from all the staff here especially Chomp! He is super friendly and always with big smiles. The complimentary high tea was great with nice ambience. Akara Hotel really gave us a good reason to visit Bangkok again.","July 11, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
7,All the things and service are good. Thank you for helping us Mr. dear and Mr. Chag. The location are near Siam popular tourist destination. I will choose this hotel next time. Thanks for bringing me a good experience.,"July 10, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
8,This hotel is very new service is good staff is friendly have good smiles swimming pool is good and good view Breakfast is very tummy the room is good and very clean we like it Location of the hotel is convenient to BTS and Shopping areas,"July 10, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
9,This is very good hotel we enjoyed very much my girlfriend is very happy she likes the rooftop bar at night with beautiful view and second floor food we like it Location is convenient to go anywhere We recommend to all,"July 10, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
10,Excellent service from them. Nice room and high tea reception. Will definitely return. Great complimentary high tea everyday from 2 to 5pm. Room is spacious and luxurious. Staff always greet us with smiles and going extra miles in assisting us.,"July 9, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
11,"It is very beautiful hotel. We have very good experience here for our honeymoon. They give us a special surprise as shown below. Breakfast was good also. If you want to take nice pictures, it will be good place.","July 9, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
12,Nice stay.good breakfast and friendly staff. They are welcoming and helpful. They provided us the iron board and iron as well. The room is great but the room cleaningless could be improved. We would like to come again.,"July 9, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
13,Good decoration with a perfect location! The hotel is near to a MRT station and 8mins walk to Phaya Thai bts staion. The marble pattern is the signature part for the room. i'll definitely come back again! ,"July 9, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
14,"As you get out of the taxi , you are welcomed , the concierge take your bags and take you to reception, polite professional staff deal with the check in and escort you to your room , our room was on the 14th floor , the room was absolutely stunning and the bed was probably the most comfortable bed I have slept in , bathroom was also impressive.We went up to the 16th floor for a quick swim in the rooftop pool , followed by drinks in the Barracuda bar on the top floor , the views were stunning and night time Bangkok came alive .We had dinner in the restaurant and the food was amazing.  Akara hotel was definitely 5 star , we was so impressed we booked another night before our trip home ,the airport was 40 mins away and cost 400 bht by taxi , a big thank you to all the staff for making our stay so special.Will definitely stay here again ","July 8, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
15,We had a very enjoyable 1 night stay at Akara. It is a beautifully designed boutique hotel. We were very grateful for the upgrade to a 13th floor room which was spacious with gorgeous bathroom (See pics). We loved the view from the rooftop bar and the rooftop pool was small but lovely to cool down in. Staff all very friendly and helpful. Thank you Akara :-(,"July 7, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
16,The hotel is new and service is excellent. Every reception is passionate with smile. Hotel offers a free DoDo car to send you to KING POWER which is duty free department. The location is close to the center. Nice place to stay,"July 5, 2019","0    Akara Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g293916-d13134217-Reviews-Akara_Hotel-Bangkok.html
