,review_body,review_date,hotelName,hotelUrl
0,"Its in the center of town, near the ""puerto del sol"" square. And near everything worth seeing in madrid.Everything is 15 minutes walk away.The hotel has a fine maintenance and everything about it is great.For its prices, its a catch...Enjoy!","December 20, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
1,"Hotel Francisco is located on Calle de Arenal and a few blocks from Plaza Mayor and Puerta del Sol. There a restaurants and markets in the immediate vicinity. The hotel itself is stylish, the rooms are clean and well designed. Hotel staff was very helpful for any need and friendly, always greeting upon entering or leaving.","December 8, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
2,This hotel has a sleek and modern look for an older building.with a great location situated between the puerta del sol and the Opera. The staff could not have been more helpful and we would definitely stay here again on future trips to Madrid. Our room was on the top floor with a balcony and a view of Madrid. However the weather was cool and rainy during our visit so we were unable to use it. It should be noted that the hotel is on a pedestrian only street so it may be necessary to walk a half a block to get a taxi or uber. Shopping and restaurants are abundant within the blocks surrounding the hotel. The hotel is a great value and is highly recommended for a first time visitor to Madrid.,"November 28, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
3,"This hotel, is within walking distance of Puerto del Sol, Plaza Mayor, Mercado de San Miguel and other attractions. Good value with clean rooms and helpful staff. Plenty of restaurants nearby. I would definitely stay here again.","November 14, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
4,"Just got back from a 3nt stay at Francisco 1, superb location, wonderful staff, spotless rooms and spacious. Couldn't ask for a better base to enjoy all that Madrid has to offer. Going back to Madrid next year and will definitely be staying here.Thanks for a delightful stay.","November 11, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
5,"I was always a little surprised when we turned the corner to find our Hotel right there in the middle of a very active pedestrian street. Request a room on the third floor or higher if you have a balcony view of the street to make things a little quieter. The beds were comfortable and the bathroom was spacious---for a European hotel. The staff was friendly. We did not sign up for the breakfast buffet, but there were all kinds of coffee and sandwich shops just outside our front door. A very pleasant stay.","November 8, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
6,"I wish I could give more than 5 stars. This is everything you look for in a hotel, great location, wonderful staff, clean, good beds, excellent breakfast. From the moment we checked in until 3 days later when we checked out, we were looked after. You can,t go wrong with this hotel","November 8, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
7,"The hotel has an unbeatable location. It is at walking distance from la puerta del sol, la puerta de Alcalá, la gran vía.In addition to that the rooms are very modern and comfortable and the service is great. I would definitely come back if in Madrid.","October 24, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
8,"Stayed here with my son for a few days and it was perfect for our needs. Centrally located between Opera and Sol made it easy to get around. The hotel is well serviced with a lift which is great with luggage and is spotlessly clean, and cleaned every day. With your windows closed it is amazingly quiet and dark! And it is air conditioned too. Highly recommended - I’ve just booked another night on my way back through Madrid. Other places would be hard pushed to beat it!","October 23, 2019","0    Hotel Francisco I
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d238637-Reviews-Hotel_Francisco_I-Madrid.html
9,"I normally get my first impression of the hotel when I send emails inquiring about booking. Their prompt replies and feedback to my queries already gave an insight that the way they deal with their patrons is very professional. In fact we ended up arriving late as we had a delay, and when I sent an email to inform the hotel, they replied to my email immediately. When we finally arrived after a three hour delay, we were warmly greeted by Yadian at the reception. He was so helpful going through various things and giving us tips not only on the day, but throughout the whole week we stayed there. Our room was on the top floor as I had requested, it was a nice spacious airy room, with a good sized bathroom and kitchenette . I was surprised how well insulated the rooms were as we did not hear any noise providing us with restful nights. The room was very spacious and immaculately clean as was the bathroom. I was surprised to say the truth with the items provided for example the hairdryer. Such a simple thing but personally I find it's a nightmare to blowdry my hair with the ones usually provided. Their attention to detail and needs of their guests left me quite astounded. Breakfast was delicious too and the staff were really nice. Also the terrace has a breathtaking view of the palace. It was a pity that we visited in December as it would have been nice to sit there and have a drink, but it was too cold in the evenings to stay for more than a few minutes. The hotel is equidistant to two metro stops - Plaza Espana and Principe Pio. This was another plus, apart from the fact of having bus stops just a few steps away from the hotel. Also it's a few metres away from the Royal Palace and walking distance to most of the sights.I would not like to mention names, as I don't want to leave out anyone, but all the staff are so friendly and professional in their approach. You are always greeted with a smile and very helpful in every way. Thanks to everyone for making our short break a memorable and relaxing one. Should we revisit Madrid, obviously we would not even consider looking around anywhere else.","December 22, 2019","1     ApartoSuites Jardines de Sabatini
49    ApartoSuites Jardines de Sabatini
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187514-d1657593-Reviews-ApartoSuites_Jardines_de_Sabatini-Madrid.html
