,review_body,review_date,hotelName,hotelUrl
0,"Great hotel to party over the 4thj of July weekend. The hotel had fun written all over it, from hot girls to part animals all was dope. The fireworks took place in front of the hotel. How can you beat having fire works at the beach with a drink in your hands.","July 12, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
1,Awesome place to stay at the beach. Great hotel and accommodations. Excellent food and drinks. The location is the best location for Miami. Great places to go and shop around. The entertainment district is close by. All you need and nothing you don’t. Lovely.,"July 12, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
2,"There are few words to accurately depict Martha, who is a server at Nobu’s restaurant in Miami Beach. Every day we saw her she greeted us with a huge smile. She was genuine and worked so hard to make sure our stay was great. My mother, father and husband are still talking about how she was one of the best! I can say without hesitation that she was one of the reasons our stay at Nobu was great! I also have to commend Oswaldo, the assistant manager! He was also so focused on ensuring everyone was happy and had everything they needed. He is outstanding and it’s evident why he is a supervisor. Finally, Pierre also helped us two mornings and he too was so kind! Thanks to all three of these amazing employees for making our stay memorable!!","July 12, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
3,Danni at the pool is awesome! Her customer service goes above and beyond. She is very nice and pleasant and you are lucky to have her! I will definitely be coming back and recommending Eden Roc to all of my friends. ,"July 12, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
4,"Know that this is an expensive hotel. It is a nice hotel, ocean front, great staff who are ready go out of their way to take care of you but it is expensive. If you are not prepared for it the sticker shock might turn you off. Nice location","July 9, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
5,"We are very happy with our stay at Eden Roc Hotel. The staff were friendly and helpful. When you are traveling with kids, especially with a 2 years old you need all the help you can get. We appreciate how this hotel did not make us feel like outsiders because of the kids. We had lunch at the pool and enjoyed our time. The prices are a bit too steep even for a New Yorker.","July 9, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
6,"We came back to Eden Roc for our 2nd visit in July 2019 with my husband and our 2 daughters (ages 3 and 8 months). We previously came in August 2018 and had a great time and this time also had my mom and father-in-law join us. I cannot speak highly enough about several of the staff of Eden Roc, who truly go above and beyond for the guests and made our vacation amazing. Raul Diaz, the reservations agent with Eden Roc who assisted us with the reservations gave us a beautiful corner suite (Room 1951) that had beautiful wrap-around views of the beach/ocean/pool area. We also had a second room (Room 2039) with beautiful pool views. Raul also had a thoughtful note and candies for the kids as a welcome gift sent to our room. The rooms are spotlessly clean and modern and have every amenity you can think of, including high end bath products, robes, and Chi hair straighteners and blow dryers, so you don't have to lug all your products from home. During our stay, the stand out staff who took care of us were Victor and Elisha at Nobu's breakfast buffet and the manager, Sam Castro. Sam took the time to listen to some of our feedback about a broken refrigerator that had spoiled my daughter's milk and had a gallon of whole milk sent to our room with a new refrigerator. He checked on us on a daily basis and really made us feel taken care of. We were able to relax and enjoy ourselves on the beach with the excellent set up every day by Juan. We also had massages at the spa that were on special discounted rates for Spa Month that were a great deal. On checkout, the bellman, Miguel, even helped me repack my over-packed suitcase and refused to take a tip after hauling our 4 heavy suitcases into the Uber. I am a very discerning (a.k.a. picky) traveler and cannot recommend Eden Roc more highly! Our family would definitely return to this great resort!","July 8, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
7,My family and I stayed in this hotel in June and our in room safe was robbed. My jewellery and some of our cash was stolen out of our room. Anyone that is planning to stay in this hotel please be careful. Check your safe and count your money everyday.,"July 7, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
8,we had excellent customer service from Audrey in the front desk and Carlos Z bellman. Also the housekeeping service was excellent. The only issue we had was that the rugs in the room and the hallways were old and dirty.,"July 7, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
9,"Excellent hotel. Nicely located, facing the ocean, with a ton things to do, I really liked this hotel. The rooms are ok, not great, but they are spacious with balconies. The service was good altough we had to wait for the elevators too long. Overall, this is a nice hotel.","July 7, 2019","0    Eden Roc Miami Beach Resort
2    Eden Roc Miami Beach Resort
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g34439-d87028-Reviews-Eden_Roc_Miami_Beach_Resort-Miami_Beach_Florida.html
