,review_body,review_date,hotelName,hotelUrl
0,"This hotel's location is super close to USJ on foot it takes less than 5 min. It is in Universial city as well. Hotel's decoration shows Fantasy as theme park hotel. Very clean and kind. Also, breakfast is quite good. As soon as Park open we could head to, Also at night after theme park closing hour we could arrive hotel and took a rest easily. No need to have transportation is super good while we stayed here.","July 12, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
1,"I recently stayed at The Park Front Universal Studios for 2 nights and it delivered what was needed. I was definitely worried about the potential noise factor, being in a hotel with so many children; but really didn’t hear much of anything once inside the room.For all of the lobby glitz, the room was spacious, but basic. I was in a park view room with 2 single beds. The bed were firm, which I love. Though it was a twin bed, it’s not what we consider a twin in the US, it’s definitely bigger. Two kinds of pillows offered: thicker and thinner- which was nice.There is a separate toilet room and bathroom. They were fine but nothing special. The bathroom consisted of a shower and tub room, so to speak. The towels were very thin.The safe was big enough to fit an iPad and something the size of a folder, which was helpful.The blackout shades, though helpful, did not truly blackout the light come morning.The room overall was tired and a bit dated. That being said, for the location and price, I was pretty happy. We were literally steps from the park and from the train...so convenient. For those reasons, I would not hesitate to recommend this hotel if you want to be close to the park.","June 10, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
2,"This hotel is just right in front of the Universal Studios theme park and hence it’s the closest one can get to the Park! Our room besides being very comfortable and nice, also had a view of the Park from the windows! It was exciting indeed ! The hotel is also in the midst of many restaurants and eating places , also has several places to shop nearby , so in that sense it’s absolutely centrally located. The staff was very, very nice ! A very comfortable and memorable stay for us! We loved it! Thank you hotel team for making our stay amazing !! Loved it ! ","June 3, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
3,This hotel is literally at the front of the universal park. From the lobby to the park entrance is about 5 meters max. You are pretty much staying in the park!! Hotel is amazing!! Atmosphere is fantastic. There is so much to do in the universal walk and so many restaurants. I would 100% stay here again everything you need is only steps away and the hotel is very reasonably priced for the amazing location,"May 30, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
4,"Stayed here for one night after a long, tiring day at the theme park.We dropped off our luggage on arrival then headed for the park.Returned at night to check in. Our cases were already in our room.The room was very large with 4 comfortable beds.Lots of toiletries supplied as well as a hairdryer and a sleep shirt and slippers.Breakfast was amazing. Lots of choice, including a chocolate fountain and sweets.A late checkout meant no rushing so sat in the window enjoying the views of the park.Wonderful! ","April 21, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
5,"Can’t beat its price and location to USJ. Good spacious rooms and beautiful scenery. The major complaint I have is the laundry room. The dryer does not do its job despite gobbling up my yens, innocent few more tries and fruitless feedbacks. For that I minus a star from the review.","April 13, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
6,"Take your time to enjoy a magical stay at Parkfront Hotel where you can see Universal Studios Japan was right from your room. Breakfast buffet was very good with a huge diversity of dishes. However, the buffet dinner was not so impressive. Overall, we had a great time here! ","April 11, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
7,"The hotel is very near universal studios so if planning to go there this hotel is a very good choice. It is also near their metro rail transit so after going to universal studios you can easily travel to a different tourist spot by using their train, which is comfortable, efficient and reasonably price. The hotel can further be improved by upgrading their facilities and renovating their rooms.","March 16, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
8,"My family and I had a pleasant stay at this hotel. Universal city walk and Universal Studios are just right outside the hotel. So many restaurants to choose from in the area. Perfect place for families, couples and singles. The staff was friendly and accommodating. Room was clean and spacious.","March 4, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
9,"We stayed here because it was close to the train, and it’s a nice hotel. We weren’t actually going to the parks, so it was a little silly for us to stay here. Going the opposite way as the park traffic every day was funny. I didn’t get the room I thought I was going to, but it was fine.","February 9, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
10,"This hotel is located literally 100 meters from USH gates.Some tips:- if you traveling with family from Kansai Airport, it is more convenient to go by bus to universal studio. It took less that an hour. From the universal studio bus stop it is like 300 meters walk to the hotel. If you travel by train, the universal city station is also very close to the hotel.- if you arrive early, the hotel will keep your luggage and they will have it ready in your room by the time you come back- you can purchase USJ tickets and express pass from the tickets counter at the 3rd floor (next to the check in counter)- breakfast buffet spread is awesome. There are an extended japanese and international selection. It is good value for money and best option before going to the park- for lunch and dinner there are numerous restaurants option in the universal city shopping & dining area. They are open until late.- there are luggage forwarding service (Ta-Q-Bin) at the 2nd floor. It opens from 7 am to 12 pm. I use it to send big luggages to my next hotel in Tokyo- They have a room with park view. It depends on your personal judgement, but after spending a whole day or two at the park I wouldn’t pay extra for that view. The room and bathroom is very spacious though- they dont provide iron & ironing board in the room but you can ask to borrow one.- there is lawson store at ground floor. It’s very convenient to buy some snacks, drinks and other stuff. They also sell electrical adaptor and other crucial traveling stuffs.","January 17, 2019","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
11,"Having a hotel nearby to go back to after a tiring day at USJ is awesome. The hotel room and the bath is big and I really enjoyed my stay there. I love spacious rooms (something that is rare in Japan).I didn’t go for the breakfast option as it’s quite expensive and there are a couple of good cafes nearby. I’m glad I didn’t as I see huge lines outside the cafe in the morning. I wouldn’t want to queue for my breakfast especially if I’m rushing to USJ. It’s a beautiful hotel and yes, I will recommend it if u are intending to visit USJ. Try the sushi place (revolving sushi) nearby as it’s pretty good! There’s loads of eateries where the hotel is. Try asking for the room facing universal studios. I think it’s more expensive though. However, from where I am (facing the other way), I could see fireworks display at night! :) ","December 19, 2018","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
12,"Stayed at this hotel from 2nd till 3rd Dec 2018, Room 2202 and 2203. The booking was made via online through their website. Check in process is normal and can be considered average. There is nothing special of the services rendered by the reception staff. My main concern is that no one assisting us (I come with my family of 5) with our luggages upon our arrival. We arrived via taxi at the ground floor roughly around 7pm. There is only 1 lady staff at the small concierge unit. Not so fluent in English and just told my family “check in upstairs “. We have to carry out out luggage on our own to the lobby by the escalator. She is not telling us whether there is an elevator or otherwise and till today I really not sure about it.Nothing to shout about the room as I believe on par with other resort boutique theme park hotel. Main advantage is just the hotel is near to USJ and located along the universal walk. The rest I think is average and could be a bit expensive and not worth of money.Breakfast is ok. Maybe it’s time for the hotel management to consider halal @ Muslim friendly food as the number of Muslim customers are growing fast. Another thing probably the tv channel inside the hotel could provide ‘live’ coverage of the theme park for information of its patrons. There is a counter selling tickets for the park inside the hotel which may benefit the customers. ","December 7, 2018","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
13,"The hotel's proximity to USJ and the bus station (bus to airport) is simply amazing. After 2 tired but fun days at USJ, having the hotel at a stone's throw away was great.It was also very fun to see USJ from our room window. We could see the queues, the crowds and the day/night scenes.The hotel had coin laundry facilities which was very convenient for us. The shops outside the hotel at Citywalk had a good variety of restaurants, supper snacks and souvenirs/gifts.","December 2, 2018","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
14,"Thanks for giving us room on higher floor, view was so great, we can see universal studio from window.Just 3 mins walk to the studio gate, very convenient.Surrounding by shopping & dinning areas, a nice hotel for family tour.","November 22, 2018","0     The Park Front Hotel at Universal Studios Japan
21    The Park Front Hotel at Universal Studios Japan
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g14127588-d7806340-Reviews-The_Park_Front_Hotel_at_Universal_Studios_Japan-Konohana_Osaka_Osaka_Prefecture_Kink.html
