,review_body,review_date,hotelName,hotelUrl
0,Forgot to book a large bed so given a room with 2 singles and they are small (I am a normal BMI adult and almost fell out several times in night).So very tired.Food very good albeit limited choiceService very goodBathroom weird - toilet quite removed from sink and shower I would t stay again but cause sleep is important for me. Am sure if you have a proper double or larger bed your sleep will be fine,"July 12, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
1,"This hotel was really nice overall but they location was really bad. One hour from Charles De gaulle airport and pretty far from most of the attractions. However, it is really close to the train station. They had a nice buffet breakfast and they treated us nicely. ","July 10, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
2,Our complimentary breakfast was delicious. Staff was kind and helpful. Our beds were comfortable and our room was cool. Was a ten minute walk to the Metro from where we embarked on all our sightseeing destinations.,"July 3, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
3,"If I could give 0 stars, I would. Staff completely unhelpful. Booked this room as the hotel boasts having air conditioning in all rooms. Got a room that is over 85 degrees inside for me, my husband and 2 kids (one who is asthmatic). The temperature outside is over 95 degrees so opening a window is not an option. Told the staff the issue upon check in at 3:30 and said they would send someone. Got back to room at 11:30 pm, no one came by and when we went back down, only option was to wait till the next day to see if anything became available but no promises could be made in respect. We had to beg for a fan which they finally gave us begrudgingly and did nothing to cool it down and was extremely loud! While I am not French, I do understand quite a bit and had to hear them ridicule me as I walked away for being American! Ridiculous and completely blown away that a hotel treats guests this way.","June 25, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
4,"This was a comfortable hotel in Montparnasse not to far from the Montparnasse Tower. The room was nice and the bathroom had amenities. The air conditioning was on and the room was comfortably cool. It was quiet at night so we were able to sleep well.The breakfast was really good, with a large variety of hot and cold items. There were many restaurants and shops nearby.","June 7, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
5,"First time to a Novotel and very impressed. Staff good, hotel good, food good and good value so good all round. Busy as you would expect for a budget hotel close to the Eiffel Tower. All round great experience in Paris. Well done Novotel","June 2, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
6,"We booked the hotel for the last night of our France vacation. We arrived early from the champagne region and this is what went on:10am - we were told that the hotel was overbooked and that they had rooms available, offered a room at a different hotel. Mind you, we were early there so they could’ve given un any room. We declined, spoke to the manager Marian, she said they would give us a room but we would have to wait4pm, came back to the hotel, checked in and they put us in a room on the 7th floor (alleged upgrade) you could see vacuums, water extractors, construction materias everywhere and not a single soul on site.9:30pm my husband took a shower and there was an overflow, water everywhere (we realized that all the equipment we had seen earlier was due to something similar) 9:30-10p back and forth with front desk “we can have someone check it out in the morning” “we are going to open another room so you can shower there for 30min-1hr” “you can’t use that other room due to sanitary issues” just like we suspected, our room was part of the problem. 10:15pm after bickering, once again they offered another hotel and at this time we had no choice. At this time, there were other guests trying to check in but no rooms were available. Rude taxi driver and we got to the other hotel and checked in past 10:45pm. I was able to take a shower there. To sum this up, this hotel is a scam, they have no respect, they exposed my family to God knows what in a dirty, sewer water infested room and floor and treated us like garbage. Accor hotels, don’t bother apologizing here and twisting my story around, there is no way you can make this up to me because I am never ever booking a room with you. Refund me for my stay. Please I beg of you, don’t book it, it’s a fraud. See photos","June 1, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
7,On business I stayed at this Novotel 2 nites recentlyThe best Paris experience in the price range1) 200+ is seldom seen in central Paris2) 18 Euro for a full buffet breakfast with omelettes waffles cappuccino coffee. Pastries juices etc3) walk to the Metro4) 1.2km from the Eiffel Tower5) dozens of restaurants in walking distance6) outside the high end tourist area so restaurants were more reasonably priced7) clean room8) friendly courteous competent staffMy first choice when I next visit Paris!,"May 23, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
8,"The two things that I liked about the hotel is the location near the metro line and secondly the staff checked us in two hours prior to the official check-in time.The selfie box at the breakfast area, Kids just loved it.","May 13, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
9,The hotel is convenient for Gare Montparnasse and the surrounding area and is of a very good standard. A very comfortable king-size bed in a quiet room. High quality bathroom and shower with good towels. The staff are lovely and breakfast provided everything we wanted.,"May 12, 2019","0    Novotel Paris Centre Gare Montparnasse
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html
