,review_body,review_date,hotelName,hotelUrl
0,"The rooms aren’t as big as they seemed in the pictures but there was enough space for two people. A few cobwebs in the highs and lows of the room, so in terms of cleanliness it wasn’t 4*. When showering the water went all over the floor, in puddles just outside the bathtub, I’m sure there was leak in the tub and the shower head was coming out the wall. The pressure of the shower was really good though.Breakfast was standard, but the staff were extremely helpful and pleasant.The location was good as we walked everywhere. It’s about 15/20 minutes from Trevi fountain and the Spanish steps, about 40 minutes to the Colosseum and about an hour from Vatican City. Advice is to pre-book all of these before reaching there.  Overall standard room, wouldn’t have paid as much as I had for the standard of it but we did go peak season. ","July 13, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
1,"My second stay and definitely not my last at this beautiful romanic styled hotel and art pieces which transport you into classic era. The super friendly staff, especially concierge add to its charm. Grazie for the birthday surprise.","July 10, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
2,"My wife and I thoroughly enjoyed our recent stay at Hotel Romanico Palace. Rooms were charming, clean, well kept, and comfortable, as was the entire property. The staff was courteous, helpful, and eager to please guests. The location near beautiful Borghese Park is perfect with easy access to many of Rome's attractions. Nearby restaurants offered everything from sandwiches to elegant dinners with impeccable service and acceptable prices. I would be delighted to stay here again.","July 8, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
3,"Staff friendly, greeting warm on arrival.Didn't get my complimentary prossecco,lolRoom on level 5 and the smell in hallway was dreadful.Room had no shower, bath only! No view even though it was a deluxe room.Had the Do Not Distrub sign on my door, they still entered my room.","July 6, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
4,"Excellent location near Trevi Fountain, Spanish Steps, some okay shopping and great restaurants, rooms big enough for 4, bar good but breakfast really not so great. On the other hand, there is a fine cafe next door","July 6, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
5,"This was a very well located hotel, it was a 10 minute bus ride or 25 minute walk into the center. The staff were very helpful and whenever we needed anything, like towels, they would bring it up straight away. Our room was very spacious and the decor was wonderful. However the breakfast was basic and it was a shame that the roof terrace closed so early in the evening. ","July 3, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
6,Had a week at the Romanico palace . The staff were fantastic . Nothing was too much trouble . Had a real cheery feel to it . Room was lovely with beautiful high ceilings and the breakfast room .. wow!,"July 2, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
7,Once entering the room it was lovely to see the effort. Rose petals were sprinkled on the bed. One thing which I found funny was the window that allowed everyone to see inside the bathroom. The decorations on the walls and ceiling also added to the italian experience. The hotel is in a really good position to bars and restaurants and also walking distance to some major tourist attractions. Would definitely recommend. ,"July 1, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
8,"We stayed here prior to start of our tour. The breakfast was good and service there was good. Our room smelled of a strong, horrible odor. It smelled as if it were mold or mildew, but it was so strong it was a health concern. I shared my concern with the hotel, but there was no response. I realize the hotel is old, but this was unacceptable and needs to be attended to.","June 28, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
9,"Loved this hotel for our stay in Rome. We had a large group staying here and each room was unique with its own style. The front desk and concierge were great to accommodate us and give recommendations and directions. It was very clean and the breakfast overlooked the city. I had read different opinions about the breakfast, but we all thought it was great. There is a small bar and sitting area you can sit if waiting to join a group of just to sit and visit. Good location if you don't mind a short walk to the Spanish Steps, Trevi Fountain area, or even the Termini train station.","June 28, 2019","0    Hotel Romanico Palace
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g187791-d656857-Reviews-Hotel_Romanico_Palace-Rome_Lazio.html
