,review_body,review_date,hotelName,hotelUrl
0,"The Metro is a fantastic hotel. The central location allows me to walk everywhere as I explore this vibrant city. The hotel and rooms are adorned with stunning paintings and artwork. Each room is different, all full of character and immaculate. I pride myself in having the fortune of staying in a number different rooms during a few recent trips. The gorgeous people at the from desk are never too busy to make recommendations to optimise my stay, further my knowledge of the area, and make me feel at home. The hotel is also perfectly placed for delicious restaurants, cafe's, shops, and bars in the neighbourhood. A friend in London originally recommended The Metro to me and it’s a tremendous find. The price is reasonable and I haven’t found anything which compares in San Francisco. This is my go to SF hotel and home away from home. I can’t wait to get back there. Well done and a million thanks!","July 4, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
1,"My partner and I absolutely loved this hotel! There are son many good points about it I've struggled to know where to start. The location is perfect, there are so many restauarants and shops around you. You're within walking distance to the painted ladies and there are multiple tram and bus stops only steps away. The people on the front desk were so friendly and helpful, saying hello and wishing us a nice time each time we came in and out of the hotel. They were more than happy to help us navigate the tram map they gave us for free. The artwork throughout the hotel was beautiful. We stayed in room 102. We were a bit worried that it would be a bit small but it was just right. Yes, the bed was the tiniest bit cramped but we didn't care. The view out to Divisadero street was lovely, watching the hubbub of San Francisco from the comfort of your room was awesome. Hopefully one day we will come back to America and back to San Francisco and we can stay here again. Thank you Metro Hotel and all of your staff for making our stay awesome!","June 24, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
2,"We had three nights and enjoyed our stay!The staff was friendly and very obliging.The room was small, but big enough for two and very clean. Nothing to complain!We are looking forward for the next time!","June 13, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
3,"Great location if you are planning on enjoying Golden Gate Park. Was able to walk to many SF locations. Great food in the area. It's no thrills, but rooms are cute & clean and staff is friendly. I was on the top floor and did not mind not having a lift. Would certainly stay again.","June 10, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
4,"Originally very hesitant to book this hotel but so glad we did! Very clean & comfortable - no lift but knew this prior to booking so selected a 1st floor room (111). Great bed, small but adequate en-suite, small wardrobe. Ceiling fan/Heater. Would have liked a fridge but survived without one as most of our time spent sightseeing. MUNI bus stop very close by, approximately 15 minutes via bus to downtown. Lovely owners, helpful staff. Great rates. Would happily return & recommend to anyone looking for reasonably priced accommodation in SF.","June 8, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
5,"We booked here for 4 nights after being recommended to it by a friend who had loved their recent stay. We even cancelled another hotel we had booked and we are SO GLAD we did because the Metro is fantastic!From our arrival, where we were greeted by the nicest lady on reception (I think her name was Angie), to our departure, where we were warmly seen off by, I think, possibly the owner (extremely beautiful lady with amazing make up skills who was a DELIGHT!) everything was tip-top. I must have mentioned upon booking that we were celebrating my birthday - when we arrived into our room after a long transatlantic journey, there was a lovely, bright birthday card and a big Toblerone waiting for me - what a nice surprise!Our room was a large one at the front on the second floor, with two huge comfortable double beds and a small but perfectly formed bathroom. The shower was powerful and with plenty of hot water any time we needed it and a lovely additional touch of Trader Joe shampoo, conditioner and body wash. A hairdryer is also provided, along with plenty of room in the bathroom for all our bits and bobs. A separate toilet is a great idea - no bathroom hogging in the mornings from my partner!All areas of the hotel were clean and tidy and the area felt perfectly safe, even at night. There are lots of great places to eat and drink a short walk away - our favourites were Black Sands brewery and 4505 BBQ. Some really nice boutique stores locally, too.The location is a great one to explore from - a bus stop is right around the corner for the 6 which takes you down to Market Street to get a cable car, for example. It's also quite walkable for Haight and Golden Gate Park and the Painted Ladies are not far (I say walkable, just don't forget all those hills!).Sleep-wise, despite being on a main busy road, we didn't feel it was overly noisy. In fact, thanks to the room and our flight times from the UK, we slid right in to great sleep pattern and no jet lag, which is not something we usually manage on our frequent trips to the USA!The room had ample space to store our clothes, a TV with lots of cable channels and most importantly in this day and age - great and reliable fast wifi!The staff were only too happy to make recommendations and suggestions for places to eat and things to see and everyone had a cheery hello or goodbye when leaving and coming back for the day. I genuinely cannot think of a better place to stay in San Francisco and that's before we even get to the financials - this is GREAT VALUE! San Francisco is one of the most expensive cities on the planet but somehow this place delivers on that front too. HATS OFF, GUYS! Overall, would and will highly recommend this place to everyone and of course, will definitely be back to stay again when we are next in SF. Thanks so much to all the staff for their efforts in making our stay a memorable one!","May 27, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
6,"We stayed 7 nights at The Metro Hotel. Found it clean, quiet and friendly. Lovely shower and very comfortable bed.Ideal for exploring. Walkable to panhandle end of Golden Gate park. Bus stops very near hotel were easy to use and we bought a clipper card. Bus trips only $2.50 per time. Uber to airport on final day was $21.77.We stayed in Room 208. Fairly small but very quiet at back of hotel overlooking a small courtyard garden so away from road noise.No coffee making facilities in room but nice coffee shop 3 doors up from hotel which we used each morning. Pizza restaurant right next door was excellent but very busy and you can't book.","May 26, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
7,"We have stayed at The Metro Hotel over the past five years whenever we have visited family in San Francisco. It is our 'go to' hotel because we feel safe, the rooms are spotlessly clean, very reasonably priced, and the staff is personable, friendly, helpful and accommodating. We always recommend this hotel to our friends that are visiting San Francisco.","May 14, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
8,"This is a very good hotel in a great location. The staff were very friendly and helpful and the room itself was spotless. As breakfast wasn't an option, a coffee machine would have been a nice touch, but that is a minor gripe. It was both a great place base for exploring San Francisco and to come back to in the evening, with numerous excellent coffee shops, bars and restaurants; check out Nopa, The Little Chihuahua, Barvale, Ragazza, Vinyl Cafe, etc, etc; all on the doorstep.","April 15, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
9,"It was a lovely little hotel, and the staff were super friendly. Room was a little small, but we did see larger rooms so might be a good idea to request a big room when booking. Good location, right next to Haight St, I think it was about a 20 min walk or so into the city. But it’s nice to walk around the neighbourhoods. The Italian next door and the Thai across the road is highly recommend! ","April 14, 2019","0    The Metro Hotel
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g60713-d310867-Reviews-The_Metro_Hotel-San_Francisco_California.html
