,review_body,review_date,hotelName,hotelUrl
0,"I didn’t expect too much and mainly booked this as I wanted an Accor hotel near Darling Harbour (we’re Accor Plus members). I was actually really impressed! The lady on check-in was very friendly and helpful with our booking as it was a bit complicated because we had a second room for family on our booking, who were then staying on longer than us. She totally understood, and provided excellent service, with a smile!The room was huge, we were upgraded to one with two big windows overlooking Darling Harbour! It had a lounge and table too, and the bathroom was surprisingly modern. We were given a bottle of red wine as well as our usual two welcome drinks from the bar!The main bar area and restaurant were huge and had great views of Darling Harbour, a nice vibe at sunset too with happy hour. The only negatives were: - Huge rooms but only a Queen sized bed, it felt so small when we’re used to a King at home. - The water pressure in the shower was terrible, it was like a drizzle at best. Thank you for a great stay, highly recommend!","July 13, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
1,"We had a very comfortable and pleasant stay at the Novotel in Darling Harbour over the week-end. We are Accor members and, therefore, entitled to a discount for meals. Unfortunately, the discount does not apply when ordering room service!","July 10, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
2,"Enjoyed an awesome overnight stay. Hotel offers excellent value particularly with Accor status benefits. Great location, quality staff and accommodation. Nice to get a call from Andrew prior to arrival, very helpful. Will definitely stay again.","July 7, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
3,The location on Darling Harbour was perfect and it's just a short walk to the water and tonnes of great restaurants. The hotel restaurant was great and breakfast options extensive. It's got a luxurious feel and would definitely go back.,"July 7, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
4,"We had booked into the Ibis on Darling Harbour for a two night stay and when we arrived we had been Upgraded to the Novotel next door. What a wonderful surprise. We had the best time. Used the Light Rail to get around to the Lyric Theatre at the Casino to see Muriel's Wedding, The Musical. Fantastic show, enjoyed it so much, it's all about Australians in the 21st Century. Also used the Ferry to get to Circular Quay, great trip. The Hotel had the best breakfast and very comfortable. So easy to get around Sydney from Darling Harbour. We had an interconnecting door through to our Son and Daughter-in-law in the next room, just wonderful.","July 2, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
5,"We were having a quick getaway and wanted a great location that allowed easy access to our favorite restaurants and Darling Harbour. The Novotel is right where we want to be.The Hotel has easy parking a great breakfast and direct access to Darling Harbour shopping centre. The rooms are clean, modern and comfortable which is all we need.I feel so comfortable at the Novotel and hope to visit again soon.","June 29, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
6,"An experience like no other - customer service is a rarity these days, but what the Novotel at Darling Harbour does is this plus some. Andrew is a charismatic wonderful individual who went above and beyond and Hamish who checked us in was an absolute joy! The rooms are modern and welcoming. Loved every minute except when we had to leave.","June 28, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
7,"We stayed overnight after a wedding in Sydney. Very polite & friendly staff. Grom checkin to checkout, nothing was too much trouble, even when friends that I booked for had to change rooms. Great food as well. Thank you ","June 28, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
8,"Could not have received better service on arrival, during and on departure. Everyone was so friendly and pleasant. Great on every level - the room excellent, the bar great service and the restaurant could not fault.","June 26, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
9,"We had an amazing dinning experience on 24/6/19.The staff were brilliant and the food was exceptional! We were ready to get takeaways from the food court but decided to nip down for an entree instead - hours later left on cloud nine having experienced the best food in Sydney! Huge shout out to Pham, Gurpreet, Badol, Karine and the amazing guy who made the Annie cocktail (it was delicious)! Thank you for making Sydney amazing!","June 24, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
10,"Attending a business meeting at the Novotel and although I stay regularly in Sydney for business and leisure opted for the convenience of staying in the same location as I was travelling with others. Upgraded to a beautiful view but this didn't make up for the filthy bathroom and room. It was confronting to shower and use the bathroom sink with dirty stains and black mould. The staff delightful, meals and restaurant service fantastic just a shame I won't be staying again due to the cleanliness of the room.","June 21, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
11,"Booked for dinner, and the attitude of some members of the staff was putrid.The food was served minus serving spoon & a supervisor when told said we could use the same spoon given for rice for the other dish.After dinner we went to the bar to order coffee and drinks and the barman was rude, insollent, and totally unprofessional. He filled the coffee cup which over flowed and when he was ask to wipe the side, he responded in the most negative manner, as if service was done from a wayside cart in Vietnam or India, with residue of liquid around the cup and not clean.Certainly training and supervision is essential.","June 18, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
12,"We had an enjoyable three night stay at the Novotel Darling Harbour. All the staff were very friendly and helpful from checking in to checking out. We stayed in a room overlooking Darling Harbour, which was very clean and had all the amenities you needed. We had all our meals in the restaurant and found there was plenty of choice on the menu. All the restaurant staff were very obliging and friendly. We are looking forward to our next visit. ","June 17, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
13,"Excellent dinner last night at the Ternary .Rendy, Kibok and Gurpreet cooked us a beautiful prawn curry, chicken dim dim and vegetarian curry.They did this with smiles and answered all my questions about the food! Wot a team! Excellent service!!","June 16, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
14,"Being an Accor cardholder does not matter much in this hotel. You are not given priority and as a matter of fact transferred to a TRAINEE that took the longest time before our booking was confirmed. Before arriving I did the online check in that assured us that we can do an early check in and that the key was ready. Lo and behold, it was NOT. I was hoping this would make things more efficient as we needed to rush to a workshop upon arrival but we were made to WAIT. Further to this, when my key was not working, my registered room mate went down to have it changed. She was denied a key because it has to be me to have the key changed. What is the use of registering a room mate?! Breakfast is also a nightmare. The lines to the elevator is sooo long and when you reach the cafe, you still have to line up. Way too many people that the hotel can handle. Frankly this is disappointing. Further our package that was delivered to the hotel was brought to our room without our permission. Is that even correct? Shouldn't this be left at the front desk where we claim it? The only bright shining moment for this hotel is Charlie of concierge who graciously carried our baggage to and from our room with a smile. That's about it. ","June 14, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
15,"Great location close to Darling Harbour , the Ferry Wharf at Pyrmont Bay , Barangaroo , staff were professional and courteous , room was clean and big and we enjoyed an awesome breakfast , great variety ","June 13, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
16,"It was my first stay at Novotel Darling harbour after many times visiting Sydney.The location was perfect. Harbourside shopping centre at doorstep, cocklebay wharf with many choices of dining. Barely 5 min walk the ferry to Circular Quay and onwards to other destinations. The hotel itself. The staff are super friendly and welcoming. They gave me a welcome bottle of wine upon check in as it was my birthday.The breakfast had a good variety of hot and continental options.We had an Executive Harbour View Room, the first thing you see as you walk through the door is the amazing view of Darling Harbour, the sky scrapers of CBD.Good size room and clean decent size bathroom with variety of amenities.Over had an amazing experience and definitely be back here when visiting Sydney in the future. ","June 11, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
17,"Stayed here for 4 Nights, Room overlooking back streets! Room was 2 Double Beds so 1 for our 6 yr old and 1 for us. Being 6ft 3 was way too small but nothing else. Shower poor hardly any water pressure. Staff we found in most parts rude or not interested in particular in the Restaurant. Especially during breakfast time, Andrew though on front desk was super. Overall wouldn’t stay again, Sydney’s sights didn’t disappoint but Novotel did.","June 10, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
18,"Great long stay here. Good room, clean and comfortable.Evening meal sat at the open kitchen was very enjoyable, nice conversation with the chef and good to see the fresh food prep / service.Location was good to walk around the harbour and to see the local sights.Easy 10 min walk to Town Hall station and from here great access to public transport to everywhere we wanted to go.Can get busy a breakfast and for the restaurant in the evening but no real issues for us with that. ","June 10, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
19,"If you can overlook a pretty basic check in & check out experience, the room was fantastic! I was in room 530 looking out directly over Darling Harbour. I arrived at night & the lights as I opened the door were breathtaking (not so great a view through the dirty window in daylight, but nevertheless, iconic Sydney!). The room was clean & well appointed - gowns & slippers too. Room service costs were reasonable & were the same price as the dining room (delivery fee only if you spend under $9.50). Bed very comfortable, great amenities...free wifi if you’re an Accor member. Concierge offered to get me a flat rate ‘car’ to the airport for $50. (On the way in, it was $55 in a taxi around 9pm at night). The flat rate was worth it on the way back to the airport as there was a traffic deadlock. I appreciated them suggesting it. Entry to the Hotel is unusual in that you come into a very small crowded & unwelcoming entry area with a concierge who immediately tells you you have to go up either escalators of lift to 1st floor to checkin...not very appealing.I stayed at this hotel in the early 1990s and it was top class and state of the art. Now it is just another hotel as there are lots of nice ones around. Whilst I found checkin staff & concierge service lacking, the bar staff, room service staff were great and after checking in and arriving at my room, I was prompted to complete a checkin survey. I did this & got a rapid response which was admirable.Be wary of comparable value for money, but overall, at this Novotel, the quality of the room and fantastic location makes this worthy of the 4 stars","June 7, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
20,Stayed in the city for a wedding and booked a night here as it was close by. Hotel is nice and right at darling harbor but is very pricey however I suppose that’s Sydney in general. Breakfast was great!!,"June 5, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
21,"Great location, great service and excellent value for money. Some of the staff especially Jennifer in the breakfast service go above and beyond to be helpful, informative and engaging. The location is convenient and well serviced by taxi's.","June 4, 2019","0    Novotel Sydney on Darling Harbour
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
