,review_body,review_date,hotelName,hotelUrl
0,"Based on location it’s a great place. Easy to access from Ueno main station or Skyliner from Narita even with suitcases. 3-4 minute walk. Rooms smallish - but standard for Japan. But clean and an efficient service all round. The hotel is in the heart of lively Ueno with cafes, bars, good restaurants and a shopping mall nearby and easy access to central Tokyo and Shibuya on Ginza lineRecommended!","June 19, 2019","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
1,"We stayed at Mitsu Gardens Ueno Hotel for 2 nights. Glad it wasn't any longer. A so called double bed was small, put against the wall which made it difficult to get out of the bed in the ight. A desk against the window, a small bathroom. Nothing to get excited about. Check-in was efficient and friendly. As it was Golden week in Japan, we were told to arrive at breakfast early as there would be a lot of guests there. We arrived at 0650 am, the restaurant was already full and a long line already formed. We had prepaid breKfSt at booking, months prior and were not happy to queue for 30 mins or more to get breakfast. Apoarantly there was a sign at reception saying there will be delays with breakfast, but we wernt aware of this when booking and paying. We asked for a refund on Breakfast and got breakfast out. It's close to Ueno railway station, the shrines, zoo, park and there's a convenience store across the road ","May 31, 2019","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
2,"The hotel is very conveniently placed near to Ueno Station and also the Skyliner station which we needed to use at 6.20 am back to the airport on our final day. The staff were extremely friendly and helpful. Check in and out were easy. I had booked the Sakura panda room as a final treat for our last 3 days in Tokyo. The room was a good size (by Tokyo standards!) as was the bathroom. The Sakura panda room was super cute and made us smile. The room was clean and fresh and I liked the little extra touches such as the samples of Shisiedo products, the hair straighteners and free water. The room was cleaned and made up each day. There were two lifts, which, as this is quite a large hotel, were very useful. The hotel was mainly quiet in the room where were were situated and we slept well. We both struggled with the unusual pillows so it would have been good to have had a choice of pillows in the room. Breakfast was quite expensive given that neither of us eat Asian food for breakfast (although we like it at other times of the day). I just had cereal and croissants and my daughter ate very little. This is quite usual for Japan but we would have liked a bit more choice of continental breakfast. Overall I would highly recommend this hotel. ","April 17, 2019","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
3,"this hotel is very covenient location near ueno station. (come from narita by Keisei skyliner) Location near Ueno garden and shopping street (Ameyoko). This hotel is clean with all necessary facilities in the room, and good breakfast.","April 8, 2019","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
4,"The Mitsui Garden hotel is a popular (and therefore busy) 3 star establishment, very conveniently located about 50m from Exit 1 of the Ueno station complex. This means that it is possible to arrive from Narita Airport straight to Ueno and then carry or roll your luggage under one covered roof without needing additional transport or assistance. It is a few hundred metres from the arrival platform and there are a couple of small flights of stairs without lifts but it’s pretty convenient.Other than its location as a good base to explore Tokyo, the hotel is clean and modern with all necessary facilities in the rooms and refrigerated drinks dispensers on each floor. The staff speak good English and will also store your luggage whilst you go out sightseeing before check-in or after check-out and operate a service to forward your luggage to your next destination if you don’t want to carry it for a fee of around USD 18 per case. This is particularly useful if your next destination is Hakone which involves about 5 changes of public transport.On the down side, in common with many Japanese hotels, the rooms are small. Breakfast is mainly Japanese plus a few items such as croissants and sausages. The dining room, which doubles as an Italian restaurant in the evening is relatively small and a wait can be expected at peak times in the morning. On balance, to be recommended.","March 26, 2019","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
5,We are staying in a semi-double room. Bed size is fine. Good location and convenient. Just less than 10 minutes walk and convenient store nearby. Panasonic hair dryer and nanocare were perfect. Steam the face anytime. Room is bigger than other Tokyo city hotel. Really expressive. The worst thing is pillow is too thin use for one. Two pillows are too high. For my past experience stayed at Sapporo Mitsui Garden did not have this problem.,"March 8, 2019","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
6,"Plus:1. Very good location, with Ueno Station just opposite. About 30 min train ride to Shinjuku and Shibuya.2. Room size was just nice, I would think that it’s slightly bigger than other Japanese hotels that I had stayed in the past. 3. Friendly and helpful front desk. Minus:1. Bed was slightly sinking and pillows were flat.. ouch, my neck..2. But of all things, this left the deepest impression on me.. the toilet floor was dirty and it reeked of pee smell..","February 22, 2019","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
7,"My room was big for Japan, with a comfortable toilet and a big bathtub. The staff were helpful, and they gave me Shiseido skincare amenities for my stay, which was definitely appreciated. Best thing about the hotel is its location: a few minutes walk away from the Keisei station and even nearer the JR Ueno Asakusa gate. It's also very near Ameyoko market and is surrounded by restaurants and malls. Will definitely stay here again.","December 7, 2018","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
8,"Arrived in Ueno station mid morning and walked to hotel to see if I could leave my luggage for a day of sightseeing. Staff was extremely helpful and accommodating. Spent the day exploring the area and when I returned to check in the staff had placed my luggage in my room already. Check in was quick, staff at the desk spoke English well. Room is great. Nice size and well furnished. Very convenient location to Ueno station and to catch skyliner to Narita airport.","November 18, 2018","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
9,"The hotel itself is small and less facilities when compared with other Mitsubishi Garden hotels. It’s clean but there are odours from the washroom even though after cleaning up everyday from the housekeeping. I guess it’s a structural issue. The staff are very friendly and efficient. When compared with the hotel rates, I think it’s a bit over-priced but there is room to improve. ","November 8, 2018","0    Mitsui Garden Hotel Ueno
Name: hotel_name, dtype: object",http://www.tripadvisor.com/Hotel_Review-g1066461-d1813567-Reviews-Mitsui_Garden_Hotel_Ueno-Taito_Tokyo_Tokyo_Prefecture_Kanto.html
