,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Apartments Sixtyfour,https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html,Barcelona,738 ,,2022/01/01,2022/01/05,$403,Booking.com,13,
1,Seventy Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d19092478-Reviews-Seventy_Barcelona-Barcelona_Catalonia.html,Barcelona,408 ,,2022/01/01,2022/01/05,$157,Official Hotel,13,
2,The Corner Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d10127321-Reviews-The_Corner_Hotel-Barcelona_Catalonia.html,Barcelona,1391 ,,2022/01/01,2022/01/05,$119,Official Hotel,16,
3,H10 Madison,https://www.tripadvisor.com/Hotel_Review-g187497-d13223478-Reviews-H10_Madison-Barcelona_Catalonia.html,Barcelona,828 ,,2022/01/01,2022/01/05,$227,Hotels.com,20,
4,Hotel 1898,https://www.tripadvisor.com/Hotel_Review-g187497-d506158-Reviews-Hotel_1898-Barcelona_Catalonia.html,Barcelona,5761 ,,2022/01/01,2022/01/05,$251,Hotels.com,18,
5,Hotel Rec Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d13313633-Reviews-Hotel_Rec_Barcelona-Barcelona_Catalonia.html,Barcelona,1203 ,,2022/01/01,2022/01/05,$140,Hotels.com,14,
6,Hotel Omnium,https://www.tripadvisor.com/Hotel_Review-g187497-d8658323-Reviews-Hotel_Omnium-Barcelona_Catalonia.html,Barcelona,175 ,,2022/01/01,2022/01/05,$160,Booking.com,12,
7,Hotel Jazz,https://www.tripadvisor.com/Hotel_Review-g187497-d296916-Reviews-Hotel_Jazz-Barcelona_Catalonia.html,Barcelona,5402 ,,2022/01/01,2022/01/05,$126,Official Website,15,
8,Hotel Colon,https://www.tripadvisor.com/Hotel_Review-g187497-d190823-Reviews-Hotel_Colon-Barcelona_Catalonia.html,Barcelona,2774 ,,2022/01/01,2022/01/05,$226,Official Hotel,17,
9,Serras Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d7142609-Reviews-Serras_Barcelona-Barcelona_Catalonia.html,Barcelona,1645 ,,2022/01/01,2022/01/05,$406,eDreams,17,
10,Casa Camper Hotel Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d543153-Reviews-Casa_Camper_Hotel_Barcelona-Barcelona_Catalonia.html,Barcelona,2365 ,,2022/01/01,2022/01/05,$204,Hotels.com,12,
11,Hotel Arc La Rambla,https://www.tripadvisor.com/Hotel_Review-g187497-d232778-Reviews-Hotel_Arc_La_Rambla-Barcelona_Catalonia.html,Barcelona,3462 ,,2022/01/01,2022/01/05,$111,Hotels.com,13,
12,NH Collection Barcelona Podium,https://www.tripadvisor.com/Hotel_Review-g187497-d206920-Reviews-NH_Collection_Barcelona_Podium-Barcelona_Catalonia.html,Barcelona,1192 ,,2022/01/01,2022/01/05,$154,NH Collection,17,
13,Hotel Europark,https://www.tripadvisor.com/Hotel_Review-g187497-d232781-Reviews-Hotel_Europark-Barcelona_Catalonia.html,Barcelona,5177 ,,2022/01/01,2022/01/05,$124,Hotels.com,15,
14,Hotel Barcelona Universal,https://www.tripadvisor.com/Hotel_Review-g187497-d230643-Reviews-Hotel_Barcelona_Universal-Barcelona_Catalonia.html,Barcelona,5239 ,,2022/01/01,2022/01/05,$155,Hotels.com,16,
15,Majestic Hotel & Spa Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d190616-Reviews-Majestic_Hotel_Spa_Barcelona-Barcelona_Catalonia.html,Barcelona,3156 ,,2022/01/01,2022/01/05,$333,Hotels.com,19,
16,Midtown Apartments,https://www.tripadvisor.com/Hotel_Review-g187497-d9852496-Reviews-Midtown_Apartments-Barcelona_Catalonia.html,Barcelona,426 ,,2022/01/01,2022/01/05,$309,eDreams,14,
17,B-Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d506652-Reviews-B_Hotel-Barcelona_Catalonia.html,Barcelona,2841 ,,2022/01/01,2022/01/05,$124,Hotels.com,16,
18,Casa Gracia,https://www.tripadvisor.com/Hotel_Review-g187497-d1948832-Reviews-Casa_Gracia-Barcelona_Catalonia.html,Barcelona,1712 ,,2022/01/01,2022/01/05,$157,Hotels.com,14,
19,Hotel Barcelona 1882,https://www.tripadvisor.com/Hotel_Review-g187497-d13962383-Reviews-Hotel_Barcelona_1882-Barcelona_Catalonia.html,Barcelona,401 ,,2022/01/01,2022/01/05,$246,Hotels.com,13,
20,K+K Hotel Picasso El Born,https://www.tripadvisor.com/Hotel_Review-g187497-d2558794-Reviews-K_K_Hotel_Picasso_El_Born-Barcelona_Catalonia.html,Barcelona,3126 ,,2022/01/01,2022/01/05,$157,Hotels.com,15,
21,"Hotel Barcelona Apolo, affiliated by Melia",https://www.tripadvisor.com/Hotel_Review-g187497-d231502-Reviews-Hotel_Barcelona_Apolo_affiliated_by_Melia-Barcelona_Catalonia.html,Barcelona,4316 ,,2022/01/01,2022/01/05,$137,Booking.com,17,
22,H10 Cubik,https://www.tripadvisor.com/Hotel_Review-g187497-d8778628-Reviews-H10_Cubik-Barcelona_Catalonia.html,Barcelona,1363 ,,2022/01/01,2022/01/05,$195,Hotels.com,17,
23,The One Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d11847896-Reviews-The_One_Barcelona-Barcelona_Catalonia.html,Barcelona,560 ,,2022/01/01,2022/01/05,$324,Hotels.com,17,
24,Hotel Continental Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d236198-Reviews-Hotel_Continental_Barcelona-Barcelona_Catalonia.html,Barcelona,1271 ,,2022/01/01,2022/01/05,$138,Official Hotel,16,
25,Hotel Barcelona House,https://www.tripadvisor.com/Hotel_Review-g187497-d290554-Reviews-Hotel_Barcelona_House-Barcelona_Catalonia.html,Barcelona,1723 ,,2022/01/01,2022/01/05,$77,Hotels.com,15,
26,Senator Barcelona Spa Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d280923-Reviews-Senator_Barcelona_Spa_Hotel-Barcelona_Catalonia.html,Barcelona,1687 ,,2022/01/01,2022/01/05,$92,Hotels.com,15,
27,Hotel Pulitzer Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d296915-Reviews-Hotel_Pulitzer_Barcelona-Barcelona_Catalonia.html,Barcelona,2574 ,,2022/01/01,2022/01/05,$212,Hotels.com,16,
28,St Christopher's Inn Barcelona,https://www.tripadvisor.com/Hotel_Review-g187497-d3686057-Reviews-St_Christopher_s_Inn_Barcelona-Barcelona_Catalonia.html,Barcelona,1305 ,,2022/01/01,2022/01/05,$337,eDreams,12,
29,Hostal Sans,https://www.tripadvisor.com/Hotel_Review-g187497-d2538214-Reviews-Hostal_Sans-Barcelona_Catalonia.html,Barcelona,50 ,,2022/01/01,2022/01/05,$60,Hotels.com,12,
30,Hotel & Spa Villa Olimpica Suites,https://www.tripadvisor.com/Hotel_Review-g187497-d1536366-Reviews-Hotel_Spa_Villa_Olimpica_Suites-Barcelona_Catalonia.html,Barcelona,921 ,,2022/01/01,2022/01/05,$142,Hotels.com,14,
31,H10 Casa Mimosa,https://www.tripadvisor.com/Hotel_Review-g187497-d10683772-Reviews-H10_Casa_Mimosa-Barcelona_Catalonia.html,Barcelona,815 ,,2022/01/01,2022/01/05,,Expedia.com,20,
32,Hotel Omnium,https://www.tripadvisor.com/Hotel_Review-g187497-d8658323-Reviews-Hotel_Omnium-Barcelona_Catalonia.html,Barcelona,175 ,,2022/01/01,2022/01/05,$160,Booking.com,12,
33,Hotel Duquesa de Cardona,https://www.tripadvisor.com/Hotel_Review-g187497-d259360-Reviews-Hotel_Duquesa_de_Cardona-Barcelona_Catalonia.html,Barcelona,2798 ,,2022/01/01,2022/01/05,$241,Booking.com,11,
34,Claris Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g187497-d190615-Reviews-Claris_Hotel_Spa-Barcelona_Catalonia.html,Barcelona,2615 ,,2022/01/01,2022/01/05,$207,Claris Hotel,15,
35,Kimpton Vividora Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d17764609-Reviews-Kimpton_Vividora_Hotel-Barcelona_Catalonia.html,Barcelona,142 ,,2022/01/01,2022/01/05,$273,Hotels.com,16,
36,ibis Styles Barcelona City Bogatell Hotel,https://www.tripadvisor.com/Hotel_Review-g187497-d10670124-Reviews-Ibis_Styles_Barcelona_City_Bogatell_Hotel-Barcelona_Catalonia.html,Barcelona,972 ,,2022/01/01,2022/01/05,$119,Hotels.com,16,
37,"Alexandra Barcelona Hotel, Curio Collection by Hilton",https://www.tripadvisor.com/Hotel_Review-g187497-d228648-Reviews-Alexandra_Barcelona_Hotel_Curio_Collection_by_Hilton-Barcelona_Catalonia.html,Barcelona,2615 ,,2022/01/01,2022/01/05,$184,Curio by Hilton,15,
