,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Hotel Elysees Flaubert,https://www.tripadvisor.com/Hotel_Review-g187147-d197520-Reviews-Hotel_Elysees_Flaubert-Paris_Ile_de_France.html,Paris,394 ,,2022/01/01,2022/01/05,$103,Booking.com,16,
1,Hotel Malte - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,Paris,1739 ,,2022/01/01,2022/01/05,$168,Booking.com,20,
2,Hotel Bradford Elysees - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197946-Reviews-Hotel_Bradford_Elysees_Astotel-Paris_Ile_de_France.html,Paris,2356 ,,2022/01/01,2022/01/05,$157,Agoda.com,17,
3,Hotel 34B - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d9566832-Reviews-Hotel_34B_Astotel-Paris_Ile_de_France.html,Paris,2866 ,,2022/01/01,2022/01/05,$128,Booking.com,17,
4,Hotel Astoria - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d230431-Reviews-Hotel_Astoria_Astotel-Paris_Ile_de_France.html,Paris,1740 ,,2022/01/01,2022/01/05,$128,Booking.com,17,
5,Hotel Lorette - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228848-Reviews-Hotel_Lorette_Astotel-Paris_Ile_de_France.html,Paris,1893 ,,2022/01/01,2022/01/05,$116,Booking.com,18,
6,Hotel Concortel,https://www.tripadvisor.com/Hotel_Review-g187147-d291050-Reviews-Hotel_Concortel-Paris_Ile_de_France.html,Paris,577 ,,2022/01/01,2022/01/05,$162,Booking.com,15,
7,Hotel de Londres Eiffel,https://www.tripadvisor.com/Hotel_Review-g187147-d265476-Reviews-Hotel_de_Londres_Eiffel-Paris_Ile_de_France.html,Paris,1803 ,,2022/01/01,2022/01/05,$153,Official Site,0,
8,"The Hoxton, Paris",https://www.tripadvisor.com/Hotel_Review-g187147-d12537470-Reviews-The_Hoxton_Paris-Paris_Ile_de_France.html,Paris,1106 ,,2022/01/01,2022/01/05,$297,Booking.com,14,
9,Novotel Paris Les Halles,https://www.tripadvisor.com/Hotel_Review-g187147-d197424-Reviews-Novotel_Paris_Les_Halles-Paris_Ile_de_France.html,Paris,5746 ,,2022/01/01,2022/01/05,$214,Booking.com,20,
10,Passy Eiffel Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d315160-Reviews-Passy_Eiffel_Hotel-Paris_Ile_de_France.html,Paris,982 ,,2022/01/01,2022/01/05,$142,Booking.com,15,
11,Pullman Paris Eiffel Tower Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197985-Reviews-Pullman_Paris_Eiffel_Tower_Hotel-Paris_Ile_de_France.html,Paris,3519 ,,2022/01/01,2022/01/05,$252,Pullman,20,
