,hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
0,Numa l Libusa Apartments,https://www.tripadvisor.com/Hotel_Review-g274707-d3673060-Reviews-Numa_l_Libusa_Apartments-Prague_Bohemia.html,Prague,363 ,,2022/01/01,2022/01/05,$67,Official Site,0,
1,Hotel Pod Vezi,https://www.tripadvisor.com/Hotel_Review-g274707-d276676-Reviews-Hotel_Pod_Vezi-Prague_Bohemia.html,Prague,4101 ,,2022/01/01,2022/01/05,$82,Booking.com,13,
2,Art Deco Imperial Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d280821-Reviews-Art_Deco_Imperial_Hotel-Prague_Bohemia.html,Prague,3794 ,,2022/01/01,2022/01/05,$87,Agoda.com,18,
3,Metropolitan Old Town Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d1202495-Reviews-Metropolitan_Old_Town_Hotel-Prague_Bohemia.html,Prague,1181 ,,2022/01/01,2022/01/05,$35,Booking.com,14,
4,Botanique Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d1479215-Reviews-Botanique_Hotel_Prague-Prague_Bohemia.html,Prague,4821 ,,2022/01/01,2022/01/05,$72,Booking.com,18,
5,Mosaic House Design Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d1656616-Reviews-Mosaic_House_Design_Hotel-Prague_Bohemia.html,Prague,289 ,,2022/01/01,2022/01/05,$58,Booking.com,17,
6,Alcron Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d275546-Reviews-Alcron_Hotel_Prague-Prague_Bohemia.html,Prague,4117 ,,2022/01/01,2022/01/05,$116,Booking.com,17,
7,Grandium Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d586728-Reviews-Grandium_Hotel_Prague-Prague_Bohemia.html,Prague,2646 ,,2022/01/01,2022/01/05,$62,Booking.com,16,
8,BoHo Prague Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d8501421-Reviews-BoHo_Prague_Hotel-Prague_Bohemia.html,Prague,1636 ,,2022/01/01,2022/01/05,$115,Booking.com,17,
9,Michelangelo Grand Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d6509342-Reviews-Michelangelo_Grand_Hotel_Prague-Prague_Bohemia.html,Prague,223 ,,2022/01/01,2022/01/05,$57,Agoda.com,16,
10,Pytloun Boutique Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d14216189-Reviews-Pytloun_Boutique_Hotel_Prague-Prague_Bohemia.html,Prague,405 ,,2022/01/01,2022/01/05,$69,Tripadvisor,17,
11,Majestic Plaza Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d652596-Reviews-Majestic_Plaza_Hotel_Prague-Prague_Bohemia.html,Prague,3065 ,,2022/01/01,2022/01/05,$57,Booking.com,18,
12,Unitas Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d275502-Reviews-Unitas_Hotel-Prague_Bohemia.html,Prague,2151 ,,2022/01/01,2022/01/05,$95,Booking.com,15,
13,Grandior Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d5888187-Reviews-Grandior_Hotel_Prague-Prague_Bohemia.html,Prague,5613 ,,2022/01/01,2022/01/05,$62,Booking.com,18,
14,Hilton Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d276540-Reviews-Hilton_Prague-Prague_Bohemia.html,Prague,6230 ,,2022/01/01,2022/01/05,$90,Hotels.com,18,
15,Cosmopolitan Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d10598046-Reviews-Cosmopolitan_Hotel_Prague-Prague_Bohemia.html,Prague,1023 ,,2022/01/01,2022/01/05,$87,Booking.com,17,
16,The Mozart Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d543175-Reviews-The_Mozart_Prague-Prague_Bohemia.html,Prague,1846 ,,2022/01/01,2022/01/05,$193,Agoda.com,18,
17,Archibald At The Charles Bridge,https://www.tripadvisor.com/Hotel_Review-g274707-d276566-Reviews-Archibald_At_The_Charles_Bridge-Prague_Bohemia.html,Prague,1617 ,,2022/01/01,2022/01/05,$40,Agoda.com,15,
18,House at the Big Boot,https://www.tripadvisor.com/Hotel_Review-g274707-d311877-Reviews-House_at_the_Big_Boot-Prague_Bohemia.html,Prague,650 ,,2022/01/01,2022/01/05,$59,Official Site,0,
19,Four Seasons Hotel Prague,https://www.tripadvisor.com/Hotel_Review-g274707-d275507-Reviews-Four_Seasons_Hotel_Prague-Prague_Bohemia.html,Prague,2271 ,,2022/01/01,2022/01/05,$464,Priceline,21,
20,Salvator Boutique Hotel,https://www.tripadvisor.com/Hotel_Review-g274707-d10631605-Reviews-Salvator_Boutique_Hotel-Prague_Bohemia.html,Prague,671 ,,2022/01/01,2022/01/05,$34,Agoda.com,13,
21,Iron Gate Hotel & Suites,https://www.tripadvisor.com/Hotel_Review-g274707-d483647-Reviews-Iron_Gate_Hotel_Suites-Prague_Bohemia.html,Prague,1399 ,,2022/01/01,2022/01/05,$86,Booking.com,18,
22,A&O Prag Metro Strizkov,https://www.tripadvisor.com/Hotel_Review-g274707-d628346-Reviews-A_O_Prag_Metro_Strizkov-Prague_Bohemia.html,Prague,429 ,,2022/01/01,2022/01/05,$24,Priceline,11,
23,Hotel King David,https://www.tripadvisor.com/Hotel_Review-g274707-d282261-Reviews-Hotel_King_David-Prague_Bohemia.html,Prague,708 ,,2022/01/01,2022/01/05,$119,Hotels.com,17,
24,a&o Prague Rhea,https://www.tripadvisor.com/Hotel_Review-g274707-d660276-Reviews-A_o_Prague_Rhea-Prague_Bohemia.html,Prague,559 ,,2022/01/01,2022/01/05,$25,Booking.com,12,
25,K+K Hotel Central,https://www.tripadvisor.com/Hotel_Review-g274707-d282045-Reviews-K_K_Hotel_Central-Prague_Bohemia.html,Prague,3434 ,,2022/01/01,2022/01/05,$79,Booking.com,15,
26,Ibis Praha Old Town,https://www.tripadvisor.com/Hotel_Review-g274707-d597798-Reviews-Ibis_Praha_Old_Town-Prague_Bohemia.html,Prague,3822 ,,2022/01/01,2022/01/05,$55,Booking.com,14,
