,review_body,review_date,hotelName,hotelUrl
0,"The location is perfect for a reasonable price, especially during Christmas. We received a warm welcome since we arrived at the reception. Thanks to Ricardo who led us to the rest area and the room. Also, it I very nice to be able to watch Netflix on the TV",None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
1,"It was a real pleasure to stay at apartment 64.   The service is excellent, the apartment is clean and spacious for a family of four. On top of that the location is perfect walking distance to some of the great sightseeings in Barcelona.  Can highly recommend it.",None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
2,Very pleased with the apartment. As a family of four we had plenty of space with a large lounge and a small balcony . Reception staff in the hotel next door at sixty two  very friendly and efficient. Apartment very clean and added bonus of being close to the Metro and the Station for the Airport train . Would definitely stay here again.,None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
3,We have recently returned from our stay in the three bedroom apartment to celebrate my daughters 21st birthday . The service provided by the staff both before and during our stay was fantastic and the apartment itself was fabulous as it was tastefully furnished and very spacious. The location was very central for exploring Barcelona and there are lots of nice restaurants close to the property. We will definitely return in the future and would have no hesitation in recommending this property to anyone. 5⭐️,None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
4,"Everything about these apartments was perfect! Very spacious, beds were comfy (much needed after long days in the city), and the location is just great.  Big thanks to Jaume and the team for making our stay fantastic :)  Definitely staying here when I come to Barcelona next year!",None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
5,"I am very surprised to read glowing reviews about Apartments SixtyFour- have I stayed at the same property as the other reviewers?! The only positive things about this property are its location, design and size (we stayed at 2-bedroom flat overlooking Passeig de Gracia). The negatives outweighed the positives for me:  - cleanliness can be improved, especially in Covid times. The floor was dirty and dusty, all our socks and feet became soiled after walking on the floor. And there were no cleaning products, other than just a simple mop. Handles and switches had dirty fingerprints on them, which is again unacceptable, and no wipes or sponges were provided to clean them. Bedlinen and towels  were very clean though.  - cleaning products were missing, there was not even a sponge to",None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
6,"Me, my wife and 3 year old son, just stayed six nights in 64 apartment hotel. Our apartment was a 2 bedroom in second floor patio view. Good things: Location is perfect in the middle of passeig de gracia, reception is respectful and helpful and check in is easy. Room is very big and clean. Kitchen is perfect. Air conditioning is very good. The most important thing about that hotel is the great hospitality, lady in reception is super helpful and kind. Bads: there is about 13 stairs at the entrance which you should carry luggages . The elevator is old fashion and very small. The room service is not optimal but due to Covid-19 situation is acceptable. I recommend this hotel to everyone.",None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
7,It was lovely and wonderful accommodation for our family's spain trip. The staff was very helpful and they delivered the breakfast to my apartment and it was great!! I really recommend this apartment to family.,None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
8,"This property have strategically located ( in passieg de gracia street) with beautifull furniture ,well equipped,high cleanliness, I have already lived here twice and i hope to return to Barcelona to live here.",None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
9,"All was very nice: place, view, safety, staff. Need to restore kitchen equipment. Small room need more comfortable air conditioner. Large terrace was amazing. Nice stay for 5 adults or in our case: for 3 adults and 3 kids (4, 7, 12).Best place in Barcelona where to stay for a long time. Shopping is around! Sea about 2 km. Best place for fresh food and fruits: Mercat de Sant Antoni, near to drive by taxi. We love Barcelona❤️",None,"0     Apartments Sixtyfour
38    Apartments Sixtyfour
70    Apartments Sixtyfour
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187497-d1956512-Reviews-Apartments_Sixtyfour-Barcelona_Catalonia.html
