,review_body,review_date,hotelName,hotelUrl
0,"Location: maybe the best about the hotel is its location, walking distance from Champs-Élysées and Arc de Triomphe, was the most enjoyable part of our trip walking around, it is also near multiple bus stops and train stations  Room: room is clean and nice, bathroom is good, a bit on the small side but understandable given it was a relatively cheap room. a downside are the walls aren't noise proof, but ok i think, i am a light sleeper but didn't bother me.  Service: excellent, people are nice and understanding, attending to our requests fast and efficient, breakfast is very good and fresh staff speaks very good english, and arabic as well which was nice  all in all i enjoyed staying there",December 2019,"0     Hotel Elysees Flaubert
38    Hotel Elysees Flaubert
64    Hotel Elysees Flaubert
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d197520-Reviews-Hotel_Elysees_Flaubert-Paris_Ile_de_France.html
1,"The hotel is located in a more residential area but close to Champs-Élysées, it’s quiet yet full of great restaurants and artisan Boulangerie around there. Les demoiselles, Maison Rostang, Il était une oie dans le Sud Ouest, La Table Du Cabiste bio time name a few.   There is also a street market 3 min from the hotel, Rue Poncelet market which sells freshest fruits & veg, cheese , bread and seafood.   The hotel room was bigger than expected and the bathroom was of good size with proper bathtub. The staff was friendly and helpful, every time we went out and came back to the hotel, we got a greeting from the front desk. We stayed for a total of 6 nights,Good value for money, all in all  we had a very enjoyable stay. Only wished we could stay longer !",October 2019,"0     Hotel Elysees Flaubert
38    Hotel Elysees Flaubert
64    Hotel Elysees Flaubert
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d197520-Reviews-Hotel_Elysees_Flaubert-Paris_Ile_de_France.html
2,"Very nice hotel, spotlessly clean and comfy beds. Staff very helpful especially Kristoff. Didn’t have breakfast but tea and coffee and each day bottles of water in our room. Shower was great and clean towels each day. Would stay here again as good location.",November 2019,"0     Hotel Elysees Flaubert
38    Hotel Elysees Flaubert
64    Hotel Elysees Flaubert
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d197520-Reviews-Hotel_Elysees_Flaubert-Paris_Ile_de_France.html
3,"The hotel is pretty well situated just 10 minutes away from the Champs-Elysées. It’s on a quiet back street which means a quiet nights sleep. The rooms are very basic but adequate. The bed is pretty comfortable so no complaints there. Our shower drained dreadfully slowly and it looks as though there should be a door on it.  The hotel could really do with some updating. Dark and dingy corridors and the stairs are also a very dark brown.  Breakfast is very basic and I do think for 14€ it’s a bit of a rip off for some week old apples and a coffee, there are a few pastries as well but given the room that there is for dining I guess that’s all there’s room for.  So 3 stars to match its rating in general.  Don’t be put off though, it’s warm and comfortable and convenient.",October 2019,"0     Hotel Elysees Flaubert
38    Hotel Elysees Flaubert
64    Hotel Elysees Flaubert
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d197520-Reviews-Hotel_Elysees_Flaubert-Paris_Ile_de_France.html
4,"We stayed there 3 nights, everything was great, room is small but absolutely enough for 2 persons, bed is comfortable and new, extra pillows. Bathroom is modern and clean. Walls are a bit thin, but we had no probelms from that. Staff is very helpful and nice.",September 2019,"0     Hotel Elysees Flaubert
38    Hotel Elysees Flaubert
64    Hotel Elysees Flaubert
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d197520-Reviews-Hotel_Elysees_Flaubert-Paris_Ile_de_France.html
5,"The hotel is just perfect: location is close to center and Louvre, wonderful and tasty breakfast, very friendly and helpful staff, nice and cozy rooms. Just perfect! I would recommend it to spend holidays.",December 2021,"1    Hotel Malte - Astotel
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html
6,"Irene was so nice for everything we needed.  While the hotel is very clean and nice, the service makes this a 5-star hotel.  it's a simple hotel without a pool and spa, but to be honest I would go back without questions.  Recommended 1000 times over.",December 2021,"1    Hotel Malte - Astotel
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html
7,"Best hotel, best services. I had a few problems regarding my travel to Paris and the hotel staff have been super nice and helpful. Really appreciated everything they helped me. Without these, my holiday would be much worse. Also lovely and cute room and amenities. Will definitely come back here again!!!",December 2021,"1    Hotel Malte - Astotel
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html
8,"My husband and I really enjoyed our stay: the hotel was perfectly situated for our needs, a short walk away from le Louvres, the Grand Boulevards for department store shopping and the Japanese district for great ramen restaurants! You can walk to many famous sites, or take the metro nearby. We were warmly welcomed by Manon at Reception, who not only stored our bags but also offered us breakfast! Thumbs up to the staff for their friendliness and efficiency. Great breakfast buffet. Hot and cold drinks as well as snacks are available at no charge all afternoon in the lounge. Our room was comfortable and quiet. Tea, coffee and a complimentary mini-bar with soft drinks and water were provided. I would only suggest a few more amenities in the bathroom, such as proper cotton pads in",November 2021,"1    Hotel Malte - Astotel
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html
9,"We recently visited this hotel as part of a weekend trip to Paris.  From the moment we checked in to the moment we left, our stay was fantastic.  From the explanation of the hotel, how we can use other Astotel hotel services in the local area, to the support we required for a lost passport, the staff was top notch & exceeded any expectations we could have had.  The complimentary breakfast and snacks were a nice touch along with the free, non-alcoholic mini bar.  The room was more than adequate size wise & had the basic amenities we needed.  What makes this place stand out for me was the staff.  Their companion & support for a very stressful situation was above and beyond.  When we notified that a passport was missing less than 48 hours before check out, they went into action.",December 2021,"1    Hotel Malte - Astotel
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html
