,review_body,review_date,hotelName,hotelUrl
0,"Great rooms, quite new. Receptionist spoke our language we were surprised, breakfast also decent for 5eur. Nothing bad to say. Tried bidet, didn't had feelings for it. Wifey was crazy in love with bidet. Location is also good, but be carefull and check prices in mini markets, bought pringles for 6eur. Sneaky Chinese people.",February 2020,"0     Numa l Libusa Apartments
31    Numa l Libusa Apartments
69    Numa l Libusa Apartments
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d3673060-Reviews-Numa_l_Libusa_Apartments-Prague_Bohemia.html
1,Excellent place lovely staff and quiet location! Really enjoyed the surrounding areas and the people were all so kind and helpful. Smelly drains nearby - not a big issue and not the hotel's fault but worth maybe knowing.,May 2019,"0     Numa l Libusa Apartments
31    Numa l Libusa Apartments
69    Numa l Libusa Apartments
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d3673060-Reviews-Numa_l_Libusa_Apartments-Prague_Bohemia.html
2,My husband and I have just spent 3 nights at the sunrise hotel. It is in a great location- 10 minutes walk from the centre. Easily accessible by all public transport. Rooms are huge. Very clean and modern. Breakfast was absolutely fine- some hot and cold options. Good coffee. Would definitely recommend this hotel.,December 2019,"0     Numa l Libusa Apartments
31    Numa l Libusa Apartments
69    Numa l Libusa Apartments
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d3673060-Reviews-Numa_l_Libusa_Apartments-Prague_Bohemia.html
3,"Girls at the reception were very helpful especially Romina, good location, if the hotel have 24 hours reception service it will be much better, somehow the walls are not soundproof, doors need some maintenance cant be closed easy especially the main door of the room and the bath door.",December 2019,"0     Numa l Libusa Apartments
31    Numa l Libusa Apartments
69    Numa l Libusa Apartments
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d3673060-Reviews-Numa_l_Libusa_Apartments-Prague_Bohemia.html
4,"We made reservation over booking.com. hotel is just like on photos on booking site. There are 2 girls working on reception, they are only 2 person which was polite to us on our 2day trip in this city. Room is very big and very clean. They have tasty ham for breakfast!!! Highly recommendation!",November 2019,"0     Numa l Libusa Apartments
31    Numa l Libusa Apartments
69    Numa l Libusa Apartments
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d3673060-Reviews-Numa_l_Libusa_Apartments-Prague_Bohemia.html
5,"We had a fantastic time celebrating our anniversary. The staff were very friendly and attentive from the moment we called to reserve a room to the moment we checked out. Without a doubt, the best service we've received in Prague.  The hotel couldn't be better located being right next to the Charles bridge and you won't break the bank to stay here. Many beautiful sights are a moment away.   The hotel has a fantastic restaurant as well with delicious fine dining food in a very warm atmosphere.  We will definitely be back here again and already look forward to it.  Thank you @Hotel pod Vežì",December 2021,"1    Hotel Pod Vezi
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d276676-Reviews-Hotel_Pod_Vezi-Prague_Bohemia.html
6,"We stayed a year later than expected due to Covid. We are so glad that the hotel was able to accommodate us as we have found the perfect place for future stays in Prague!   Check in So friendly and helpful. A big thank you to the reception staff for making us feel so welcome. :-)   Food Breakfast choice was excellent. You can help yourself to flavoured or plain water, orange or apple juice or you squeeze oranges to make your own fresh juice! There's cold meats and cheeses, breads, fruits, yogurts, cereals, hot food (bacon, the best scrambled egg ever, sausage etc) and even a waffle maker.  We had a meal in the restaurant one night and the food was absolutely delicious.  Room The biggest, most comfiest bed and lovely pillows. We stayed in a suite and it was well worth it. The",December 2021,"1    Hotel Pod Vezi
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d276676-Reviews-Hotel_Pod_Vezi-Prague_Bohemia.html
7,"The hotel's location is perfect for visiting all the city's attractions.  At the western end of Charles Bridge, it is in a small, quiet square and occupies two buildings, the main hotel and the Depandance building which is across the square.  Both buildings are of similar, traditional design.  Our room was huge, spotlessly clean and equipped with everything we required.  We loved the personal touches - returning in the evening to find treats awaiting us.  These ranged from confectionary to Champagne.  The buffet breakfast, served in the main hotel by cheerful attentive staff, was a feast which prepared us for a day's sightseeing.  At reception, the staff were knowledgeable and went out of their way to provide us with the help, advice and information which made our stay so",December 2021,"1    Hotel Pod Vezi
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d276676-Reviews-Hotel_Pod_Vezi-Prague_Bohemia.html
8,"We have just had a three day break in this Absolutely beautiful hotel in the perfect location at the end of the Charles bridge. We were lucky enough to be given an upgraded room in the main building. The rooms are lovely, big and spacious with nice touches like a different little treat left for us each day. We we warmly welcomed when we arrived and throughout our stay the staff could not have been friendlier. On our last night we ate in the restaurant and the food was delicious, including the local wines. Sadly we did not ask his name but our waiter and his sense of humour made the evening even more special.",December 2021,"1    Hotel Pod Vezi
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d276676-Reviews-Hotel_Pod_Vezi-Prague_Bohemia.html
9,"We were lucky enough to stay at Hotel Pod Vezi from 29/11/2021 for three nights! Only a few weeks before our stay booking.com cancelled my hotel booking. I immediately emailed the hotel for help and within minutes   Martin Fajd replied helping me to re book the room directly through the hotel. I was very impressed straight away at the ease of it,   We then arrived, the receptionist was extremely helpful and knowledgeable and our bags were already taken up to our room before we checked in. The hotel was clean and had lots of character and the location was one of the best! You could walk to everything so easily! The breakfast was lovely and variety of options and the waitresses were very friendly and cheerful.   Nothing was too much effort for the hotel and it’s staff and there",November 2021,"1    Hotel Pod Vezi
Name: hotel_name, dtype: object",https://www.tripadvisor.com/Hotel_Review-g274707-d276676-Reviews-Hotel_Pod_Vezi-Prague_Bohemia.html
